starid	Teff	Teff_errp	Teff_errm	FeH	FeH_errp	FeH_errm	radPhot	radPhot_errp	radPhot_errm	massfin	massfin_errp	massfin_errm	age	age_errp	age_errm	numax	numax_errp	numax_errm	dnuscal	dnuscal_errp	dnuscal_errm
4056443366649948160	5551.92124	44.128036000000066	36.38809399999991	-0.19922354	0.033501525	0.040265497519661825	0.7951033231824796	0.032725126	0.024491455885482294	0.7607733542808305	0.024139976873963187	0.021045766427027268	8972.361426	2254.8935140000012	2610.1064849999993	3803.511411634446	255.77988923722933	277.13236806914574	166.57945046800054	7.906688956	9.269511602
4224062406762625152	5741.033609	60.93196199999966	54.42686400000002	0.14413183064920373	0.044174431	0.040613428286988745	1.2355223945662739	0.065736373	0.062221048	1.0084786104268262	0.057017267	0.041150698	8413.320942	1399.2178210000002	1499.6472940000003	2055.6219844119346	192.60331005807484	175.72173268894153	99.00082325557081	7.049519056974773	6.553079635467967
4255957040079935488	5356.075306	16.27788800000053	45.047275	-0.240197815	0.008478547	0.022274985013234716	0.9409917220218891	0.08552126	0.021171168	0.7404923960585189	0.029910497	0.024987775878537954	19657.8721	294.3852399999996	477.26734000000215	2646.098046300962	133.1571335728595	256.1865945180589	126.82275950049612	4.314203577528332	12.03529610617106
4256135160951556480	5070.536206	38.33982199999991	27.793804999999338	-0.458572949	0.00822559	0.013488153718225204	0.7163815744750599	0.012892972	0.00871315	0.7027690030667136	2.3735860439244583e-05	3.3466391835546005e-05	14224.75547	1576	1189.6327678111502	4526.699507872042	125.02660370106423	175.21032231339905	187.03617073710453	3.4681455690716234	4.942316422676072
4263752921128319616	4649.69771	47.276386999999886	38.86156300000039	-0.042703523	0.040193534	0.042109070892771674	0.6967811842566872	0.027204263	0.025726371227936973	0.7128634880096526	0.018031928	0.010930900909959296	9244.634539	6100.460261	5888.223054	5087.809916179229	376.5863754709735	362.99430961273174	196.6904996648214	11.126437424050664	10.467871975583734
427224073427887360	3565.718079	0	0	-1.2	0	0	0.22068949876210212	0	0	0.1	0	0	30	0	0	8070.172973116863	0	0	411.8749320105641	0	0
4285511294172309504	6129.545797	72.20743350641533	38.183750999999575	-0.27875528	0.045077786582390755	0.035755406	1.073615670991563	0.055335412	0.051050005	0.9125342431250315	0.042071343	0.044020327786436164	6348.4093	1149.7434615000002	1317.8597945000001	2369.7293733457122	205.00216900883242	194.60098390450275	115.8647677328811	7.932446821042518	7.312774314696824
4287832775526476800	4767.365369	43.82344600000033	43.849224000000504	-0.240971826	0.021546475382398955	0.028528827087317354	0.7027895653249135	0.016787527390051626	0.017645763959580618	0.7047694585490926	0.006168004	0.002953204	11803.08104	3556.648800000001	4502.7914599999995	4868.043572498013	300.4799668802016	248.36064922354217	192.82421441394715	8.029146421	6.7683094330586755
4334991786994866304	5467.97424	40.547209000000294	87.59202799999912	-0.637739978	0.10602179120970157	0.029890073302139553	0.837593217	0.029394027674735645	0.031187461395124072	0.7185048408828113	0.003036333	0.013904887637624985	19056.75085	704	1319.11895	3275.912230895604	216.8912726291387	244.4861538107948	149.58261565802874	7.904171549889867	7.535734746974043
4439085988769170432	5814.335941	56.32281849999981	47.97590349999973	-0.200302187	0.039201348	0.046761316345109855	0.9063028944311209	0.044743776	0.041919496	0.8376802031069327	0.039127913	0.029222853922283853	7496.081676	2125.000414	2217.0013645311155	3147.740285397711	283.0175919208259	265.6512403953998	143.5754799914308	9.537756455050584	9.279613261345958
4453211899986180352	5956.853307	56.56529499999942	45.65408000000025	-0.252295088	0.039036334964984765	0.037879402	1.292921205076002	0.071953146	0.067978491	0.9023101513247198	0.054000554	0.046976905	9262.072138	1440.6707420000002	1286.727183	1645.7524056550765	148.40809718073433	131.46386869057574	87.40954045	6.183510055012164	5.606719615745689
4534144923690481408	5442.333967	67.14445800000067	55.80772999999954	-0.076961282	0.032228989	0.045238388	0.9929802437930261	0.050437156	0.045260547	0.7904748504348701	0.045019152	0.035022683	16620.39357	2171.8718999999983	2460	2566.3339774614647	221.55923745764676	199.47904756758908	121.8267878657546	7.703140986334688	7.593429504
4558177980124887936	6443.388291	40.64463599999999	34.10872999999992	-0.309414078	0.048009784	0.036494644	1.3486790784577605	0.069022704	0.067532511	1.0764555804132523	0.077071731	0.030941357397818114	3531.684373	509.41873799999985	578.5999999999999	1750.9516836040036	158.01841270705222	140.25043787748587	90.02011249104743	6.396973947100463	5.636536241627667
4583004815239650176	5714.302268	27.825869999999668	27.51226399999996	-0.231581399	0.036598454694699495	0.027902406812468028	1.0537458092502172	0.051814453	0.048871329445527634	0.7834822009954251	0.050948771303604534	0.023063973	14650.35375	1131.6957399999992	2424.8687900000004	2223.6892692964893	197.57337386956942	176.93673928998146	111.4958185720044	7.426606327803114	7.135831220347043
4596481632339898240	5004.560302	48.00246599999991	31.93113799999992	0.36072464853944386	0.038131672	0.044811250750907805	0.7915018687060393	0.028908794	0.024747421309316397	0.8757783085314966	0.017213533507616563	0.030791912674073774	2239.19359	2339.119683	1571.2349055999998	4617.761777349068	199.78567339229448	241.8163851267036	179.27019494176383	6.354776049170027	7.538944608990533
4606030169272920320	5633.995407	59.456475999999384	36.64550700000018	-0.052928879	0.034371978543574135	0.041604654988948275	0.9618330267948032	0.044206507	0.040364161	0.830615993	0.052857917	0.029075833291438258	11009.26959	1931.6994200000008	2925.6929210131975	2840.9330621348586	247.77859169505882	228.2023548200359	131.2786974980019	8.511828278938026	7.733377353053129
4608935250790855296	6024.079753	55.263680963940715	50.20827499999996	0.014696577	0.035619691	0.043112633309122315	1.6982410741501177	0.084493656	0.091713187	1.1091568226836257	0.037983126	0.043893954	5732.209817	557.2326700000003	583.0271139999995	1169.671629788891	100.30022976792634	97.00606056310494	64.48952566660789	4.476780232316358	4.005649251291565
4613145315172329984	6127.980206	61.50247599999966	46.31764000000021	-0.318539329	0.032858480301790005	0.039377538	1.1695528777526643	0.061927538719899644	0.054947599	0.8943813121512241	0.052008442	0.026008857	7550.652761	995.0762929999992	1197.8523460000006	1977.8585093151717	173.53278889452326	163.4818277	101.50280383133156	6.584263641910994	6.548470561259094
