pl_name,gaia_id,default_flag,sy_snum,sy_pnum,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,ttv_flag,pl_imppar,pl_impparerr1,pl_impparerr2,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_rvamp,pl_rvamperr1,pl_rvamperr2,ra,dec
K2-155 d,Gaia DR2 145333927996558976,1,1,3,K2,0,40.718,0.005,-0.005,0.1937,0.0064,-0.0059,1.9,0.7,-0.2,,,,,,,89.61,0.27,-0.48,0,0.44,0.33,-0.3,0.074,0.012,-0.008,,,,,,,65.469614,21.3532633
K2-158 b,Gaia DR2 3596003497911958528,1,1,2,K2,0,10.06049,0.00134,-0.00148,0.0887,0.0008,-0.0008,2.64,0.16,-0.1,,,,,,,,,,0,0.38,0.31,-0.27,0.07,,,,,,,,,179.9397081,-5.7216879
K2-158 c,Gaia DR2 3596003497911958528,1,1,2,K2,0,5.90279,0.00191,-0.00233,0.0622,0.0006,-0.0006,1.28,0.13,-0.1,,,,,,,,,,0,0.41,0.34,-0.28,0.015,,,,,,,,,179.9397081,-5.7216879
K2-159 b,Gaia DR2 3600851450836925312,1,1,1,K2,0,12.42205,0.0018,-0.00182,0.1013,0.0008,-0.0009,2.26,0.17,-0.11,,,,,,,,,,0,0.44,0.3,-0.3,0.065,,,,,,,,,180.5408896,-3.5809053
K2-162 b,Gaia DR2 3694878833385971840,1,1,1,K2,0,9.45889,0.00104,-0.00107,0.0795,0.0006,-0.0006,1.44,0.11,-0.07,,,,,,,,,,0,0.41,0.3,-0.29,0.02669,,,,,,,,,186.0383865,-1.111479
K2-166 b,Gaia DR2 3701015375282968064,1,1,2,K2,0,8.52695,0.00362,-0.0037,0.0858,0.001,-0.0009,2.19,0.2,-0.19,,,,,,,,,,0,0.4,0.32,-0.28,0.016,,,,,,,,,185.1880932,2.2823788
K2-17 b,Gaia DR2 3899064464855774592,1,1,1,K2,0,17.96753,0.00152,-0.00152,0.119,0.002,-0.002,2.23,0.2,-0.2,,,,,,,,,,0,,,,0.099,,,,,,,,,178.3296746,6.4123178
K2-212 b,Gaia DR2 2538824923230146560,1,1,1,K2,0,9.795647,0.000021,-0.000021,,,,2.65,0.2,-0.18,,,,,,,,,,0,0.4203,0.008,-0.008,0.12797,0.0009,-0.0009,,,,,,,18.4241015,3.0970732
K2-224 b,Gaia DR2 3578783977588991360,1,1,2,K2,0,4.47904,0.00116,-0.00132,0.0516,0.0004,-0.0004,1.56,0.16,-0.14,,,,,,,,,,0,0.41,0.34,-0.28,0.0327,,,,,,,,,189.7041426,-10.0605942
K2-224 c,Gaia DR2 3578783977588991360,1,1,2,K2,0,10.09489,0.00119,-0.00114,0.0886,0.0007,-0.0007,2.41,0.16,-0.12,,,,,,,,,,0,0.4,0.31,-0.27,0.05928,,,,,,,,,189.7041426,-10.0605942
K2-225 b,Gaia DR2 3579573358218514944,1,1,1,K2,0,15.87209,0.00387,-0.00338,0.134,0.001,-0.001,3.49,0.26,-0.2,,,,,,,,,,0,0.4,0.32,-0.27,0.034,,,,,,,,,186.5410958,-9.6248232
K2-226 b,Gaia DR2 3581264372742210048,1,1,1,K2,0,3.27108,0.00049,-0.0005,0.0413,0.0005,-0.0005,1.54,0.14,-0.09,,,,,,,,,,0,0.45,0.33,-0.31,0.027,,,,,,,,,183.6456643,-9.5626286
K2-228 b,Gaia DR2 3583611726987567232,1,1,1,K2,0,2.69828,0.00022,-0.00022,0.0338,0.0003,-0.0003,1.21,0.1,-0.06,,,,,,,,,,0,0.42,0.3,-0.29,0.02587,,,,,,,,,187.2947047,-6.8342028
K2-229 c,Gaia DR2 3583630929786305280,1,1,2,K2,0,8.32727,0.00041,-0.00043,0.0769,0.0003,-0.0003,2.03,0.12,-0.06,,,,,,,,,,0,0.39,0.29,-0.27,0.05325,,,,,,,,,186.8729195,-6.7218474
K2-230 b,Gaia DR2 3676684252407983488,1,1,1,K2,0,2.86041,0.00061,-0.00061,0.0409,0.0003,-0.0002,1.96,0.18,-0.16,,,,,,,,,,0,0.39,0.31,-0.26,0.02,,,,,,,,,191.363117,-6.576051
K2-237 b,Gaia DR2 6032746832450438400,1,1,1,K2,0,2.18053539,0.00000086,-0.00000085,0.03558,0.00048,-0.00065,16.197,0.549,-0.504,,,,0.042,0.034,-0.028,88.03,1.1,-0.82,0,0.201,0.085,-0.12,1.385,0.065,-0.06,74,38,-38,183,15,-11,253.7688479,-28.7105836
K2-239 b,Gaia DR2 3857872051994269824,1,1,3,K2,0,5.24,0.001,-0.001,0.0441,0.0008,-0.0008,1.1,0.1,-0.1,,,,,,,88.99,0.68,-0.87,0,0.44,0.33,-0.29,0.067,0.007,-0.006,,,,,,,160.5941265,4.4413751
K2-239 c,Gaia DR2 3857872051994269824,1,1,3,K2,0,7.775,0.001,-0.001,0.0576,0.0009,-0.0009,1,0.1,-0.1,,,,,,,88.77,0.7,-0.57,0,0.73,0.24,-0.39,0.058,0.008,-0.006,,,,,,,160.5941265,4.4413751
K2-239 d,Gaia DR2 3857872051994269824,1,1,3,K2,0,10.115,0.001,-0.001,0.0685,0.0012,-0.0012,1.1,0.1,-0.1,,,,,,,89.43,0.38,-0.45,0,0.39,0.25,-0.25,0.065,0.006,-0.006,,,,,,,160.5941265,4.4413751
K2-240 b,Gaia DR2 6257625719430982016,1,1,2,K2,0,6.034,0.001,-0.001,0.0513,0.0009,-0.0009,2,0.2,-0.1,,,,,,,89.26,0.51,-0.64,0,0.28,0.2,-0.19,0.131,0.01,-0.01,,,,,,,227.849371,-17.8754464
K2-240 c,Gaia DR2 6257625719430982016,1,1,2,K2,0,20.523,0.001,-0.001,0.1159,0.002,-0.002,1.8,0.3,-0.1,,,,,,,89.66,0.22,-0.26,0,0.29,0.18,-0.19,0.098,0.016,-0.015,,,,,,,227.849371,-17.8754464
K2-241 b,Gaia DR2 3594882751966012160,1,1,1,K2,0,26.8199,0.00245,-0.00247,0.1567,0.0007,-0.0008,2.55,0.18,-0.1,,,,,,,,,,0,0.41,0.3,-0.28,0.09,,,,,,,,,181.2386829,-6.8052985
K2-242 b,Gaia DR2 3595647565382917120,1,1,1,K2,0,6.51389,0.00082,-0.00083,0.0494,0.0004,-0.0004,2.54,0.21,-0.19,,,,,,,,,,0,0.42,0.32,-0.29,0.624,,,,,,,,,179.8358421,-6.5178542
K2-243 b,Gaia DR2 3597570989175080576,1,1,2,K2,0,11.54182,0.00272,-0.00221,0.1087,0.0014,-0.0014,2.17,0.14,-0.12,,,,,,,,,,0,0.39,0.31,-0.27,0.016,,,,,,,,,181.1211419,-4.8991358
K2-243 c,Gaia DR2 3597570989175080576,1,1,2,K2,0,24.94598,0.00491,-0.00561,0.1817,0.0022,-0.0024,2.01,0.15,-0.13,,,,,,,,,,0,0.4,0.34,-0.27,0.019,,,,,,,,,181.1211419,-4.8991358
K2-244 b,Gaia DR2 3597981377595128704,1,1,1,K2,0,21.06884,0.0032,-0.00325,0.1418,0.001,-0.0011,1.75,0.13,-0.1,,,,,,,,,,0,0.44,0.32,-0.3,0.03,,,,,,,,,183.4686492,-3.8318097
K2-245 b,Gaia DR2 3694743765254445312,1,1,1,K2,0,11.89307,0.00065,-0.00063,0.0959,0.0006,-0.0006,4.34,0.19,-0.14,,,,,,,,,,0,0.38,0.28,-0.26,0.107,,,,,,,,,185.181563,-1.5909138
K2-246 b,Gaia DR2 3697828548204889344,1,1,1,K2,0,5.76918,0.00081,-0.00082,0.0602,0.0004,-0.0004,3.49,0.25,-0.21,,,,,,,,,,0,0.41,0.29,-0.27,0.134,,,,,,,,,181.6296115,-1.1606
K2-247 b,Gaia DR2 3578596339057980160,1,1,2,K2,0,2.25021,0.00033,-0.00036,0.0304,0.0004,-0.0004,2.12,0.19,-0.16,,,,,,,,,,0,0.43,0.34,-0.3,0.1,,,,,,,,,188.8935189,-10.0692793
K2-247 c,Gaia DR2 3578596339057980160,1,1,2,K2,0,6.49424,0.0026,-0.00251,0.0615,0.0008,-0.0008,2.19,0.25,-0.23,,,,,,,,,,0,0.41,0.33,-0.28,0.11,,,,,,,,,188.8935189,-10.0692793
K2-248 b,Gaia DR2 3582057258065666816,1,1,1,K2,0,7.17256,0.00148,-0.00142,0.0699,0.001,-0.001,2.57,0.2,-0.14,,,,,,,,,,0,0.4,0.33,-0.28,0.07,,,,,,,,,182.8173343,-9.4141696
K2-249 b,Gaia DR2 3582098107498270208,1,1,1,K2,0,12.409,0.00337,-0.00284,0.1151,0.003,-0.0031,2.79,0.27,-0.22,,,,,,,,,,0,0.41,0.33,-0.28,0.024,,,,,,,,,183.3667344,-8.9952309
K2-25 b,Gaia DR2 3311804515502788352,1,1,1,K2,0,3.48456408,0.0000006,-0.0000005,0.0287,0.0012,-0.0012,3.44,0.12,-0.12,,,,0.428,0.05,-0.049,87.16,0.18,-0.21,0,0.628,0.032,-0.037,1.155,0.038,-0.039,120,12,-14,27.9,6.5,-6,63.2739346,15.2477027
K2-250 b,Gaia DR2 3582706794559052160,1,1,1,K2,0,4.01457,0.00062,-0.00057,0.0459,0.0005,-0.0005,2.44,0.19,-0.15,,,,,,,,,,0,0.41,0.32,-0.28,0.102,,,,,,,,,185.0315429,-8.9757427
K2-251 b,Gaia DR2 3675248118423392256,1,1,1,K2,0,9.30075,0.00332,-0.00321,0.0694,0.0005,-0.0005,2.35,0.26,-0.21,,,,,,,,,,0,0.44,0.33,-0.3,0.214,,,,,,,,,190.6892403,-8.5359826
K2-252 b,Gaia DR2 3582392123779246336,1,1,1,K2,0,13.81513,0.00461,-0.00448,0.1041,0.0008,-0.0007,1.74,0.17,-0.12,,,,,,,,,,0,0.41,0.32,-0.28,0.036,,,,,,,,,182.3663818,-8.3096141
K2-253 b,Gaia DR2 3584368019189709952,1,1,1,K2,0,4.00167,0.00013,-0.00013,0.0506,0.001,-0.0011,12.67,0.69,-0.61,,,,,,,,,,0,0.34,0.26,-0.23,1.259,,,,,,,,,186.0853062,-6.3789537
K2-254 b,Gaia DR2 3596876269626641664,1,1,2,K2,0,4.09639,0.00081,-0.00079,0.0448,0.0005,-0.0005,1.63,0.28,-0.24,,,,,,,,,,0,0.72,0.12,-0.26,0.052,,,,,,,,,185.5507926,-4.7172908
K2-254 c,Gaia DR2 3596876269626641664,1,1,2,K2,0,12.11839,0.00303,-0.00321,0.0923,0.001,-0.001,2.19,0.24,-0.18,,,,,,,,,,0,0.42,0.33,-0.29,0.12,,,,,,,,,185.5507926,-4.7172908
K2-255 b,Gaia DR2 3682825883842696832,1,1,1,K2,0,1.96417,0.00004,-0.00004,0.0274,0.0003,-0.0003,2.9,0.28,-0.11,,,,,,,,,,0,0.44,0.31,-0.31,0.183,,,,,,,,,189.9128532,-3.3705631
K2-256 b,Gaia DR2 3693923185982895360,1,1,1,K2,0,5.52011,0.00239,-0.00289,0.0578,0.0008,-0.0008,2.63,0.25,-0.21,,,,,,,,,,0,0.42,0.34,-0.29,0.097,,,,,,,,,186.2270991,-2.0660477
K2-257 b,Gaia DR2 3695235654973028736,1,1,1,K2,0,1.60588,0.00014,-0.00013,0.0216,0.0002,-0.0002,0.83,0.06,-0.05,,,,,,,,,,0,0.4,0.31,-0.27,0.034,,,,,,,,,188.278284,-1.9532879
K2-258 b,Gaia DR2 3695568295896473856,1,1,1,K2,0,19.0921,0.00576,-0.00633,0.149,0.0025,-0.0026,3,0.21,-0.2,,,,,,,,,,0,0.37,0.32,-0.25,0.049,,,,,,,,,187.6314027,-1.1609171
K2-259 b,Gaia DR2 3700295641843380224,1,1,1,K2,0,15.48043,0.00332,-0.00392,0.1271,0.001,-0.0011,2.32,0.2,-0.17,,,,,,,,,,0,0.41,0.33,-0.28,0.037,,,,,,,,,186.8026947,1.5668631
K2-260 b,Gaia DR2 3394923127797114496,1,1,1,K2,0,2.6266657,0.0000018,-0.0000018,0.0404,0.0013,-0.0016,17.396,0.538,-0.639,451.3186,98.5273,-101.7056,0,,,88.67,0.89,-1,0,0.122,0.09,-0.082,0.947,0.0062,-0.0048,90,,,178,38,-39,76.8673317,16.8676948
K2-261 b,Gaia DR2 3807826337147474176,1,1,1,K2,0,11.633478,0.000017,-0.000017,0.1034,0.0015,-0.0016,9.528,0.392,-0.381,,,,0.286,0.064,-0.069,88.07,1.1,-0.65,0,0.35,0.15,-0.21,0.2814,0.012,-0.0078,131,16,-17,16.7,2.2,-2.2,163.0323119,0.493167
K2-285 b,Gaia DR2 2657374606238804992,1,1,4,K2,0,3.471745,0.000044,-0.000046,0.03817,0.00095,-0.00092,2.59,0.06,-0.06,,,,0,,,86.846,0.041,-0.041,0,0.57,0.08,-0.15,0.097,0.004,-0.003,,,,4.62,0.58,-0.65,349.3843458,1.3001522
K2-285 c,Gaia DR2 2657374606238804992,1,1,4,K2,0,7.138048,0.000072,-0.000063,0.0824,0.0018,-0.0018,3.53,0.08,-0.08,,,,0,,,89.861,0.001,-0.001,0,0.05,0.04,-0.04,0.21,0.03,-0.02,,,,5.9,0.86,-0.8,349.3843458,1.3001522
K2-285 d,Gaia DR2 2657374606238804992,1,1,4,K2,0,10.45582,0.00025,-0.00023,0.1178,0.0029,-0.0029,2.48,0.06,-0.06,,,,0,,,89.643,0.005,-0.005,0,0.2,0.04,-0.05,0.1,0.007,-0.004,,,,0.68,0.77,-0.5,349.3843458,1.3001522
K2-285 e,Gaia DR2 2657374606238804992,1,1,4,K2,0,14.76289,0.00065,-0.00061,0.18041,0.0042,-0.0043,1.95,0.05,-0.05,,,,0,,,89.799,0.002,-0.003,0,0.17,0.04,-0.07,0.068,0.009,-0.006,,,,1.69,0.74,-0.72,349.3843458,1.3001522
K2-286 b,Gaia DR2 6264513270727342080,1,1,1,K2,0,27.359,0.005,-0.005,0.1768,0.0175,-0.0205,2.1,0.2,-0.2,,,,,,,89.67,0.21,-0.25,0,0.35,0.21,-0.23,0.112,0.026,-0.016,,,,,,,233.3698192,-16.7737113
K2-30 b,Gaia DR2 61607255708760960,1,1,1,K2,0,4.098503,0.000011,-0.000011,0.04839,0.00076,-0.00076,11.646,0.56,-0.572,,,,0,,,86.92,0.26,-0.24,0,0.662,0.03,-0.036,1.603,0.037,-0.041,,,,78.7,2.9,-2.8,52.3420548,22.2993491
K2-316 b,Gaia DR2 6239410080231903488,1,1,2,K2,0,1.133,0.001,-0.001,0.0147,0.001,-0.0031,1.33,0.1,-0.09,,,,,,,87.02,2.19,-3.98,0,0.43,0.32,-0.3,0.0957,0.0019,-0.0019,,,,,,,233.6247336,-23.2594663
K2-316 c,Gaia DR2 6239410080231903488,1,1,2,K2,0,5.26,0.007,-0.007,0.0582,0.0081,-0.0122,1.83,0.13,-0.12,,,,,,,89.31,0.49,-1.06,0,0.4,0.34,-0.28,0.248,0.006,-0.006,,,,,,,233.6247336,-23.2594663
K2-317 b,Gaia DR2 6255655673768103168,1,1,1,K2,0,6.22,0.007,-0.007,0.0542,0.0065,-0.0103,2.93,0.19,-0.17,,,,,,,89.22,0.54,-0.93,0,0.43,0.29,-0.28,0.119,0.013,-0.013,,,,,,,228.6188638,-21.0227209
K2-318 b,Gaia DR2 6258364939144564992,1,1,1,K2,0,7.01,0.007,-0.007,0.0911,0.014,-0.0185,1.66,0.13,-0.13,,,,,,,89.38,0.44,-0.76,0,0.4,0.29,-0.27,0.085,0.002,-0.002,,,,,,,232.4461375,-17.557463
K2-319 b,Gaia DR2 3811688440459523200,1,1,1,K2,0,26.68,0.002,-0.003,0.1516,0.0115,-0.0258,2.79,0.11,-0.1,,,,,,,89.45,0.4,-0.66,0,0.35,0.28,-0.24,0.083,0.001,-0.001,,,,,,,166.8010058,3.0399357
K2-320 b,Gaia DR2 3864142669886768896,1,1,1,K2,0,1.995,0.001,-0.001,0.0142,0.0026,-0.003,2.62,0.23,-0.15,,,,,,,87.84,1.41,-1.97,0,0.49,0.25,-0.3,0.557,0.005,-0.005,,,,,,,163.2519122,5.3064776
K2-321 b,Gaia DR2 3856449627544923392,1,1,1,K2,0,2.298,0.001,-0.001,0.041,0.0035,-0.0048,1.95,0.1,-0.12,,,,,,,88.94,0.73,-1.12,0,0.28,0.24,-0.19,0.11,0.001,-0.001,,,,,,,156.4054989,2.5138829
K2-322 b,Gaia DR2 3860369901894562304,1,1,1,K2,0,8.205,0.003,-0.003,0.0594,0.0174,-0.0221,1.92,0.29,-0.18,,,,,,,88.15,1.11,-2.01,0,0.68,0.21,-0.33,0.071,0.002,-0.002,,,,,,,156.6226981,4.7640203
K2-323 b,Gaia DR2 3859431674878660864,1,1,1,K2,0,24.93,0.006,-0.006,0.1275,0.0055,-0.0072,2.1,0.09,-0.11,,,,,,,89.88,1.08,-1.29,0,0.14,0.11,-0.09,0.263,0.01,-0.01,,,,,,,159.4209874,6.2858689
K2-324 b,Gaia DR2 3862378262961788288,1,1,1,K2,0,3.262,0.001,-0.001,0.0331,0.0037,-0.0066,2.43,0.15,-0.13,,,,,,,88.33,1.06,-1.84,0,0.42,0.28,-0.25,0.199,0.002,-0.002,,,,,,,157.6222171,6.8636732
K2-325 b,Gaia DR2 2439222638771000448,1,1,1,K2,0,6.93,0.004,-0.003,0.0419,0.0046,-0.0058,2.2,0.14,-0.15,,,,,,,89.37,0.4,-0.68,0,0.34,0.26,-0.22,0.672,0.01,-0.01,,,,,,,353.9169507,-7.6867213
K2-326 b,Gaia DR2 2645727449501559680,1,1,1,K2,0,1.256,0.001,-0.002,0.0198,0.0036,-0.0041,2.28,0.18,-0.18,,,,,,,85.63,2.87,-4.24,0,0.48,0.26,-0.29,0.0921,0.0027,-0.0027,,,,,,,351.612262,1.3375909
K2-39 b,Gaia DR2 2609222216055014144,1,1,1,K2,0,4.60543,0.00046,-0.00046,,,,6.277,1.681,-1.681,,,,0,,,80.39,4.19,-4.19,0,,,,0.037,0.0034,-0.0034,,,,14.4,2.6,-2.6,338.3682095,-9.0229405
K2-6 b,Gaia DR2 3794479262419500160,1,1,1,K2,0,30.94191,0.00467,-0.00467,0.1898,0.0056,-0.0056,2.5,0.88,-0.88,,,,,,,,,,0,,,,0.068,,,,,,,,,178.1921152,-1.1984418
K2-7 b,Gaia DR2 3803494845449564672,1,1,1,K2,0,28.67992,0.00947,-0.00947,0.1814,0.0043,-0.0043,2.67,0.56,-0.56,,,,,,,,,,0,,,,0.053,,,,,,,,,167.0937488,-1.065855
KELT-1 b,Gaia DR2 2881784280929695360,1,1,1,KELT,0,1.217514,0.000015,-0.000015,0.02466,0.00016,-0.00016,12.442,0.359,-0.247,,,,0.0099,0.01,-0.0069,87.8,1.3,-1.9,0,,,,0.6086,0.0094,-0.0089,61,71,-79,,,,0.3620995,39.3837953
KELT-10 b,Gaia DR2 6710517793025165696,1,1,1,KELT-South,0,4.1662739,0.0000063,-0.0000063,0.0525,0.00086,-0.00097,15.681,0.773,-0.549,215.80657,12.39537,-12.07754,,,,88.61,0.86,-0.74,0,0.23,0.11,-0.14,1.416,0.034,-0.029,,,,80,3.4,-3.5,284.5483823,-47.0033072
KELT-11 b,Gaia DR2 3761497761876022400,1,1,1,KELT-South,0,4.7361,0.00003,-0.00003,,,,15.132,1.121,-1.121,,,,0.0007,0.002,-0.0005,85.3,0.2,-0.2,0,0.404,0.013,-0.018,0.265,0.035,-0.038,-1,147.4,-74.6,,,,161.7069053,-9.3993646
KELT-12 b,Gaia DR2 4608935250790855296,1,1,1,KELT-North,0,5.031623,0.000032,-0.000031,0.06708,0.00097,-0.0013,19.952,1.906,-1.793,301.9385,44.4962,-44.4962,0,,,84.47,1.1,-0.95,0,0.586,0.06,-0.082,0.596,0.029,-0.028,,,,82,12,-12,267.6404906,36.5701761
KELT-14 b,Gaia DR2 5560886336446650240,1,1,1,KELT-South,0,1.7100566,0.0000032,-0.0000026,0.03005,0.00031,-0.00031,19.537,0.527,-0.527,,,,0,,,78.3,0.3,-0.3,0,0.8622,0.0071,-0.0071,1.386,0.029,-0.029,,,,185.1,2.3,-2.3,108.301409,-42.4097623
KELT-17 b,Gaia DR2 651935220461650560,1,1,1,KELT,0,3.0801716,0.0000053,-0.0000052,0.04881,0.00065,-0.00061,17.094,0.729,-0.673,416.3573,88.9924,-92.1707,,,,84.87,0.45,-0.43,0,0.57,0.031,-0.035,0.907,0.017,-0.016,,,,131,28,-29,125.617407,13.7353093
KELT-20 b,Gaia DR2 2033123654092592384,1,1,1,KELT-North,0,3.4741085,0.0000019,-0.0000019,0.0542,0.0014,-0.0021,19.515,0.773,-0.829,1071.72276,,,,,,86.12,0.28,-0.27,0,0.503,0.025,-0.028,1.309,0.014,-0.014,,,,311.3,,,294.6614126,31.2192001
KELT-21 b,Gaia DR2 2054523105274216704,1,1,1,KELT-North,0,3.6127647,0.0000033,-0.0000033,0.05224,0.00035,-0.00034,17.777,0.437,-0.448,1242.7153,,,0,,,86.46,0.38,-0.34,0,0.423,0.033,-0.039,0.99,0.014,-0.014,,,,399.6,,,304.8000322,32.5810446
KELT-24 b,Gaia DR2 1076970406751899008,1,1,1,KELT-North,0,5.5514926,0.0000081,-0.000008,0.06969,0.00087,-0.00096,14.258,0.235,-0.235,1646.3594,66.7443,-69.9226,0.077,0.024,-0.025,89.17,0.59,-0.75,0,0.134,0.13,-0.096,0.753,0.012,-0.012,55,13,-15,462,16,-15,161.9090273,71.655727
KELT-6 b,Gaia DR2 1464700950221781504,1,1,2,KELT,0,7.8457,0.0002,-0.0002,,,,14.572,1.009,-1.009,,,,0.22,0.11,-0.11,88.81,0.85,-0.85,0,,,,0.6,0.015,-0.015,,,,42.8,4.3,-4.3,195.9818362,30.640145
KELT-7 b,Gaia DR2 181908842994567936,1,1,1,KELT,0,2.73477,0.000004,-0.000004,,,,17.934,0.673,-0.673,,,,0,,,83.76,0.38,-0.38,0,,,,0.83,0.012,-0.012,,,,138,19,-19,78.2955912,33.3179532
KELT-8 b,Gaia DR2 4534144923690481408,1,1,1,KELT,0,3.24406,0.00016,-0.00016,,,,18.159,1.121,-1.121,,,,0.04,0.05,-0.05,82.65,0.9,-0.9,0,,,,1.3,0.06,-0.06,,,,104,6.4,-6.4,283.3054489,24.1272483
KIC 10525077 b,Gaia DR2 2131059594280288128,1,1,1,Kepler,0,854.083,0.01628,-0.01697,,,,5.5,0.9,-0.8,,,,,,,89.861,0.096,-0.098,0,,,,0.25,,,,,,,,,287.3781164,47.7711541
KIC 3558849 b,Gaia DR2 2052136821446989568,1,1,1,Kepler,0,1322.3,386.1,-11.2,,,,6.9,1,-0.9,,,,,,,89.973,0.023,-0.031,0,,,,0.3969,,,,,,,,,294.9498381,38.6051867
KIC 5437945 b,Gaia DR2 2102070660978313472,1,1,2,Kepler,0,440.7813,0.00563,-0.00577,,,,6.4,1.6,-1.6,,,,,,,89.904,0.066,-0.086,0,,,,0.2209,,,,,,,,,288.4749028,40.6512848
KIC 8540376 b,Gaia DR2 2105414310196331264,1,1,3,Kepler,0,31.8099,0.00919,-0.00933,,,,4.1,2.2,-1.9,,,,,,,89.3,0.49,-0.72,0,,,,0.09,,,,,,,,,282.3775397,44.694569
KIC 8540376 c,Gaia DR2 2105414310196331264,1,1,3,Kepler,0,75.2,38.9,-1.1,,,,2.4,1.9,-1.4,,,,,,,89.701,0.16,-0.16,0,,,,0.0324,,,,,,,,,282.3775397,44.694569
KIC 9663113 b,Gaia DR2 2080266967444876032,1,1,2,Kepler,0,572.3847,0.00583,-0.00567,,,,4.6,0.6,-0.7,,,,,,,89.768,0.095,-0.062,0,,,,0.1681,,,,,,,,,297.0454037,46.3286653
Kepler-105 b,Gaia DR2 2130368310704421120,1,1,2,Kepler,0,5.4122,0.00002,-0.00002,0.066,0.003,-0.003,4.81,1.53,-1.53,,,,0.47,0.05,-0.47,85.94,1.87,-3.88,0,0.64,0.26,-0.17,0.06,0.0006,-0.0006,272.16,16.04,-272.16,,,,287.8872376,46.2761224
Kepler-1052 c,Gaia DR2 2080466185207274880,1,1,2,Kepler,0,180.921729,0.002826,-0.002826,0.6135,,,2.3,0.54,-0.19,,,,0,,,89.99,,,0,0.025,0.42,-0.025,0.07424,0.00504,-0.00504,,,,,,,295.34273,46.6022134
Kepler-1126 c,Gaia DR2 2106496607595412480,1,1,2,Kepler,0,199.66876,0.003961,-0.003961,0.6193,,,1.45,0.18,-0.18,,,,0,,,89.98,,,0,0.046,0.42,-0.046,0.02519,0.00197,-0.00197,,,,,,,285.691955,45.6893993
Kepler-1162 c,Gaia DR2 2106996095111385728,1,1,2,Kepler,0,59.284064,0.0006992,-0.0006992,0.2832,,,1.81,0.13,-0.11,,,,0,,,89.55,,,0,0.556,0.384,-0.346,0.04244,0.00357,-0.00357,,,,,,,283.2920273,45.4339813
Kepler-1181 c,Gaia DR2 2101035367703145088,1,1,2,Kepler,0,8.93484887,0.00009707,-0.00009707,0.0928,,,1.83,0.64,-0.23,,,,0,,,86.05,,,0,0.888,0.096,-0.667,0.01359,0.00165,-0.00165,,,,,,,289.7473165,39.5234131
Kepler-1471 c,Gaia DR2 2133035966431029376,1,1,2,Kepler,0,11.6044881,0.000113,-0.000113,0.0981,,,1.88,0.28,-0.34,,,,0,,,89.74,,,0,0.118,0.334,-0.118,0.02676,0.00203,-0.00203,,,,,,,289.6649171,50.0200612
Kepler-1487 c,Gaia DR2 2073153024144692736,1,1,2,Kepler,0,35.8007112,0.0003713,-0.0003713,0.2588,,,7.97,1.39,-2.77,,,,0,,,89.93,,,0,0.043,0.402,-0.043,0.04174,0.00175,-0.00175,,,,,,,295.4980737,38.6444499
Kepler-1491 c,Gaia DR2 2127985806448631808,1,1,2,Kepler,0,61.569765,0.001804,-0.001804,0.3045,,,2.44,0.39,-0.53,,,,0,,,89.35,,,0,0.486,0.074,-0.409,0.02983,0.00309,-0.00309,,,,,,,293.6297645,45.7406293
Kepler-15 b,Gaia DR2 2134850847813263360,1,1,1,Kepler,0,4.942782,0.0000013,-0.0000013,0.05714,0.00086,-0.00093,10.76,0.67,-0.78,,,,0.06,,,87.44,0.18,-0.2,0,0.554,0.023,-0.024,1.1265,,,,,,78.7,8.5,-9.5,296.2005506,49.1400304
Kepler-1514 b,Gaia DR2 2051866238502437632,1,1,2,Kepler,0,217.83184,0.00012,-0.00012,0.753,0.013,-0.014,12.42,0.258,-0.258,,,,0.401,0.013,-0.014,89.944,0.013,-0.01,0,0.169,0.03,-0.039,0.7805,0.0025,-0.0027,-75.28,0.75,-0.71,172.5,3.9,-3.9,292.6274943,37.8601653
Kepler-1514 c,Gaia DR2 2051866238502437632,1,1,2,Kepler,0,10.514181,0.000039,-0.000039,0.0997,0.0018,-0.0018,1.176,0.057,-0.044,,,,0.32,0.35,-0.19,87.98,1.2,-0.4,0,0.47,0.22,-0.31,0.00699,0.00063,-0.00043,0,120,-160,,,,292.6274943,37.8601653
Kepler-1518 c,Gaia DR2 2082161219824397568,1,1,2,Kepler,0,9.6310258,0.0001257,-0.0001257,0.0905,,,2.9,0.82,-0.68,,,,0,,,79.56,,,0,0.951,0.027,-0.65,0.02972,0.00251,-0.00251,,,,,,,300.3323404,44.9861065
Kepler-1610 c,Gaia DR2 2079807646464016256,1,1,2,Kepler,0,44.9851885,0.0004873,-0.0004873,0.2323,,,2.09,0.35,-0.21,,,,0,,,89.41,,,0,0.664,0.273,-0.433,0.06178,0.00511,-0.00511,,,,,,,295.9049795,45.4054296
