KOI,Host KOI,Kepler name,Host Gaia ID,P (VanHo),P pme (VanHo,PSR (VanHo),PSR pme (VanHo),PSR (Fulton),PSR pe (Fulton),PSR me (Fulton),PSR (Van Eylen),PSR pe (Van Eylen),PSR me (Van Eylen)
K01952.03,KOI-1952,Kepler-341 b,Gaia DR3 2102815683186036096       ,5.19557,0.000018,0.0089477,0.0007225,0.010437,0.000465,0.000403,0,0,0
K01952.04,KOI-1952,Kepler-341 e,Gaia DR3 2102815683186036096       ,42.473056,0.00002,0.0155778,0.0010166,0.022145,8.50E-05,0.004446,0,0,0
K01955.01,KOI-1955,Kepler-342 b,Gaia DR3 2128298617506651904       ,15.170267,0.000017,0.0156119,0.0006106,0.014124,0.000295,0.000227,0,0,0
K02007.01,KOI-2007,Kepler-1050 b,Gaia DR3 2143749504651818368       ,15.378754,0.000019,0.0113445,0.0006635,0.013186,0.001964,0.000487,0,0,0
K02007.02,KOI-2007,Kepler-1050 c,Gaia DR3 2143749504651818368       ,21.12846,0.00002,0.0114218,0.0013891,0.012161,0.000453,0.00035,0,0,0
K02037.01,KOI-2037,KOI-2037.01,Gaia DR3 2107244481660894592       ,73.757928,0.000019,0.057898,0.0053496,0.041661,0.000885,0.001262,0,0,0
K02037.02,KOI-2037,KOI-2037.02,Gaia DR3 2107244481660894592       ,5.477164,0.000009,0.0262567,0.0015,0.022135,0.000805,0.000809,0,0,0
K02037.03,KOI-2037,KOI-2037.03,Gaia DR3 2107244481660894592       ,8.562684,0.000014,0.0273151,0.0018754,0.022341,0.001231,0.000601,0,0,0
K02038.03,KOI-2038,Kepler-85 d,Gaia DR3 2127398083121764736       ,17.913373,0.00002,0.0129526,0.0011155,0.013296,0.000829,0.000607,0,0,0
K02038.04,KOI-2038,Kepler-85 e,Gaia DR3 2127398083121764736       ,25.215282,0.000021,0.0176514,0.001484,0.012662,0.000882,0.000926,0,0,0
K02051.01,KOI-2051,Kepler-355 c,Gaia DR3 2105535462635217792       ,25.762459,0.00002,0.0230446,0.0009506,0.024936,0.002121,0.0011,0,0,0
K02051.02,KOI-2051,Kepler-355 b,Gaia DR3 2105535462635217792       ,11.031732,0.000021,0.0124512,0.0012562,0.013249,0.000205,0.001126,0,0,0
K02086.01,KOI-2086,Kepler-60 b,Gaia DR3 2102316985943863424       ,7.132954,0.000009,0.0128329,0.0004031,0.012459,0.001739,0.001244,0,0,0
K02086.03,KOI-2086,Kepler-60 d,Gaia DR3 2102316985943863424       ,11.898452,0.000022,0.0152232,0.0014968,0.01115,0.000757,0.000566,0,0,0
K02110.01,KOI-2110,Kepler-1104 b,Gaia DR3 2135002576119495936       ,5.037286,0.000009,0.0091744,0.0006544,0.008187,0.000292,0.000194,0,0,0
K02148.01,KOI-2148,Kepler-363 d,Gaia DR3 2104466153215402624       ,11.932081,0.000018,0.0121237,0.0005654,0.01284,0.002205,0.000715,0,0,0
K02148.02,KOI-2148,Kepler-363 c,Gaia DR3 2104466153215402624       ,7.542335,0.000019,0.0104807,0.0006996,0.010129,0.000402,0.000303,0,0,0
K02148.03,KOI-2148,Kepler-363 b,Gaia DR3 2104466153215402624       ,3.614611,0.000016,0.0073164,0.0008917,0.007487,0.000461,0.000324,0,0,0
K02149.01,KOI-2149,Kepler-1121 b,Gaia DR3 2086505630781210752       ,13.151421,0.000019,0.0092909,0.0004272,0.010779,0.000148,0.001675,0,0,0
K02173.01,KOI-2173,Kepler-367 b,Gaia DR3 2087250476887856256       ,37.815615,0.000019,0.0141785,0.0007172,0.01471,0.000561,0.000432,0,0,0
K02173.02,KOI-2173,Kepler-367 c,Gaia DR3 2087250476887856256       ,53.57784,0.000019,0.0156561,0.000668,0.017355,0.002422,0.002542,0,0,0
K02218.01,KOI-2218,Kepler-373 b,Gaia DR3 2133124511477266176       ,5.535327,0.000008,0.016469,0.000665,0.015052,0.000441,0.000536,0,0,0
K02218.02,KOI-2218,Kepler-373 c,Gaia DR3 2133124511477266176       ,16.726072,0.000019,0.0174314,0.0038858,0.012536,0.00099,0.000738,0,0,0
K02290.01,KOI-2290,KOI-2290.01,Gaia DR3 2135427576021495168       ,91.500923,0.00002,0.0233174,0.0019904,0.023643,0.000884,0.000915,0,0,0
K02339.01,KOI-2339,Kepler-1197 b,Gaia DR3 2125790322246812672       ,2.032326,0.000007,0.014935,0.0019615,0.016468,0.000148,0.001149,0,0,0
K02390.01,KOI-2390,Kepler-1219 b,Gaia DR3 2086389357427331712       ,16.104672,0.00002,0.0120173,0.0010919,0.010195,0.000341,0.000311,0.011687234,0.001097303,0.000629202
K02414.01,KOI-2414,Kepler-384 b,Gaia DR3 2106306495162679552       ,22.596597,0.00002,0.011575,0.0005797,0.011242,0.000501,0.00028,0,0,0
K02414.02,KOI-2414,Kepler-384 c,Gaia DR3 2106306495162679552       ,45.348527,0.00002,0.0157402,0.0012032,0.012116,0.000597,0.000419,0,0,0
K02433.01,KOI-2433,Kepler-385 c,Gaia DR3 2135203000771400320       ,15.162253,0.000017,0.0234801,0.0010218,0.026244,0.000604,0.00595,0,0,0
K02433.02,KOI-2433,Kepler-385 b,Gaia DR3 2135203000771400320       ,10.043771,0.000018,0.0189066,0.000989,0.02547,0.000565,0.005075,0,0,0
K02433.03,KOI-2433,Kepler-385 d,Gaia DR3 2135203000771400320       ,56.414742,0.000019,0.0160477,0.0036914,0.019512,0.00092,0.000867,0,0,0
K02433.04,KOI-2433,KOI-2433.04,Gaia DR3 2135203000771400320       ,27.90388,0.00002,0.0165098,0.0020718,0.016094,0.000817,0.000935,0,0,0
K02433.06,KOI-2433,KOI-2433.06,Gaia DR3 2135203000771400320       ,6.063299,0.000018,0.0135877,0.0017208,0.013024,0.000829,0.000479,0,0,0
K02433.07,KOI-2433,KOI-2433.07,Gaia DR3 2135203000771400320       ,86.432217,0.00002,0.0118241,0.0046381,0.019482,0.001229,0.001024,0,0,0
K02462.01,KOI-2462,KOI-2462.01,Gaia DR3 2073539536845074176       ,12.146927,0.000016,0.0079382,0.0003434,0.008303,0.001535,0.000532,0.007987587,0.000420912,0.000401049
K02533.01,KOI-2533,Kepler-1270 b,Gaia DR3 2131169545443676032       ,6.033555,0.000021,0.0074213,0.0005989,0.009463,1.70E-05,0.001374,0,0,0
K02533.03,KOI-2533,KOI-2533.03,Gaia DR3 2131169545443676032       ,26.11529,0.000019,0.0122194,0.001088,0.0075,0.000405,0.000595,0,0,0
K02545.01,KOI-2545,Kepler-1274 b,Gaia DR3 2107342716152550272       ,6.981525,0.000017,0.0057666,0.0003525,0.005612,0.00022,0.000212,0.00611029,0.000316504,0.000281078
K02595.01,KOI-2595,Kepler-393 b,Gaia DR3 2127390970655877888       ,9.182486,0.000016,0.0089413,0.0004998,0.008635,0.000234,0.000355,0,0,0
K02595.02,KOI-2595,Kepler-393 c,Gaia DR3 2127390970655877888       ,14.61342,0.00002,0.0081037,0.0006175,0.008003,0.000425,0.000225,0,0,0
K02597.01,KOI-2597,Kepler-394 b,Gaia DR3 2135378231142791808       ,8.005064,0.000015,0.0140529,0.0007341,0.013653,0.000674,0.000511,0,0,0
K02597.02,KOI-2597,Kepler-394 c,Gaia DR3 2135378231142791808       ,12.130657,0.000017,0.0152942,0.0008927,0.014401,0.000578,0.000656,0,0,0
K02597.03,KOI-2597,KOI-2597.03,Gaia DR3 2135378231142791808       ,5.613583,0.000014,0.0114361,0.0008671,0.011931,0.00049,0.000588,0,0,0
K02632.01,KOI-2632,Kepler-1298 b,Gaia DR3 2132178725317511936       ,7.128124,0.000016,0.0066062,0.0005045,0.006214,0.000276,0.000126,0.006734134,0.000411939,0.000305645
K02639.01,KOI-2639,KOI-2639.01,Gaia DR3 2132004074768150400       ,25.10806,0.00002,0.0191165,0.0082877,0.016931,0.000861,0.001585,0,0,0
K02678.01,KOI-2678,Kepler-1313 b,Gaia DR3 2125713940547834496       ,3.83309,0.000003,0.0222444,0.0008099,0.019496,0.000341,0.00068,0,0,0
K02706.01,KOI-2706,KOI-2706.01,Gaia DR3 2107315365800640896       ,3.097587,0.000003,0.0088241,0.0003409,0.008653,0.000264,0.000119,0.008848756,0.000206092,0.000140953
K03097.01,KOI-3097,Kepler-431 d,Gaia DR3 2116862833283266432       ,11.921625,0.000021,0.0053683,0.0007059,0.006625,0.000297,0.000245,0,0,0
K03165.01,KOI-3165,KOI-3165.01,Gaia DR3 2130320172711659136       ,4.117558,0.000012,0.0059901,0.0003735,0.005388,0.000172,0.000212,0,0,0
K03168.01,KOI-3168,KOI-3168.01,Gaia DR3 2100416823690394624       ,56.348109,0.000022,0.0068121,0.0006266,0.006667,6.50E-05,0.000534,0.005836187,0.000352947,0.000361122
K03197.01,KOI-3197,KOI-3197.01,Gaia DR3 2079695496278608896       ,22.599212,0.00002,0.0084665,0.0051937,0.011463,0.000163,0.001593,0,0,0
