KOI,Host KOI,Kepler name,Host Gaia ID,P (VanHo),P pme (VanHo,PSR (VanHo),PSR pme (VanHo),PSR (Fulton),PSR pe (Fulton),PSR me (Fulton),PSR (Van Eylen),PSR pe (Van Eylen),PSR me (Van Eylen)
K00829.02,KOI-829,Kepler-53 d,Gaia DR3 2101188990094347648       ,9.751929,0.000019,0.0192496,0.0009591,0.023649,0.000466,0.004133,0,0,0
K00834.02,KOI-834,Kepler-238 d,Gaia DR3 2100624562669914240       ,13.233546,0.000019,0.0197413,0.0005424,0.020462,0.000601,0.00027,0,0,0
K00834.03,KOI-834,Kepler-238 c,Gaia DR3 2100624562669914240       ,6.155574,0.00001,0.0144034,0.000473,0.017858,0.000105,0.001838,0,0,0
K00834.04,KOI-834,Kepler-238 b,Gaia DR3 2100624562669914240       ,2.090815,0.000006,0.0094475,0.0004878,0.00999,0.000558,0.00024,0,0,0
K00834.05,KOI-834,Kepler-238 f,Gaia DR3 2100624562669914240       ,50.447315,0.00002,0.0203404,0.0008933,0.020445,0.002503,0.001917,0,0,0
K00841.03,KOI-841,KOI-841.03,Gaia DR3 2053586321364864640       ,6.546272,0.000009,0.0236775,0.0009438,0.029998,0.001692,0.004189,0,0,0
K00864.01,KOI-864,Kepler-244 b,Gaia DR3 2102469921138142208       ,4.311781,0.000004,0.0307689,0.0006088,0.032741,0.00015,0.000978,0,0,0
K00864.02,KOI-864,Kepler-244 d,Gaia DR3 2102469921138142208       ,20.050393,0.000018,0.025065,0.0007008,0.031691,0.000227,0.003959,0,0,0
K00864.03,KOI-864,Kepler-244 c,Gaia DR3 2102469921138142208       ,9.767345,0.000014,0.0273272,0.0016539,0.022847,0.000763,0.001142,0,0,0
K00869.01,KOI-869,Kepler-245 b,Gaia DR3 2101768089124657664       ,7.49017,0.000007,0.0308828,0.0006549,0.031177,0.000761,0.000381,0,0,0
K00869.03,KOI-869,Kepler-245 c,Gaia DR3 2101768089124657664       ,17.460864,0.000016,0.0285918,0.0014273,0.026535,0.001109,0.000667,0,0,0
K00869.04,KOI-869,Kepler-245 e,Gaia DR3 2101768089124657664       ,3.219823,0.000005,0.0160162,0.000825,0.020121,0.000722,0.000435,0,0,0
K00872.02,KOI-872,Kepler-46 d,Gaia DR3 2102700131386216576       ,6.766514,0.000013,0.0176764,0.0009192,0.021329,0.003491,0.001057,0,0,0
