source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,phot_variable_flag,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
2127985806448631808,293.6297645369043,0.02327691931157378,45.74062926887018,0.02799144553645386,0.45535944393681044,0.027128905131545908,15.569529,0.97457504,,,0,"NOT_AVAILABLE",5361.0,5289.0,6231.1445,,1.7223257,1.2748857,1.7695374,2.2075393,1.8802255,2.534853,"Gaia DR2 2127985806448631808",293.6297645369043,45.74062926887018,0.4554,1.0359,-2.8128,0.0,2015.5,0.0
2134850847813263360,296.20055063044106,0.014850357823088566,49.14003043742409,0.02224502376473758,1.3238340682679797,0.02025072575323283,13.713638,0.90748024,,,0,"NOT_AVAILABLE",5549.0,5424.75,5718.0,0.492,1.2864417,1.2115219,1.3460466,1.4136236,1.356671,1.4705762,"Gaia DR2 2134850847813263360",296.20055063044106,49.14003043742409,1.3238,-2.7797,-12.1217,0.0,2015.5,7.105427357601002E-15
2051866238502437632,292.62749434147986,0.019059748527774617,37.86016532109599,0.02333517918319463,2.4884988137068405,0.0256570985254468,11.829154,0.70111275,-26.60451556468202,0.7876879366503332,11,"NOT_AVAILABLE",6269.0,6012.6665,6607.0,0.1357,1.2544843,1.129414,1.3637273,2.1898694,2.1516256,2.2281132,"Gaia DR2 2051866238502437632",292.62749434147986,37.86016532109599,2.4885,7.1745,7.025,-26.6045,2015.5,7.105427357601002E-15
2082161219824397568,300.33234042935067,0.012645125946743175,44.98610646967674,0.015539271365237433,1.0780795016515656,0.014547743028526005,13.280267,0.7633896,,,0,"NOT_AVAILABLE",5496.57,4702.13,6161.0,0.6245,1.9706393,1.5685134,2.6927834,3.1935668,3.063145,3.3239887,"Gaia DR2 2082161219824397568",300.33234042935067,44.98610646967674,1.0781,-6.6241,-8.4494,0.0,2015.5,0.0
2079807646464016256,295.90497947088073,0.026767494588318806,45.405429562345056,0.03693953315710311,1.1291965652429623,0.032145866524079796,15.813741,1.1557302,,,0,"NOT_AVAILABLE",4930.0,4883.0,5016.5,0.2443,0.7626673,0.7365926,0.7774197,0.30956557,0.28852832,0.33060282,"Gaia DR2 2079807646464016256",295.90497947088073,45.405429562345056,1.1292,-4.6449,-0.4141,0.0,2015.5,0.0
2130889204338693504,287.78081152086946,0.015118241336773449,47.629845335301546,0.01813415902482461,1.093873426672693,0.01686371137431035,14.232879,0.772233,,,0,"NOT_AVAILABLE",5941.0,5893.6665,5985.3335,0.112,1.055522,1.0399433,1.0725443,1.2504534,1.1950545,1.3058522,"Gaia DR2 2130889204338693504",287.78081152086946,47.629845335301546,1.0939,-1.7141,-12.306,0.0,2015.5,0.0
2135055391335687680,294.3660312648409,1.0892140576436669,49.91502192093307,1.4244161859373738,,,16.002333,2.2404985,,,0,"NOT_AVAILABLE",3757.6667,3482.0,4179.2075,,,,,,,,"Gaia DR2 2135055391335687680",294.3660312648409,49.91502192093307,0.0,0.0,0.0,0.0,2015.5,7.105427357601002E-15
2105415302330571008,282.1856949301849,0.010103296811631007,44.43446171541739,0.011509633215779354,1.7313087158110685,0.011848539327049299,13.405694,0.8715048,,,0,"NOT_AVAILABLE",5730.0,5518.3896,5937.5,0.277,1.0554013,0.98292327,1.1378949,1.0818036,1.0576149,1.1059922,"Gaia DR2 2105415302330571008",282.1856949301849,44.43446171541739,1.7313,-16.1393,-0.7462,0.0,2015.5,4.058914121473905E-14
2073652546016392448,297.43038260303297,0.02817036905265539,39.84787952980941,0.03362545889320154,1.8123247221020788,0.03551756432158815,15.908843,1.6035805,,,0,"NOT_AVAILABLE",4218.088,4131.4297,4403.187,0.616,0.71003324,0.6515919,0.74013203,0.14378533,0.13720416,0.1503665,"Gaia DR2 2073652546016392448",297.43038260303297,39.84787952980941,1.8123,1.4836,5.2875,0.0,2015.5,7.105427357601002E-15
2076185408488670208,295.1640094502695,0.018028046408882167,39.201402390419204,0.020722578238213364,1.1630760963343985,0.022063155299171435,15.071491,1.0166893,,,0,"NOT_AVAILABLE",5167.8975,4922.8677,5328.0,0.177,0.92587507,0.87106735,1.0203375,0.5508775,0.52331734,0.5784377,"Gaia DR2 2076185408488670208",295.1640094502694,39.201402390419204,1.1631,4.0094,-1.6979,0.0,2015.5,4.404961479816242E-14
2103845032226500352,285.21667669283033,0.02310393460243878,41.282444913588535,0.028139127715314686,1.3484177095010366,0.028139038441763763,15.606994,1.3100109,,,0,"NOT_AVAILABLE",4839.0,4612.4404,4993.21,0.5015,0.73753434,0.6926819,0.81176805,0.2687087,0.25488374,0.28253368,"Gaia DR2 2103845032226500352",285.21667669283033,41.282444913588535,1.3484,-2.0086,-1.7122,0.0,2015.5,0.0
2076454445237794432,294.66467890841784,0.02155887938552263,39.783846145363334,0.028650282818414693,1.9703387881105137,0.03246695495141298,14.904736,1.2624559,,,0,"NOT_AVAILABLE",4847.6953,4755.31,5061.0,0.252,0.6941569,0.63687706,0.7213908,0.23974594,0.23033684,0.24915504,"Gaia DR2 2076454445237794432",294.66467890841784,39.783846145363334,1.9703,-5.3994,4.7238,0.0,2015.5,7.105427357601002E-15
2128198974266072192,293.9886751124171,0.01956784299986079,46.71799957818681,0.02372123835119109,0.7227794991019737,0.024212091076535266,15.108841,0.88167477,,,0,"NOT_AVAILABLE",5719.0,5615.75,6041.4,0.4045,1.1587459,1.0383726,1.2017466,1.2940514,1.1827787,1.4053241,"Gaia DR2 2128198974266072192",293.9886751124171,46.71799957818681,0.7228,-4.3771,-11.3805,0.0,2015.5,0.0
2125751461382627840,292.6149957952422,0.018558473382454126,42.76434376355072,0.021457988956835906,8.818749166588802,0.022606715907131297,10.091109,0.837039,9.928364474336606,0.2583703595695351,4,"NOT_AVAILABLE",5723.0,5551.59,5863.0,0.051,0.9560196,0.9109079,1.0159668,0.8833305,0.87929714,0.8873639,"Gaia DR2 2125751461382627840",292.6149957952422,42.76434376355072,8.8187,-19.4364,21.2947,9.9284,2015.5,0.0
2134931077802625792,295.58646040317717,0.023327515398333717,49.66685234764911,0.028488330682423825,1.0410771542506967,0.02737005065666723,15.3626795,0.98370266,,,0,"NOT_AVAILABLE",5332.0,5287.375,5354.6665,0.1583,0.8392462,0.8321561,0.85347235,0.5129016,0.47941986,0.5463833,"Gaia DR2 2134931077802625792",295.58646040317717,49.66685234764911,1.0411,-2.6752,3.8957,0.0,2015.5,0.0
2085204015173031552,300.31617227064714,0.013731572680807764,45.495327098715606,0.016096582508251127,1.0478460083727432,0.017262023598633505,12.984184,0.8761797,,,0,"NOT_AVAILABLE",5744.3335,5519.6665,6060.0,,2.105814,1.8921435,2.2807288,4.350041,4.1684904,4.5315914,"Gaia DR2 2085204015173031552",300.31617227064714,45.495327098715606,1.0478,-4.4526,-14.4976,0.0,2015.5,0.0
2051027792165858304,290.61785865121726,0.025212495802275473,37.289100186011964,0.0316580572466106,1.659279938858944,0.034851129318442885,15.65396,1.3381376,,,0,"NOT_AVAILABLE",4926.05,4788.685,5060.3335,,0.55981064,0.53049403,0.592388,0.16625406,0.15806618,0.17444193,"Gaia DR2 2051027792165858304",290.61785865121726,37.289100186011964,1.6593,-14.2461,4.0208,0.0,2015.5,0.0
2099854801450635520,286.00673122052007,0.020450683570983418,38.00954070684546,0.024967145156610946,1.1269949618498054,0.026182312583689433,15.366541,1.1287537,,,0,"NOT_AVAILABLE",4947.3335,4882.737,4987.0,0.383,0.9304487,0.91570604,0.95523053,0.46726617,0.43999392,0.49453843,"Gaia DR2 2099854801450635520",286.00673122052007,38.00954070684546,1.127,1.6107,4.8063,0.0,2015.5,7.105427357601002E-15
2051368434612892800,289.8429062096733,0.022122677866735142,38.30962204673422,0.031105949832588815,0.9012207943510547,0.030946505954135242,15.232335,0.9521189,,,0,"NOT_AVAILABLE",5393.5,5339.8525,5504.0,0.237,1.0021911,0.96235436,1.0224295,0.7657349,0.70240766,0.82906216,"Gaia DR2 2051368434612892800",289.8429062096733,38.30962204673422,0.9012,3.072,1.3268,0.0,2015.5,0.0
2052139123549626240,295.16720650692884,0.030334494718028935,38.63703897981256,0.03820473963298489,0.5601598626641439,0.04480114645556343,15.569098,0.98711395,,,0,"NOT_AVAILABLE",5332.3335,5258.98,5361.0,,1.4181182,1.4029927,1.4579546,1.4648353,1.2029426,1.726728,"Gaia DR2 2052139123549626240",295.16720650692884,38.63703897981256,0.5602,-2.4534,-5.1559,0.0,2015.5,0.0
2099583977992504576,287.9754690860427,0.011308079272718999,38.740298768085346,0.015893785545414214,1.4877454331981068,0.015411208522034826,13.381057,0.82705307,,,0,"NOT_AVAILABLE",5814.0,5762.0,6070.027,0.269,1.2034235,1.1040463,1.2252424,1.4908426,1.4450551,1.53663,"Gaia DR2 2099583977992504576",287.9754690860427,38.740298768085346,1.4877,1.8332,2.9061,0.0,2015.5,0.0
2100524610190045312,287.40999052602575,0.019176649406426386,39.658626699436155,0.02143957871874095,1.7607936044904187,0.02336407470481644,12.616561,0.6903944,-13.863796863578859,1.4384755657488573,10,"NOT_AVAILABLE",6343.0,6188.473,6416.0,0.1425,1.2044175,1.1771661,1.2653173,2.1155713,2.066353,2.1647894,"Gaia DR2 2100524610190045312",287.40999052602575,39.658626699436155,1.7608,-11.4634,-14.1024,-13.8638,2015.5,4.376150905369116E-14
2073697660354300544,297.04201500791635,0.01448983462964209,39.91218640232855,0.018325987403383984,2.3273916385821707,0.019099429574863585,14.303126,1.1848698,,,0,"NOT_AVAILABLE",4949.0,4888.315,5099.0,0.1287,0.73460126,0.69201666,0.75295365,0.29165396,0.28505325,0.29825467,"Gaia DR2 2073697660354300544",297.04201500791635,39.91218640232855,2.3274,-7.5249,-6.0819,0.0,2015.5,0.0
2101508501301083520,291.28504458205634,0.6851036090110854,40.73002245544736,1.0291524677919373,,,15.868297,2.100438,,,0,"NOT_AVAILABLE",3848.3333,3608.0,4159.1665,,,,,,,,"Gaia DR2 2101508501301083520",291.28504458205634,40.73002245544736,0.0,0.0,0.0,0.0,2015.5,0.0
2077726678964445696,293.5663714525776,1.9235909737845263,42.13258247294375,2.1373124349651493,,,15.705262,1.1004028,,,0,"NOT_AVAILABLE",5114.0,4425.0,5758.967,,,,,,,,"Gaia DR2 2077726678964445696",293.5663714525776,42.13258247294375,0.0,0.0,0.0,0.0,2015.5,0.0
2125848733801094912,292.95827274483315,0.02995800122863624,42.854890856347886,0.0372373523342384,1.0689202025050584,0.036288223897101374,15.717958,1.0401354,,,0,"NOT_AVAILABLE",5081.5,4744.5,5392.0,0.0085,0.77978146,0.69255936,0.8944908,0.36526513,0.33643582,0.39409444,"Gaia DR2 2125848733801094912",292.95827274483315,42.854890856347886,1.0689,8.7134,-1.9309,0.0,2015.5,4.167069422103858E-14
2078000289864478976,295.8254662581427,0.024766535898581712,42.94337161523092,0.02936455960703177,1.6505763390066568,0.029155489725686753,15.504985,1.3532085,,,0,"NOT_AVAILABLE",4732.182,4518.6665,4982.0,0.2213,0.6704666,0.6049126,0.7353253,0.20309295,0.19432695,0.21185894,"Gaia DR2 2078000289864478976",295.8254662581427,42.94337161523092,1.6506,-7.707,-4.0366,0.0,2015.5,0.0
2078996821055736960,298.67380344122597,1.1503016601810607,43.795509927278225,1.2514210109550423,,,12.1213455,0.8842974,-11.483205811437733,1.234688939100793,6,"NOT_AVAILABLE",5601.8667,5435.4727,6036.35,,,,,,,,"Gaia DR2 2078996821055736960",298.6738034412259,43.795509927278225,0.0,0.0,0.0,-11.4832,2015.5,4.1641097394976797E-14
