designation,source_id,ra,dec,parallax,parallax_error,phot_g_mean_mag,radial_velocity,radial_velocity_error,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
"Gaia DR3 5664814198431308288",5664814198431308288,144.00748512333524,-21.665200855258018,105.97890913558383,0.022696694,9.891662,-35.028374,0.16913296,3204.3516,3200.2273,3282.89,-0.8728,-0.8897,-0.5468,"Gaia DR2 5664814198431308288",144.00746441016133,-21.665063362065673,105.883,138.6942,-990.3108,0.0,2015.5,5.167443744007471E-8
"Gaia DR3 457317534880081152",457317534880081152,38.36916388723121,56.025707971568316,1.4780516435938256,0.0138910515,12.21276,-8.473836,2.8528962,,,,,,,"Gaia DR2 457317534880081152",38.36916482359912,56.025707965743294,1.499,-3.2521,0.052,-3.7013,2015.5,7.159500519434068E-8
"Gaia DR3 1499514786891168640",1499514786891168640,209.38861950302993,43.49330385067514,7.044821721615503,0.010478119,12.408207,-40.436626,0.5823577,4507.6455,4503.062,4517.426,-0.1991,-0.2071,-0.1867,"Gaia DR2 1499514786891168640",209.38864522670602,43.4933099858866,6.9763,-134.7908,-44.2944,-40.0058,2015.5,6.19035647030696E-8
"Gaia DR3 179498266829041664",179498266829041664,66.24814452059672,39.460600684443286,5.185604406647594,0.01663114,11.716202,31.410603,0.46857882,5372.22,5345.358,5409.4497,-0.0133,-0.0407,0.0302,"Gaia DR2 179498266829041664",66.24814197446086,39.460601960676996,5.1664,14.4034,-9.3771,31.2101,2015.5,4.344308703934647E-8
"Gaia DR3 1849786481032616960",1849786481032616960,324.53596511792904,30.488170498859596,10.819497738526024,0.01823804,10.278542,20.53053,0.164995,5286.4,5283.531,5290.186,0.0628,0.0593,0.0667,"Gaia DR2 1849786481031300608",324.53597806404906,30.48818819604112,10.796,-80.3954,-126.9723,20.0174,2015.5,6.292729424351873E-8
"Gaia DR3 869913435026514688",869913435026514688,111.91642873572714,24.33610522093934,14.006549548036949,0.017639995,10.990832,-18.654259,0.5041868,4649.1714,4647.2856,4650.3125,0.7984,0.796,0.7996,"Gaia DR2 869913435026514688",111.9164295334374,24.33611851126443,14.0483,-4.9853,-96.2346,-19.0951,2015.5,8.306325141673173E-8
"Gaia DR3 770622651659107712",770622651659107712,171.27493460079938,41.02802258436881,3.5190175520895486,0.022835603,11.557181,-51.86987,0.47607073,5572.2466,5569.604,5579.6055,-0.1072,-0.1139,-0.0956,"Gaia DR2 770622651659107712",171.27493476440156,41.028020674947264,3.5781,-1.088,13.2426,-51.9843,2015.5,7.543768339529203E-8
"Gaia DR3 1808938730710633984",1808938730710633984,306.1239095151492,16.762145396892375,2.735836604587419,0.010759043,12.162349,-16.668509,0.8811252,5774.3516,5766.603,5779.902,-0.1446,-0.1516,-0.1371,"Gaia DR2 1808938730710633984",306.12390756897446,16.762146233023707,2.7129,13.263,-5.4119,-16.4037,2015.5,8.714661952892186E-8
"Gaia DR3 111322601672419712",111322601672419712,48.435475111904644,25.19735288979064,3.3127828783420603,0.017776499,12.832714,-13.722182,1.0642664,5040.7104,4987.185,5128.6763,-0.2544,-0.3063,-0.1479,"Gaia DR2 111322601672419712",48.43547307093631,25.197354784771154,3.3009,13.4899,-13.586,-11.8164,2015.5,2.8011207149075537E-8
"Gaia DR3 3668036348641580288",3668036348641580288,213.1565560910084,4.05939764185346,6.998540973936465,0.020390866,11.461785,14.095987,0.3919611,4961.818,4959.7344,4969.3877,-0.0633,-0.0694,-0.0565,"Gaia DR2 3668036348641580288",213.1565508228149,4.059417462482081,7.0221,37.8389,-142.8908,14.5758,2015.5,2.5318382488841423E-8
"Gaia DR3 363702817083391232",363702817083391232,13.000920243485744,34.72840239417404,2.4728030264439855,0.015640205,12.860381,44.085926,1.1026305,5661.1562,5653.3823,5706.134,-0.0307,-0.04,0.0169,"Gaia DR2 363702817083391232",13.000915933007947,34.728402041447204,2.4633,25.5187,2.8589,48.0597,2015.5,4.437308626036608E-8
"Gaia DR3 4583004815239650176",4583004815239650176,271.537671060719,26.42660420231556,2.9150594009808177,0.013419858,11.448122,-3.615044,0.32610917,5806.3364,5795.639,5816.737,-0.2014,-0.2118,-0.1923,"Gaia DR2 4583004815239650176",271.53767217435893,26.426606107260945,2.8779,-7.4366,-13.4015,-3.243,2015.5,5.630207816901723E-8
"Gaia DR3 2133946843094378752",2133946843094378752,284.29603837452964,51.26912106289137,2.5686356955745944,0.009980177,13.252269,-20.67255,2.0369546,5454.4395,5434.468,5467.1924,0.0113,-0.013,0.0253,"Gaia DR2 2133946843094378752",284.29603929272326,51.269121198999564,2.5314,-4.1137,-0.8544,0.0,2015.5,1.7720629275069825E-8
"Gaia DR3 1962153854973972096",1962153854973972096,335.51292167392506,45.45734141046544,2.0534180420700974,0.016772069,11.4148245,-25.778393,0.3696034,,,,,,,"Gaia DR2 1962153854973972096",335.51291993739136,45.45734225223013,2.1246,8.9622,-5.4099,-25.7066,2015.5,9.424372337139168E-8
"Gaia DR3 1835842749465226368",1835842749465226368,305.44132799220523,26.692676097505817,2.886155653716607,0.014929653,10.210516,15.034858,0.24867526,6739.136,6721.051,6748.588,-0.352,-0.358,-0.3466,"Gaia DR2 1835842749465226368",305.4413294098608,26.692675914761573,2.8258,-9.2025,1.9014,15.1979,2015.5,8.215510741264359E-8
"Gaia DR3 4606030169272920320",4606030169272920320,274.4055355848893,36.621462460816105,3.2184425390915,0.010455294,11.815647,8.56191,1.1060768,5752.1475,5751.112,5753.5054,-0.0345,-0.0383,-0.0302,"Gaia DR2 4606030169272920320",274.40553347889204,36.62146168347412,3.2679,11.8658,6.0307,7.7255,2015.5,7.358217141930313E-8
"Gaia DR3 3385777286999240576",3385777286999240576,100.84801246998089,27.252179208998616,3.1803549111580183,0.016531892,10.824878,36.860626,0.9421341,6480.038,6468.21,6494.501,-0.233,-0.2441,-0.2216,"Gaia DR2 3385777286999240576",100.8480137442826,27.25218233081383,3.0912,-8.1615,-22.9542,36.027,2015.5,6.627150555646486E-8
"Gaia DR3 1925321658551399040",1925321658551399040,354.77408786460535,42.46598700990808,3.6458922712977846,0.022111854,10.31066,-21.667309,0.33985108,6715.8354,6704.9644,6728.7925,-0.4524,-0.4615,-0.4367,"Gaia DR2 1925321658546436352",354.7740917125128,42.46598663551603,3.6036,-20.0751,3.1231,-22.1269,2015.5,7.782049667883097E-8
"Gaia DR3 3080104185367102592",3080104185367102592,130.5056380692002,3.7105663796078634,2.984291239605465,0.019167325,9.777479,1.0841682,0.757274,7675.4897,7666.6543,7685.702,-0.2621,-0.2702,-0.2538,"Gaia DR2 3080104185367102592",130.5056384529278,3.7105661773808136,2.9021,-2.8562,0.984,0.0,2015.5,6.69911243836489E-8
"Gaia DR3 3291455819447952768",3291455819447952768,74.55233279420126,9.997978782884088,3.1430007154120596,0.023876483,9.458499,21.801088,1.3908815,8811.203,8684.81,9056.744,-0.6242,-0.7424,-0.5176,"Gaia DR2 3291455819447952768",74.55233315106537,9.997979429174482,2.9962,-2.6574,-4.9963,0.0,2015.5,5.080064437456942E-8
"Gaia DR3 898130030131443584",898130030131443584,110.16851397513459,37.14059288077666,2.162599706281586,0.014048763,12.146357,20.69231,2.2675128,6146.142,6138.8213,6158.605,-0.1311,-0.1389,-0.1199,"Gaia DR2 898130030131443584",110.16851565511884,37.14059462289137,2.1687,-9.6299,-13.0429,0.0,2015.5,6.942059634427687E-8
"Gaia DR3 2966680597368750720",2966680597368750720,88.14680750022252,-19.03162579997132,5.892475636080271,0.018947652,14.344855,37.963,1.6691499,4663.2993,4647.0815,4781.199,-1.4787,-1.4798,-1.4758,"Gaia DR2 2966680597368750720",88.1468078577286,-19.03162683587583,5.8774,-2.5325,7.3488,0.0,2015.5,2.0539069701497793E-8
"Gaia DR3 6125644402384918784",6125644402384918784,186.5740469397414,-51.36305883142051,15.486075734153127,0.01270501,9.095598,16.910528,0.15331148,5645.641,5635.7505,5678.3623,-0.3973,-0.4188,-0.3592,"Gaia DR2 6125644402384918784",186.57406267108885,-51.363051948371485,15.4517,-70.4341,-49.8654,16.7776,2015.5,5.8425338631336335E-8
"Gaia DR3 5902750168276592256",5902750168276592256,230.43977568214885,-48.31885569587278,67.84669435693799,0.06005369,5.48217,-68.7763,0.12268176,5620.91,5619.8115,5622.0366,-0.6025,-0.6131,-0.5922,"Gaia DR2 5902750168276592256",230.44011474118648,-48.31881738215658,68.0818,-1624.0468,-276.0237,-68.6632,2015.5,9.622282818308252E-8
