pl_name,sy_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_imppar,pl_impparerr1,pl_impparerr2,pl_trandep,pl_trandeperr1,pl_trandeperr2,ra,dec,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2
Kepler-1987 e,4,8.74292005,0.00003311,-0.00003311,0.0765,,,1.92,0.18,-0.13,0,,,89.95,,,0.025,0.416,-0.025,0.07795,0.00282,-0.00282,295.8254663,42.9433716,595.683,10.608,-10.249,1.65058,0.0291555,-0.0291555
Kepler-1988 b,1,11.49500229,0.00008821,-0.00008821,0.1038,,,1.53,0.3,-0.49,0,,,79.67,,,0.911,0.051,-0.613,0.00514,0.00024,-0.00024,298.6738034,43.7955099,513.426,,,,,
Kepler-1989 b,1,10.16102353,0.00000918,-0.00000918,0.0918,,,4.62,1.37,-0.73,0,,,87.78,,,0.716,0.053,-0.501,0.16539,0.00167,-0.00167,290.7351869,44.091262,1252.13,33.33,-31.68,0.770016,0.0205698,-0.0205698
Kepler-1990 b,2,1.73513619,0.00000028,-0.00000028,0.0286,,,3.27,0.54,-0.33,0,,,89.57,,,0.045,0.192,-0.045,0.09526,0.00023,-0.00023,299.7047433,44.4357068,392.739,4.24,-4.152,2.51773,0.0269966,-0.0269966
Kepler-1990 c,2,4.06844957,0.00001212,-0.00001212,0.0504,,,0.98,0.17,-0.1,0,,,86.61,,,0.55,0.377,-0.337,0.00798,0.0003,-0.0003,299.7047433,44.4357068,392.739,4.24,-4.152,2.51773,0.0269966,-0.0269966
Kepler-1991 b,2,13.26079792,0.00009795,-0.00009795,0.1065,,,1.47,0.2,-0.21,0,,,89.51,,,0.22,0.25,-0.22,0.01994,0.00124,-0.00124,285.0360506,45.0709909,855.82,14.365,-13.906,1.13978,0.0191509,-0.0191509
Kepler-1991 c,2,22.79020351,0.00006878,-0.00006878,0.1528,,,2.57,0.36,-0.36,0,,,89.94,,,0.036,0.415,-0.036,0.06179,0.00139,-0.00139,285.0360506,45.0709909,855.82,14.365,-13.906,1.13978,0.0191509,-0.0191509
Kepler-1992 b,1,15.6112238,0.0001275,-0.0001275,0.1169,,,0.91,0.09,-0.05,0,,,89.03,,,0.468,0.489,-0.26,0.01135,0.00081,-0.00081,295.0902409,45.0811045,532.955,4.041,-4.041,1.8475,0.0141196,-0.0141196
Kepler-1993 b,1,26.6565737,0.0002052,-0.0002052,0.1943,,,4.15,1.28,-2.98,0,,,88.72,,,0.686,0.242,-0.48,0.01634,0.00094,-0.00094,293.7968548,45.1607261,1031.91,18.37,-18.37,0.940416,0.0171198,-0.0171198
Kepler-1994 b,1,4.61225043,0.00003445,-0.00003445,0.053,,,0.51,0.06,-0.05,0,,,89.95,,,0.012,0.44,-0.012,0.00291,0.00024,-0.00024,297.1487941,46.2969247,241.991,1.465,-1.448,4.10366,0.0246901,-0.0246901
Kepler-1995 b,1,73.7578875,0.0004304,-0.0004304,0.3259,,,4.28,2.21,-0.66,0,,,89.74,,,0.714,0.205,-0.487,0.18369,0.00988,-0.00988,284.342725,46.3165907,595.331,9.508,-9.22,1.65127,0.0262158,-0.0262158
Kepler-1996 b,2,32.376183,0.0001311,-0.0001311,0.1789,,,2.26,0.16,-0.07,0,,,88.18,,,0.896,0.009,-0.61,0.07454,0.00241,-0.00241,285.2537555,46.5822183,440.561,4.42,-4.334,2.24116,0.0223801,-0.0223801
Kepler-1996 c,2,92.7297248,0.000398,-0.000398,0.3608,,,2.81,0.2,-0.08,0,,,89.19,,,0.857,0.056,-0.597,0.12575,0.00319,-0.00319,285.2537555,46.5822183,440.561,4.42,-4.334,2.24116,0.0223801,-0.0223801
Kepler-1997 b,1,26.7575866,0.0002942,-0.0002942,0.1815,,,2.28,0.72,-0.28,0,,,89.29,,,0.407,0.058,-0.407,0.04553,0.00298,-0.00298,297.4808253,46.5891373,1502.34,67.15,-61.73,0.637792,0.0282901,-0.0282901
Kepler-1998 b,1,3.03267135,0.00001374,-0.00001374,0.0405,,,0.6,0.08,-0.04,0,,,88.93,,,0.238,0.232,-0.238,0.00424,0.00032,-0.00032,283.4291536,47.5923973,340.965,2.539,-2.502,2.9041,0.0215137,-0.0215137
Kepler-1999 b,1,8.7396758,0.0003092,-0.0003092,0.0713,,,3.29,0.26,-0.3,0,,,82.59,,,0.957,0.001,-0.68,0.1431,0.0107,-0.0107,282.3705675,48.259234,701.255,18.408,-17.505,1.39805,0.0362168,-0.0362168
Kepler-2000 b,2,6.38315913,0.0000064,-0.0000064,0.0562,,,2.73,0.1,-0.17,0,,,89.61,,,0.197,0.237,-0.197,0.23132,0.00408,-0.00408,285.5743032,49.9621218,320.588,3.651,-3.651,3.0909,0.0352528,-0.0352528
Kepler-2000 c,2,20.6180348,0.0001382,-0.0001382,0.1228,,,1.57,0.06,-0.1,0,,,89.82,,,0.155,0.314,-0.155,0.07695,0.00521,-0.00521,285.5743032,49.9621218,320.588,3.651,-3.651,3.0909,0.0352528,-0.0352528
Kepler-2001 b,2,1.090011,0.00000582,-0.00000582,0.0197,,,1.04,0.13,-0.08,0,,,83.71,,,0.531,0.001,-0.479,0.01748,0.00183,-0.00183,291.6594558,50.5838585,776.55,20.136,-19.16,1.25962,0.0323181,-0.0323181
Kepler-2001 c,2,14.09258319,,,0.1084,,,1.82,0.23,-0.13,0,,,88.45,,,0.586,,,0.05304,,,291.6594558,50.5838585,776.55,20.136,-19.16,1.25962,0.0323181,-0.0323181
Kepler-290 d,3,0.76401755,0.00000377,-0.00000377,0.0154,,,0.86,0.12,-0.07,0,,,84.79,,,0.442,0.5,-0.237,0.01282,0.0013,-0.0013,286.4100307,42.6815137,694.627,14.518,-13.946,1.41133,0.0292632,-0.0292632
Kepler-297 d,3,150.0189511,0.0001744,-0.0001744,0.523,,,32.6,3.6,-2.94,0,,,89.4,,,1.252,67.034,-0.169,0.43197,0.00468,-0.00468,283.2091605,48.7776156,692.14,8.083,-7.901,1.41601,0.0165559,-0.0165559
Kepler-31 d,3,87.6451,0.0014,-0.0014,0.4,,,3.9,0.8,-0.8,,,,,,,0.5,0.4,-0.5,0.0959,,,294.0230229,45.8530535,1664.64,64.34,-64.34,0.572219,0.0230291,-0.0230291
Kepler-311 d,3,232.040326,0.006902,-0.006902,0.7326,,,2.05,0.33,-0.29,0,,,89.7,,,0.61,0.341,-0.388,0.02908,0.00219,-0.00219,282.0612731,47.0854984,778.654,9.2165,-9.2165,1.25545,0.0150858,-0.0150858
Kepler-32 d,5,22.7802,0.0005,-0.0005,0.13,,,2.7,0.2,-0.2,,,,,,,,,,0.2181,,,297.8423073,46.5743595,323.847,3.4025,-3.4025,3.05948,0.0321976,-0.0321976
Kepler-32 e,5,2.896,0.0003,-0.0003,0.033,,,1.5,0.1,-0.1,,,,,,,,,,0.0671,,,297.8423073,46.5743595,323.847,3.4025,-3.4025,3.05948,0.0321976,-0.0321976
Kepler-32 f,5,0.74296,0.00007,-0.00007,0.013,,,0.82,0.07,-0.07,,,,,,,,,,0.0224,,,297.8423073,46.5743595,323.847,3.4025,-3.4025,3.05948,0.0321976,-0.0321976
Kepler-347 d,3,85.517344,0.001846,-0.001846,0.3802,,,3.04,0.45,-0.71,0,,,88,,,0.944,0.026,-0.679,0.02702,0.00216,-0.00216,289.1995995,49.3056404,1298.88,28.87,-27.66,0.741042,0.0166241,-0.0166241
Kepler-4 b,1,3.21346,0.00022,-0.00022,0.0456,0.0009,-0.0009,4.002,0.213,-0.213,0,,,89.76,0.24,-2.05,0.022,0.234,-0.022,0.087,,,285.6154492,50.1357712,487.916,5.898,-5.761,2.02093,0.0242994,-0.0242994
Kepler-416 d,3,3.07644709,0.00001038,-0.00001038,0.0407,,,1.61,0.23,-0.17,0,,,83.78,,,0.708,0.235,-0.505,0.02167,0.00081,-0.00081,291.5569554,39.2272923,690.819,9.0135,-9.0135,1.41892,0.0187422,-0.0187422
Kepler-42 c,3,0.45328509,0.00000097,-0.00000097,0.006,,,0.73,0.2,-0.2,,,,,,,0.52,0.068,-0.068,0.156,0.0088,-0.0086,292.2196,44.6173667,40.0595,0.065,-0.0647,24.934,0.0400874,-0.0400874
Kepler-423 b,1,2.6843285,0.00000007,-0.00000007,0.03585,0.00052,-0.00114,13.361,0.583,-0.583,0.019,0.028,-0.014,87.828,0.126,-0.126,0.3006,0.01,-0.01,1.5872,0.0062,-0.0062,292.8557189,46.3911883,758.753,12.76,-12.76,1.28941,0.0219914,-0.0219914
Kepler-45 b,1,2.455239,0.000004,-0.000004,0.03,,,10.76,1.23,-1.23,0.11,0.1,-0.09,87,0.7,-0.7,0.6,0.2,-0.2,3.204,0.072,-0.072,292.8729292,41.0641727,381.949,6.3825,-6.3825,2.59039,0.0434038,-0.0434038
Kepler-549 d,3,24.61480613,0.00003227,-0.00003227,0.1575,,,4.2,0.45,-0.5,0,,,89.63,,,0.435,0.268,-0.297,0.1798,0.00288,-0.00288,283.0228527,47.2611431,635.145,7.022,-6.872,1.54567,0.0170895,-0.0170895
Kepler-58 e,4,4.45814897,0.00002897,-0.00002897,0.0533,,,1.61,0.52,-0.22,0,,,84.65,,,0.754,0.223,-0.548,0.01881,0.00145,-0.00145,296.3586251,39.1152033,969.252,24.478,-23.32,1.0037,0.025227,-0.025227
Kepler-618 d,3,11.67894236,0.00002452,-0.00002452,0.1021,,,4.17,1.31,-0.44,0,,,88.28,,,0.94,0.015,-0.712,0.11851,0.00638,-0.00638,290.8490899,48.4159782,900.678,16.3815,-16.3815,1.08162,0.0200372,-0.0200372
