designation,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
"Gaia DR3 2075112109039378688",5068.2783,5061.7856,5075.9214,0.1398,0.1311,0.1487,"Gaia DR3 2075112109039378688",299.13931178730104,40.94893620015961,3.2283,13.215,-20.4097,-13.3448,2016.0,0.0
"Gaia DR3 2075161655782111872",5248.539,5234.149,5259.245,0.1059,0.0942,0.1158,"Gaia DR3 2075161655782111872",299.3196740288222,41.384747214814375,4.0579,17.3574,18.7323,-22.3826,2016.0,7.105427357601002E-15
"Gaia DR3 2076328963475704576",4555.349,4550.57,4563.451,0.4872,0.4711,0.501,"Gaia DR3 2076328963475704576",296.1125756515733,39.97874410987316,2.6675,-1.3733,-7.2066,-3.5284,2016.0,0.0
"Gaia DR3 2076565805151925760",4685.2856,4651.451,4699.2886,0.1583,0.0931,0.1815,"Gaia DR3 2076565805151925760",294.4418028422783,40.55754031496123,2.2497,-1.123,-3.3769,-26.8137,2016.0,0.0
"Gaia DR3 2076601917234347520",5575.019,5555.749,5594.6196,-0.6572,-0.6779,-0.6378,"Gaia DR3 2076601917234347520",295.2173270943838,40.592156611365546,1.068,3.0824,-11.876,12.2672,2016.0,0.0
"Gaia DR3 2076692386427776768",5521.203,5499.4497,5538.595,-0.2153,-0.2364,-0.1969,"Gaia DR3 2076692386427776768",295.28723274149723,41.22200472310721,1.0986,5.3739,10.1036,0.0,2016.0,0.0
"Gaia DR3 2076764576237957504",4545.8384,4537.4214,4553.279,0.2011,0.1859,0.217,"Gaia DR3 2076764576237957504",297.07020512138837,40.86873212640164,2.6777,7.59,-13.3446,1.4141,2016.0,0.0
"Gaia DR3 2076782889978499840",4985.614,4921.9507,5014.559,0.0566,-0.0397,0.0922,"Gaia DR3 2076782889978499840",296.8609319849194,41.0973152252619,2.4655,-15.4493,-18.6839,-43.7515,2016.0,0.0
"Gaia DR3 2076792648144511104",5813.4683,5805.508,5823.9966,-0.2673,-0.2742,-0.2586,"Gaia DR3 2076792648144511104",297.0899587167322,41.388069154379686,1.3958,-1.5958,3.9332,-29.0081,2016.0,0.0
"Gaia DR3 2076871091425583232",4697.2563,4681.005,4706.0347,0.3182,0.3001,0.33,"Gaia DR3 2076871091425583232",297.3539996494398,41.300044739930854,4.8014,1.5041,-3.3316,-25.3569,2016.0,0.0
"Gaia DR3 2076955822541823744",5427.938,5414.346,5440.7812,-0.1136,-0.1271,-0.1009,"Gaia DR3 2076955822541823744",296.7719087826088,41.755597134260654,1.1589,2.9493,9.9742,0.0,2016.0,0.0
"Gaia DR3 2076960598545789824",5522.061,5481.913,5582.274,-0.387,-0.4278,-0.3233,"Gaia DR3 2076960598545789824",297.1150948896979,41.90910820038663,1.5476,0.1058,-7.1026,-58.7884,2016.0,7.105427357601002E-15
"Gaia DR3 2076970047474270208",6022.8604,6012.137,6033.2617,-0.1723,-0.1821,-0.1621,"Gaia DR3 2076970047474270208",297.33307198708445,41.8911187240746,2.1069,2.0633,1.3368,-18.9105,2016.0,4.2907511227313006E-14
"Gaia DR3 2077140987172577408",5000.155,4969.011,5029.082,-0.3437,-0.3769,-0.3136,"Gaia DR3 2077140987172577408",295.76619923392514,42.42428190294317,0.9199,7.142,-2.1757,0.0,2016.0,4.196007839351286E-14
"Gaia DR3 2077540827141811200",5307.0483,5293.448,5319.381,0.3496,0.3378,0.3595,"Gaia DR3 2077540827141811200",294.6741519737311,42.07560443416187,3.7266,6.8382,5.6128,-21.0607,2016.0,0.0
"Gaia DR3 2077556465126659456",5708.659,5682.56,5734.648,0.0381,0.0131,0.0628,"Gaia DR3 2077556465126659456",294.2809672887076,42.29092909934029,0.5455,-3.127,-3.0854,0.0,2016.0,0.0
"Gaia DR3 2077598384004774912",5838.3506,5836.0947,5841.5664,-0.4273,-0.4356,-0.4169,"Gaia DR3 2077598384004774912",293.1802896091382,41.61774019118519,1.2698,-4.1167,-3.9984,20.4838,2016.0,0.0
"Gaia DR3 2077726678964445696",,,,,,,"Gaia DR3 2077726678964445696",293.56636962296346,42.13258072163217,0.0,0.0,0.0,0.0,2016.0,7.105427357601002E-15
