# CONSTRAINT:  where (gaia_id not null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and default_flag = 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and sy_snum = 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and pl_controv_flag = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and ttv_flag = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and pl_trandep not null),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_name,hostname,gaia_id,default_flag,sy_snum,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,ttv_flag,pl_imppar,pl_impparerr1,pl_impparerr2,pl_trandep,pl_trandeperr1,pl_trandeperr2,st_teff,st_tefferr1,st_tefferr2,st_met,st_meterr1,st_meterr2,ra,dec
K2-154 b,K2-154,Gaia DR2 3683121446312149504,1,1,0,3.67626,0.0003,-0.00031,0.0405,0.0003,-0.0003,,,,,,,,,,0,0.44,0.33,-0.3,0.11,,,4097,40,-45,0.21,0.09,-0.1,189.0015173,-2.6696217
K2-154 c,K2-154,Gaia DR2 3683121446312149504,1,1,0,7.95486,0.00084,-0.00085,0.0677,0.0005,-0.0005,,,,,,,,,,0,0.42,0.31,-0.27,0.11,,,4097,40,-45,0.21,0.09,-0.1,189.0015173,-2.6696217
K2-155 b,K2-155,Gaia DR2 145333927996558976,1,1,0,6.342,0.002,-0.002,0.0562,0.0013,-0.0014,,,,,,,88.3,1.2,-1.9,0,0.34,0.24,-0.23,0.068,0.005,-0.004,4258,150,-150,-0.3,0.2,-0.2,65.469614,21.3532633
K2-155 c,K2-155,Gaia DR2 145333927996558976,1,1,0,13.85,0.006,-0.006,0.0946,0.0031,-0.003,,,,,,,88.96,0.71,-0.88,0,0.45,0.37,-0.31,0.103,0.01,-0.006,4258,150,-150,-0.3,0.2,-0.2,65.469614,21.3532633
K2-155 d,K2-155,Gaia DR2 145333927996558976,1,1,0,40.718,0.005,-0.005,0.1937,0.0064,-0.0059,,,,,,,89.61,0.27,-0.48,0,0.44,0.33,-0.3,0.074,0.012,-0.008,4258,150,-150,-0.3,0.2,-0.2,65.469614,21.3532633
K2-158 b,K2-158,Gaia DR2 3596003497911958528,1,1,0,10.06049,0.00134,-0.00148,0.0887,0.0008,-0.0008,,,,,,,,,,0,0.38,0.31,-0.27,0.07,,,5503,51,-48,0.07,0.07,-0.07,179.9397081,-5.7216879
K2-158 c,K2-158,Gaia DR2 3596003497911958528,1,1,0,5.90279,0.00191,-0.00233,0.0622,0.0006,-0.0006,,,,,,,,,,0,0.41,0.34,-0.28,0.015,,,5503,51,-48,0.07,0.07,-0.07,179.9397081,-5.7216879
K2-159 b,K2-159,Gaia DR2 3600851450836925312,1,1,0,12.42205,0.0018,-0.00182,0.1013,0.0008,-0.0009,,,,,,,,,,0,0.44,0.3,-0.3,0.065,,,5425,44,-44,-0.07,0.06,-0.06,180.5408896,-3.5809053
K2-162 b,K2-162,Gaia DR2 3694878833385971840,1,1,0,9.45889,0.00104,-0.00107,0.0795,0.0006,-0.0006,,,,,,,,,,0,0.41,0.3,-0.29,0.02669,,,4842,49,-45,-0.17,0.05,-0.06,186.0383865,-1.111479
K2-166 b,K2-166,Gaia DR2 3701015375282968064,1,1,0,8.52695,0.00362,-0.0037,0.0858,0.001,-0.0009,,,,,,,,,,0,0.4,0.32,-0.28,0.016,,,5960,52,-53,0.09,0.06,-0.06,185.1880932,2.2823788
K2-17 b,K2-17,Gaia DR2 3899064464855774592,1,1,0,17.96753,0.00152,-0.00152,0.119,0.002,-0.002,,,,,,,,,,0,,,,0.099,,,4320,56,-47,0.15,0.09,-0.22,178.3296746,6.4123178
K2-212 b,K2-212,Gaia DR2 2538824923230146560,1,1,0,9.795647,0.000021,-0.000021,,,,,,,,,,,,,0,0.4203,0.008,-0.008,0.12797,0.0009,-0.0009,4349,50,-50,,,,18.4241015,3.0970732
K2-224 b,K2-224,Gaia DR2 3578783977588991360,1,1,0,4.47904,0.00116,-0.00132,0.0516,0.0004,-0.0004,,,,,,,,,,0,0.41,0.34,-0.28,0.0327,,,5620,42,-45,-0.19,0.06,-0.06,189.7041426,-10.0605942
K2-224 c,K2-224,Gaia DR2 3578783977588991360,1,1,0,10.09489,0.00119,-0.00114,0.0886,0.0007,-0.0007,,,,,,,,,,0,0.4,0.31,-0.27,0.05928,,,5620,42,-45,-0.19,0.06,-0.06,189.7041426,-10.0605942
K2-225 b,K2-225,Gaia DR2 3579573358218514944,1,1,0,15.87209,0.00387,-0.00338,0.134,0.001,-0.001,,,,,,,,,,0,0.4,0.32,-0.27,0.034,,,5742,49,-47,0.38,0.06,-0.06,186.5410958,-9.6248232
K2-226 b,K2-226,Gaia DR2 3581264372742210048,1,1,0,3.27108,0.00049,-0.0005,0.0413,0.0005,-0.0005,,,,,,,,,,0,0.45,0.33,-0.31,0.027,,,5424,48,-46,-0.03,0.07,-0.07,183.6456643,-9.5626286
K2-228 b,K2-228,Gaia DR2 3583611726987567232,1,1,0,2.69828,0.00022,-0.00022,0.0338,0.0003,-0.0003,,,,,,,,,,0,0.42,0.3,-0.29,0.02587,,,4715,48,-46,-0.25,0.06,-0.06,187.2947047,-6.8342028
K2-229 c,K2-229,Gaia DR2 3583630929786305280,1,1,0,8.32727,0.00041,-0.00043,0.0769,0.0003,-0.0003,,,,,,,,,,0,0.39,0.29,-0.27,0.05325,,,5315,35,-31,-0.09,0.02,-0.02,186.8729195,-6.7218474
K2-230 b,K2-230,Gaia DR2 3676684252407983488,1,1,0,2.86041,0.00061,-0.00061,0.0409,0.0003,-0.0002,,,,,,,,,,0,0.39,0.31,-0.26,0.02,,,5945,23,-25,0.1,0.04,-0.04,191.363117,-6.576051
K2-237 b,K2-237,Gaia DR2 6032746832450438400,1,1,0,2.18053539,0.00000086,-0.00000085,0.03558,0.00048,-0.00065,433.20012,34.96112,-29.24021,0.042,0.034,-0.028,88.03,1.1,-0.82,0,0.201,0.085,-0.12,1.385,0.065,-0.06,6360,190,-200,0.137,0.05,-0.049,253.7688479,-28.7105836
K2-239 b,K2-239,Gaia DR2 3857872051994269824,1,1,0,5.24,0.001,-0.001,0.0441,0.0008,-0.0008,,,,,,,88.99,0.68,-0.87,0,0.44,0.33,-0.29,0.067,0.007,-0.006,3420,18,-18,-0.1,0.1,-0.1,160.5941265,4.4413751
K2-239 c,K2-239,Gaia DR2 3857872051994269824,1,1,0,7.775,0.001,-0.001,0.0576,0.0009,-0.0009,,,,,,,88.77,0.7,-0.57,0,0.73,0.24,-0.39,0.058,0.008,-0.006,3420,18,-18,-0.1,0.1,-0.1,160.5941265,4.4413751
K2-239 d,K2-239,Gaia DR2 3857872051994269824,1,1,0,10.115,0.001,-0.001,0.0685,0.0012,-0.0012,,,,,,,89.43,0.38,-0.45,0,0.39,0.25,-0.25,0.065,0.006,-0.006,3420,18,-18,-0.1,0.1,-0.1,160.5941265,4.4413751
K2-240 b,K2-240,Gaia DR2 6257625719430982016,1,1,0,6.034,0.001,-0.001,0.0513,0.0009,-0.0009,,,,,,,89.26,0.51,-0.64,0,0.28,0.2,-0.19,0.131,0.01,-0.01,3810,17,-17,-0.1,0.1,-0.1,227.849371,-17.8754464
K2-240 c,K2-240,Gaia DR2 6257625719430982016,1,1,0,20.523,0.001,-0.001,0.1159,0.002,-0.002,,,,,,,89.66,0.22,-0.26,0,0.29,0.18,-0.19,0.098,0.016,-0.015,3810,17,-17,-0.1,0.1,-0.1,227.849371,-17.8754464
K2-241 b,K2-241,Gaia DR2 3594882751966012160,1,1,0,26.8199,0.00245,-0.00247,0.1567,0.0007,-0.0008,,,,,,,,,,0,0.41,0.3,-0.28,0.09,,,5262,43,-39,-0.44,0.04,-0.03,181.2386829,-6.8052985
K2-242 b,K2-242,Gaia DR2 3595647565382917120,1,1,0,6.51389,0.00082,-0.00083,0.0494,0.0004,-0.0004,,,,,,,,,,0,0.42,0.32,-0.29,0.624,,,3459,65,-38,-0.01,0.16,-0.18,179.8358421,-6.5178542
K2-243 b,K2-243,Gaia DR2 3597570989175080576,1,1,0,11.54182,0.00272,-0.00221,0.1087,0.0014,-0.0014,,,,,,,,,,0,0.39,0.31,-0.27,0.016,,,6570,269,-171,-0.03,0.18,-0.19,181.1211419,-4.8991358
K2-243 c,K2-243,Gaia DR2 3597570989175080576,1,1,0,24.94598,0.00491,-0.00561,0.1817,0.0022,-0.0024,,,,,,,,,,0,0.4,0.34,-0.27,0.019,,,6570,269,-171,-0.03,0.18,-0.19,181.1211419,-4.8991358
K2-244 b,K2-244,Gaia DR2 3597981377595128704,1,1,0,21.06884,0.0032,-0.00325,0.1418,0.001,-0.0011,,,,,,,,,,0,0.44,0.32,-0.3,0.03,,,5677,38,-39,-0.29,0.03,-0.03,183.4686492,-3.8318097
K2-245 b,K2-245,Gaia DR2 3694743765254445312,1,1,0,11.89307,0.00065,-0.00063,0.0959,0.0006,-0.0006,,,,,,,,,,0,0.38,0.28,-0.26,0.107,,,5793,66,-52,-0.45,0.02,-0.02,185.181563,-1.5909138
K2-246 b,K2-246,Gaia DR2 3697828548204889344,1,1,0,5.76918,0.00081,-0.00082,0.0602,0.0004,-0.0004,,,,,,,,,,0,0.41,0.29,-0.27,0.134,,,5610,32,-29,-0.19,0.03,-0.03,181.6296115,-1.1606
K2-247 b,K2-247,Gaia DR2 3578596339057980160,1,1,0,2.25021,0.00033,-0.00036,0.0304,0.0004,-0.0004,,,,,,,,,,0,0.43,0.34,-0.3,0.1,,,4667,305,-183,-0.08,0.22,-0.22,188.8935189,-10.0692793
K2-247 c,K2-247,Gaia DR2 3578596339057980160,1,1,0,6.49424,0.0026,-0.00251,0.0615,0.0008,-0.0008,,,,,,,,,,0,0.41,0.33,-0.28,0.11,,,4667,305,-183,-0.08,0.22,-0.22,188.8935189,-10.0692793
K2-248 b,K2-248,Gaia DR2 3582057258065666816,1,1,0,7.17256,0.00148,-0.00142,0.0699,0.001,-0.001,,,,,,,,,,0,0.4,0.33,-0.28,0.07,,,5528,97,-86,-0.1,0.04,-0.04,182.8173343,-9.4141696
K2-249 b,K2-249,Gaia DR2 3582098107498270208,1,1,0,12.409,0.00337,-0.00284,0.1151,0.003,-0.0031,,,,,,,,,,0,0.41,0.33,-0.28,0.024,,,6504,329,-419,0.04,0.14,-0.16,183.3667344,-8.9952309
K2-25 b,K2-25,Gaia DR2 3311804515502788352,1,1,0,3.48456408,0.0000006,-0.0000005,0.0287,0.0012,-0.0012,24.5,5.7,-5.2,0.428,0.05,-0.049,87.16,0.18,-0.21,0,0.628,0.032,-0.037,1.155,0.038,-0.039,3207,58,-58,0.15,0.03,-0.03,63.2739346,15.2477027
K2-250 b,K2-250,Gaia DR2 3582706794559052160,1,1,0,4.01457,0.00062,-0.00057,0.0459,0.0005,-0.0005,,,,,,,,,,0,0.41,0.32,-0.28,0.102,,,5172,46,-44,-0.09,0.04,-0.04,185.0315429,-8.9757427
K2-251 b,K2-251,Gaia DR2 3675248118423392256,1,1,0,9.30075,0.00332,-0.00321,0.0694,0.0005,-0.0005,,,,,,,,,,0,0.44,0.33,-0.3,0.214,,,3717,85,-50,-0.04,0.18,-0.19,190.6892403,-8.5359826
K2-252 b,K2-252,Gaia DR2 3582392123779246336,1,1,0,13.81513,0.00461,-0.00448,0.1041,0.0008,-0.0007,,,,,,,,,,0,0.41,0.32,-0.28,0.036,,,5152,41,-39,-0.09,0.04,-0.04,182.3663818,-8.3096141
K2-253 b,K2-253,Gaia DR2 3584368019189709952,1,1,0,4.00167,0.00013,-0.00013,0.0506,0.001,-0.0011,,,,,,,,,,0,0.34,0.26,-0.23,1.259,,,6027,221,-240,0,0.17,-0.19,186.0853062,-6.3789537
K2-254 b,K2-254,Gaia DR2 3596876269626641664,1,1,0,4.09639,0.00081,-0.00079,0.0448,0.0005,-0.0005,,,,,,,,,,0,0.72,0.12,-0.26,0.052,,,4629,168,-123,-0.14,0.18,-0.15,185.5507926,-4.7172908
K2-254 c,K2-254,Gaia DR2 3596876269626641664,1,1,0,12.11839,0.00303,-0.00321,0.0923,0.001,-0.001,,,,,,,,,,0,0.42,0.33,-0.29,0.12,,,4629,168,-123,-0.14,0.18,-0.15,185.5507926,-4.7172908
K2-255 b,K2-255,Gaia DR2 3682825883842696832,1,1,0,1.96417,0.00004,-0.00004,0.0274,0.0003,-0.0003,,,,,,,,,,0,0.44,0.31,-0.31,0.183,,,4676,63,-61,-0.14,0.07,-0.06,189.9128532,-3.3705631
K2-256 b,K2-256,Gaia DR2 3693923185982895360,1,1,0,5.52011,0.00239,-0.00289,0.0578,0.0008,-0.0008,,,,,,,,,,0,0.42,0.34,-0.29,0.097,,,5219,179,-136,-0.1,0.17,-0.17,186.2270991,-2.0660477
K2-257 b,K2-257,Gaia DR2 3695235654973028736,1,1,0,1.60588,0.00014,-0.00013,0.0216,0.0002,-0.0002,,,,,,,,,,0,0.4,0.31,-0.27,0.034,,,3725,80,-46,-0.03,0.17,-0.18,188.278284,-1.9532879
K2-258 b,K2-258,Gaia DR2 3695568295896473856,1,1,0,19.0921,0.00576,-0.00633,0.149,0.0025,-0.0026,,,,,,,,,,0,0.37,0.32,-0.25,0.049,,,6351,198,-228,0.01,0.15,-0.17,187.6314027,-1.1609171
K2-259 b,K2-259,Gaia DR2 3700295641843380224,1,1,0,15.48043,0.00332,-0.00392,0.1271,0.001,-0.0011,,,,,,,,,,0,0.41,0.33,-0.28,0.037,,,6059,62,-76,0.16,0.04,-0.04,186.8026947,1.5668631
K2-260 b,K2-260,Gaia DR2 3394923127797114496,1,1,0,2.6266657,0.0000018,-0.0000018,0.0404,0.0013,-0.0016,451.3186,98.5273,-101.7056,0,,,88.67,0.89,-1,0,0.122,0.09,-0.082,0.947,0.0062,-0.0048,6367,250,-250,-0.14,0.15,-0.15,76.8673317,16.8676948
K2-261 b,K2-261,Gaia DR2 3807826337147474176,1,1,0,11.633478,0.000017,-0.000017,0.1034,0.0015,-0.0016,59.75174,7.94571,-7.94571,0.286,0.064,-0.069,88.07,1.1,-0.65,0,0.35,0.15,-0.21,0.2814,0.012,-0.0078,5445,77,-76,0.36,0.059,-0.059,163.0323119,0.493167
K2-285 b,K2-285,Gaia DR2 2657374606238804992,1,1,0,3.471745,0.000044,-0.000046,0.03817,0.00095,-0.00092,9.68,1.21,-1.37,0,,,86.846,0.041,-0.041,0,0.57,0.08,-0.15,0.097,0.004,-0.003,4975,95,-95,0,0.05,-0.05,349.3843458,1.3001522
K2-285 c,K2-285,Gaia DR2 2657374606238804992,1,1,0,7.138048,0.000072,-0.000063,0.0824,0.0018,-0.0018,15.68,2.28,-2.13,0,,,89.861,0.001,-0.001,0,0.05,0.04,-0.04,0.21,0.03,-0.02,4975,95,-95,0,0.05,-0.05,349.3843458,1.3001522
K2-285 d,K2-285,Gaia DR2 2657374606238804992,1,1,0,10.45582,0.00025,-0.00023,0.1178,0.0029,-0.0029,6.5,,,0,,,89.643,0.005,-0.005,0,0.2,0.04,-0.05,0.1,0.007,-0.004,4975,95,-95,0,0.05,-0.05,349.3843458,1.3001522
K2-285 e,K2-285,Gaia DR2 2657374606238804992,1,1,0,14.76289,0.00065,-0.00061,0.18041,0.0042,-0.0043,10.7,,,0,,,89.799,0.002,-0.003,0,0.17,0.04,-0.07,0.068,0.009,-0.006,4975,95,-95,0,0.05,-0.05,349.3843458,1.3001522
K2-286 b,K2-286,Gaia DR2 6264513270727342080,1,1,0,27.359,0.005,-0.005,0.1768,0.0175,-0.0205,,,,,,,89.67,0.21,-0.25,0,0.35,0.21,-0.23,0.112,0.026,-0.016,3926,100,-100,0,0.5,-0.5,233.3698192,-16.7737113
K2-30 b,K2-30,Gaia DR2 61607255708760960,1,1,0,4.098503,0.000011,-0.000011,0.04839,0.00076,-0.00076,184.02357,8.89924,-8.58141,0,,,86.92,0.26,-0.24,0,0.662,0.03,-0.036,1.603,0.037,-0.041,5425,40,-40,-0.15,0.05,-0.05,52.3420548,22.2993491
K2-316 b,K2-316,Gaia DR2 6239410080231903488,1,1,0,1.133,0.001,-0.001,0.0147,0.001,-0.0031,,,,,,,87.02,2.19,-3.98,0,0.43,0.32,-0.3,0.0957,0.0019,-0.0019,3436,3,-3,,,,233.6247336,-23.2594663
K2-316 c,K2-316,Gaia DR2 6239410080231903488,1,1,0,5.26,0.007,-0.007,0.0582,0.0081,-0.0122,,,,,,,89.31,0.49,-1.06,0,0.4,0.34,-0.28,0.248,0.006,-0.006,3436,3,-3,,,,233.6247336,-23.2594663
K2-317 b,K2-317,Gaia DR2 6255655673768103168,1,1,0,6.22,0.007,-0.007,0.0542,0.0065,-0.0103,,,,,,,89.22,0.54,-0.93,0,0.43,0.29,-0.28,0.119,0.013,-0.013,3387,5,-5,,,,228.6188638,-21.0227209
K2-318 b,K2-318,Gaia DR2 6258364939144564992,1,1,0,7.01,0.007,-0.007,0.0911,0.014,-0.0185,,,,,,,89.38,0.44,-0.76,0,0.4,0.29,-0.27,0.085,0.002,-0.002,3851,83,-83,,,,232.4461375,-17.557463
K2-319 b,K2-319,Gaia DR2 3811688440459523200,1,1,0,26.68,0.002,-0.003,0.1516,0.0115,-0.0258,,,,,,,89.45,0.4,-0.66,0,0.35,0.28,-0.24,0.083,0.001,-0.001,5440,115,-115,,,,166.8010058,3.0399357
K2-320 b,K2-320,Gaia DR2 3864142669886768896,1,1,0,1.995,0.001,-0.001,0.0142,0.0026,-0.003,,,,,,,87.84,1.41,-1.97,0,0.49,0.25,-0.3,0.557,0.005,-0.005,3157,7,-7,,,,163.2519122,5.3064776
K2-321 b,K2-321,Gaia DR2 3856449627544923392,1,1,0,2.298,0.001,-0.001,0.041,0.0035,-0.0048,,,,,,,88.94,0.73,-1.12,0,0.28,0.24,-0.19,0.11,0.001,-0.001,3855,65,-65,,,,156.4054989,2.5138829
K2-322 b,K2-322,Gaia DR2 3860369901894562304,1,1,0,8.205,0.003,-0.003,0.0594,0.0174,-0.0221,,,,,,,88.15,1.11,-2.01,0,0.68,0.21,-0.33,0.071,0.002,-0.002,4141,96,-96,,,,156.6226981,4.7640203
K2-323 b,K2-323,Gaia DR2 3859431674878660864,1,1,0,24.93,0.006,-0.006,0.1275,0.0055,-0.0072,,,,,,,89.88,1.08,-1.29,0,0.14,0.11,-0.09,0.263,0.01,-0.01,3710,118,-118,,,,159.4209874,6.2858689
K2-324 b,K2-324,Gaia DR2 3862378262961788288,1,1,0,3.262,0.001,-0.001,0.0331,0.0037,-0.0066,,,,,,,88.33,1.06,-1.84,0,0.42,0.28,-0.25,0.199,0.002,-0.002,3752,57,-57,,,,157.6222171,6.8636732
K2-325 b,K2-325,Gaia DR2 2439222638771000448,1,1,0,6.93,0.004,-0.003,0.0419,0.0046,-0.0058,,,,,,,89.37,0.4,-0.68,0,0.34,0.26,-0.22,0.672,0.01,-0.01,3287,67,-67,,,,353.9169507,-7.6867213
K2-326 b,K2-326,Gaia DR2 2645727449501559680,1,1,0,1.256,0.001,-0.002,0.0198,0.0036,-0.0041,,,,,,,85.63,2.87,-4.24,0,0.48,0.26,-0.29,0.0921,0.0027,-0.0027,3924,51,-51,,,,351.612262,1.3375909
K2-39 b,K2-39,Gaia DR2 2609222216055014144,1,1,0,4.60543,0.00046,-0.00046,,,,28.6047,15.8915,-15.8915,0,,,80.39,4.19,-4.19,0,,,,0.037,0.0034,-0.0034,4881,20,-20,0.32,,,338.3682095,-9.0229405
K2-6 b,K2-6,Gaia DR2 3794479262419500160,1,1,0,30.94191,0.00467,-0.00467,0.1898,0.0056,-0.0056,,,,,,,,,,0,,,,0.068,,,5850,79,-98,-0.14,0.17,-0.2,178.1921152,-1.1984418
K2-7 b,K2-7,Gaia DR2 3803494845449564672,1,1,0,28.67992,0.00947,-0.00947,0.1814,0.0043,-0.0043,,,,,,,,,,0,,,,0.053,,,5772,72,-91,-0.07,0.16,-0.16,167.0937488,-1.065855
KELT-1 b,KELT-1,Gaia DR2 2881784280929695360,1,1,0,1.217514,0.000015,-0.000015,0.02466,0.00016,-0.00016,8654.15,158.908,-152.552,0.0099,0.01,-0.0069,87.8,1.3,-1.9,0,,,,0.6086,0.0094,-0.0089,6518,50,,,,,0.3620995,39.3837953
KELT-10 b,KELT-10,Gaia DR2 6710517793025165696,1,1,0,4.1662739,0.0000063,-0.0000063,0.0525,0.00086,-0.00097,215.80657,12.39537,-12.07754,,,,88.61,0.86,-0.74,0,0.23,0.11,-0.14,1.416,0.034,-0.029,5948,74,-74,0.09,0.11,-0.1,284.5483823,-47.0033072
KELT-11 b,KELT-11,Gaia DR2 3761497761876022400,1,1,0,4.7361,0.00003,-0.00003,,,,54.34893,4.76745,-4.76745,0.0007,0.002,-0.0005,85.3,0.2,-0.2,0,0.404,0.013,-0.018,0.265,0.035,-0.038,5375,25,-25,0.17,0.07,-0.07,161.7069053,-9.3993646
KELT-12 b,KELT-12,Gaia DR2 4608935250790855296,1,1,0,5.031623,0.000032,-0.000031,0.06708,0.00097,-0.0013,301.9385,44.4962,-44.4962,0,,,84.47,1.1,-0.95,0,0.586,0.06,-0.082,0.596,0.029,-0.028,6279,51,-51,0.19,0.084,-0.085,267.6404906,36.5701761
KELT-14 b,KELT-14,Gaia DR2 5560886336446650240,1,1,0,1.7100566,0.0000032,-0.0000026,0.03005,0.00031,-0.00031,408.09372,10.17056,-10.17056,0,,,78.3,0.3,-0.3,0,0.8622,0.0071,-0.0071,1.386,0.029,-0.029,5720,130,-130,0.32,0.09,-0.09,108.301409,-42.4097623
KELT-17 b,KELT-17,Gaia DR2 651935220461650560,1,1,0,3.0801716,0.0000053,-0.0000052,0.04881,0.00065,-0.00061,416.3573,88.9924,-92.1707,,,,84.87,0.45,-0.43,0,0.57,0.031,-0.035,0.907,0.017,-0.016,7454,49,-49,-0.018,0.074,-0.072,125.617407,13.7353093
KELT-20 b,KELT-20,Gaia DR2 2033123654092592384,1,1,0,3.4741085,0.0000019,-0.0000019,0.0542,0.0014,-0.0021,1074.90106,,,,,,86.12,0.28,-0.27,0,0.503,0.025,-0.028,1.309,0.014,-0.014,8720,250,-260,-0.29,0.22,-0.36,294.6614126,31.2192001
KELT-21 b,KELT-21,Gaia DR2 2054523105274216704,1,1,0,3.6127647,0.0000033,-0.0000033,0.05224,0.00035,-0.00034,1242.7153,,,0,,,86.46,0.38,-0.34,0,0.423,0.033,-0.039,0.99,0.014,-0.014,7598,81,-84,-0.405,0.032,-0.033,304.8000322,32.5810446
KELT-24 b,KELT-24,Gaia DR2 1076970406751899008,1,1,0,5.5514926,0.0000081,-0.000008,0.06969,0.00087,-0.00096,1646.3594,66.7443,-69.9226,0.077,0.024,-0.025,89.17,0.59,-0.75,0,0.134,0.13,-0.096,0.753,0.012,-0.012,6509,50,-49,0.186,0.077,-0.076,161.9090273,71.655727
KELT-6 b,KELT-6,Gaia DR2 1464700950221781504,1,1,0,7.8457,0.0002,-0.0002,,,,165.2716,38.1396,-38.1396,0.22,0.11,-0.11,88.81,0.85,-0.85,0,,,,0.6,0.015,-0.015,6102,43,-43,-0.28,,,195.9818362,30.640145
KELT-7 b,KELT-7,Gaia DR2 181908842994567936,1,1,0,2.73477,0.000004,-0.000004,,,,441.7837,69.9226,-69.9226,0,,,83.76,0.38,-0.38,0,,,,0.83,0.012,-0.012,6768,7,-7,0,,,78.2955912,33.3179532
KELT-8 b,KELT-8,Gaia DR2 4534144923690481408,1,1,0,3.24406,0.00016,-0.00016,,,,209.7678,38.1396,-38.1396,0.04,0.05,-0.05,82.65,0.9,-0.9,0,,,,1.3,0.06,-0.06,5754,54,-54,0.27,,,283.3054489,24.1272483
KIC 10525077 b,KIC 10525077,Gaia DR2 2131059594280288128,1,1,0,854.083,0.01628,-0.01697,,,,,,,,,,89.861,0.096,-0.098,0,,,,0.25,,,6091,164,-213,-0.04,0.22,-0.3,287.3781164,47.7711541
KIC 3558849 b,KIC 3558849,Gaia DR2 2052136821446989568,1,1,0,1322.3,386.1,-11.2,,,,,,,,,,89.973,0.023,-0.031,0,,,,0.3969,,,6175,168,-194,-0.42,0.28,-0.3,294.9498381,38.6051867
KIC 5437945 b,KIC 5437945,Gaia DR2 2102070660978313472,1,1,0,440.7813,0.00563,-0.00577,,,,,,,,,,89.904,0.066,-0.086,0,,,,0.2209,,,6340,176,-199,-0.38,0.28,-0.3,288.4749028,40.6512848
KIC 8540376 b,KOI-7892,Gaia DR2 2105414310196331264,1,1,0,31.8099,0.00919,-0.00933,,,,,,,,,,89.3,0.49,-0.72,0,,,,0.09,,,6474,178,-267,-0.16,0.23,-0.32,282.3775397,44.694569
KIC 8540376 c,KOI-7892,Gaia DR2 2105414310196331264,1,1,0,75.2,38.9,-1.1,,,,,,,,,,89.701,0.16,-0.16,0,,,,0.0324,,,6474,178,-267,-0.16,0.23,-0.32,282.3775397,44.694569
KIC 9663113 b,KIC 9663113,Gaia DR2 2080266967444876032,1,1,0,572.3847,0.00583,-0.00567,,,,,,,,,,89.768,0.095,-0.062,0,,,,0.1681,,,6065,155,-180,-0.28,0.28,-0.3,297.0454037,46.3286653
Kepler-105 b,Kepler-105,Gaia DR2 2130368310704421120,1,1,0,5.4122,0.00002,-0.00002,0.066,0.003,-0.003,,,,0.47,0.05,-0.47,85.94,1.87,-3.88,0,0.64,0.26,-0.17,0.06,0.0006,-0.0006,6397,95,-95,-0.22,0.47,-0.48,287.8872376,46.2761224
Kepler-1052 c,Kepler-1052,Gaia DR2 2080466185207274880,1,1,0,180.921729,0.002826,-0.002826,0.6135,,,,,,0,,,89.99,,,0,0.025,0.42,-0.025,0.07424,0.00504,-0.00504,5818,139,-157,-0.22,0.3,-0.3,295.34273,46.6022134
Kepler-1126 c,Kepler-1126,Gaia DR2 2106496607595412480,1,1,0,199.66876,0.003961,-0.003961,0.6193,,,,,,0,,,89.98,,,0,0.046,0.42,-0.046,0.02519,0.00197,-0.00197,5678,113,-102,-0.4,0.15,-0.15,285.691955,45.6893993
Kepler-1162 c,Kepler-1162,Gaia DR2 2106996095111385728,1,1,0,59.284064,0.0006992,-0.0006992,0.2832,,,,,,0,,,89.55,,,0,0.556,0.384,-0.346,0.04244,0.00357,-0.00357,5225,83,-73,0.14,0.15,-0.15,283.2920273,45.4339813
Kepler-1181 c,Kepler-1181,Gaia DR2 2101035367703145088,1,1,0,8.93484887,0.00009707,-0.00009707,0.0928,,,,,,0,,,86.05,,,0,0.888,0.096,-0.667,0.01359,0.00165,-0.00165,6688,187,-281,0.07,0.25,-0.35,289.7473165,39.5234131
Kepler-1471 c,Kepler-1471,Gaia DR2 2133035966431029376,1,1,0,11.6044881,0.000113,-0.000113,0.0981,,,,,,0,,,89.74,,,0,0.118,0.334,-0.118,0.02676,0.00203,-0.00203,5533,83,-74,0.16,0.15,-0.15,289.6649171,50.0200612
Kepler-1487 c,Kepler-1487,Gaia DR2 2073153024144692736,1,1,0,35.8007112,0.0003713,-0.0003713,0.2588,,,,,,0,,,89.93,,,0,0.043,0.402,-0.043,0.04174,0.00175,-0.00175,5745,86,-77,0.4,0.05,-0.15,295.4980737,38.6444499
