# CONSTRAINT:  where (gaia_id not null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and default_flag = 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and sy_snum = 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and pl_controv_flag = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and ttv_flag = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and pl_trandep not null),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_name,hostname,gaia_id,default_flag,sy_snum,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,ttv_flag,pl_imppar,pl_impparerr1,pl_impparerr2,pl_trandep,pl_trandeperr1,pl_trandeperr2,st_teff,st_tefferr1,st_tefferr2,st_met,st_meterr1,st_meterr2,ra,dec
GJ 357 b,GJ 357,Gaia DR2 5664814198431308288,1,1,0,3.9306,0.000002,-0.000002,0.036,0.0004,-0.0004,,,,,,,89.228,0.483,-0.483,0,0.307,0.16,-0.16,0.0955,0.0062,-0.0062,3505,51,-51,-0.12,0.16,-0.16,144.0074644,-21.6650634
GPX-1 b,GPX-1,Gaia DR2 457317534880081152,1,1,0,1.744579,0.000008,-0.000008,0.0338,0.0003,-0.0003,6261.21962,508.52545,-508.52545,0,,,79.9,0.7,-0.6,0,0.82,0.02,-0.03,0.9,0.03,-0.03,7000,200,-200,0.35,0.1,-0.1,38.3691648,56.025708
HAT-P-12 b,HAT-P-12,Gaia DR2 1499514786891168640,1,1,0,3.2130598,0.0000021,-0.0000021,0.0384,0.0003,-0.0003,67.059,3.814,-3.814,0,,,89,0.4,-0.4,0,0.211,0.066,-0.078,1.977,0.037,-0.036,4650,60,-60,-0.29,0.05,-0.05,209.3886452,43.49331
HAT-P-15 b,HAT-P-15,Gaia DR2 179498266829041664,1,1,0,10.8635,0.000027,-0.000027,,,,616.5902,95.349,-95.349,0.19,0.02,-0.02,89.1,0.2,-0.2,0,,,,1,0.018,-0.018,5568,90,-90,0.22,,,66.248142,39.460602
HAT-P-17 b,HAT-P-17,Gaia DR2 1849786481031300608,1,1,0,10.33852,0.000009,-0.000009,,,,184.3414,19.0698,-19.0698,0.35,0.01,-0.01,89.2,0.15,-0.15,0,,,,1.5,0.022,-0.022,5246,80,-80,0,,,324.5359781,30.4881882
HAT-P-20 b,HAT-P-20,Gaia DR2 869913435026514688,1,1,0,2.875317,0.000004,-0.000004,0.0361,0.0005,-0.0005,2302.899,59.432,-59.432,0.015,0.005,-0.005,86.8,0.2,-0.2,0,0.631,0.025,-0.028,0.9898,,,4595,80,-80,0.35,0.08,-0.08,111.9164295,24.3361185
HAT-P-21 b,HAT-P-21,Gaia DR2 770622651659107712,1,1,0,4.12448,0.000007,-0.000007,,,,1547.8321,498.9931,-498.9931,0.23,0.02,-0.02,87.2,0.7,-0.7,0,,,,0.9,0.042,-0.042,5588,80,-80,0.01,,,171.2749348,41.0280207
HAT-P-23 b,HAT-P-23,Gaia DR2 1808938730710633984,1,1,0,1.212884,0.000002,-0.000002,0.0232,0.0002,-0.0002,664.237,35.278,-35.278,0.106,0.044,-0.044,85.1,1.5,-1.5,0,0.324,0.07,-0.101,1.0536,,,5905,80,-80,0.15,0.04,-0.04,306.1239076,16.7621462
HAT-P-25 b,HAT-P-25,Gaia DR2 111322601672419712,1,1,0,3.65281514,0.00000076,-0.00000075,0.0466,0.00081,-0.0008,180.84527,7.31009,-6.99226,0.023,0.022,-0.014,88.22,0.45,-0.36,0,0.347,0.061,-0.082,0.0161,0.00027,-0.00027,5519,78,-76,0.294,0.08,-0.08,48.4354731,25.1973548
HAT-P-26 b,HAT-P-26,Gaia DR2 3668036348641580288,1,1,0,4.23452,0.000015,-0.000015,,,,22.2481,6.3566,-6.3566,0.12,0.06,-0.06,88.6,0.7,-0.7,0,,,,0.54,0.0013,-0.0013,5079,88,-88,-0.04,,,213.1565508,4.0594175
