source_id,radius_flame,radius_flame_lower,radius_flame_upper
2078648211455026432,0.8513842,0.8329715,0.87059313
2078697552035948800,1.3248361,1.2948393,1.3557357
2078722600285671936,0.8986462,0.8797278,0.91763973
2078832551450444032,0.85341823,0.82971025,0.8760812
2078996825361036160,,,
2079005651508492032,1.6803675,1.642659,1.7180525
2079192121810035840,1.0421772,1.0206904,1.0636381
2079295583282164992,0.95647526,0.9363779,0.97663724
2079368391569401600,1.157068,1.1332718,1.1814102
2079695496278608896,1.1629783,1.1389745,1.1868279
2079807646464016256,0.81585896,0.7915948,0.84256107
2079880695265507328,1.0666069,1.0441077,1.0892128
2079885608708649344,0.9014964,0.88261855,0.9203688
2080246282881778048,0.8497759,0.8266739,0.87551624
2080266967444876032,,,
2080271674728481280,1.0832198,1.0610744,1.1053041
2080287892525359872,,,
2080296757338392576,1.0779176,1.0404893,1.1168
2080344586094498432,0.7885804,0.7716746,0.80592865
2080386917291928832,1.9153173,1.8767962,1.9538459
2080452613110460928,1.1084654,1.0840794,1.1322039
2080466185207274880,0.9692778,0.94501305,0.99411386
2080562667352233728,0.881537,0.86227477,0.9025003
2080605823183999616,2.8514073,2.7719488,2.9189708
2082074942519913344,1.0990694,1.0761993,1.1223292
2082161219824397568,1.6037103,1.5676956,1.6400003
2085204015173031552,1.9533302,1.9059114,1.9955586
2085527924426959104,0.7817403,0.7641479,0.79977113
2086337508581280256,1.6540134,1.5784318,1.7210404
2086389357427331712,2.7489078,2.6898923,2.8068557
2086505630781210752,1.5285162,1.4971352,1.5600593
2086625752425381632,1.4324521,1.4028254,1.46187
2086629463276947456,0.80472195,0.78572077,0.8231952
2086660283961964416,1.1138263,1.0793061,1.1660682
2086718317558873984,1.7152663,1.6577479,1.7651193
2086940448965828992,1.2121687,1.1873181,1.2368425
2087171453788422528,0.8737278,0.8556062,0.8922167
2087250476887856256,0.750875,0.7337313,0.7680281
2099541715513813504,1.1141555,1.0915693,1.1367629
2099583977992504576,1.2093711,1.1834602,1.235168
2099605968225288960,1.4489298,1.4194243,1.4785045
2099606483621385216,1.955826,1.9141283,1.9957678
2099656472742686848,1.4933653,1.4631281,1.5236664
2099854801450635520,0.87267977,0.85053307,0.89498013
2099862910348755712,0.9298862,0.91054887,0.9491528
2099925719951103872,1.0027453,0.98135525,1.024054
2100389610777053056,1.7377043,1.7002785,1.7751623
2100392428275714688,1.0827304,1.0608451,1.1046119
2100416823690394624,1.5361514,1.5049381,1.5672758
2100524610190045312,1.274494,1.2479148,1.3015646
2100597143598879616,0.8272737,0.80948687,0.845247
2100624562669914240,1.6551768,1.602727,1.7148508
2100906140725803392,0.9348722,0.91557914,0.9540872
2101035367703145088,1.3544638,1.3243268,1.3843355
2101175933393051008,1.4027,1.3741888,1.4314677
2101188990094347648,1.1145848,1.0768365,1.1664919
2101230049979183232,0.87497675,0.8561429,0.893632
2101243789577188736,1.5615602,1.5298166,1.5935013
2101305259145506816,1.1894388,1.1653444,1.2135209
2101508501301083520,,,
2101719263935952768,1.4034766,1.3719736,1.4342868
2101733244046205568,1.5966405,1.5639398,1.6293815
2101768089124657664,0.8171295,0.79436076,0.83824754
2101854881822529024,1.5302881,1.4715874,1.6092502
2101898759208960640,1.7778658,1.7399132,1.8174461
2101964558106974848,0.96167403,0.94066447,0.98267955
2102063136195478656,0.9193716,0.8972103,0.94330716
2102067396802935680,0.8048409,0.78261954,0.83051723
2102070660978313472,2.0325074,1.9836475,2.0852494
2102110174677569664,1.0104553,0.98906785,1.0313771
2102119176929154304,1.4814175,1.4514005,1.5114378
2102224661326132864,1.7392821,1.703333,1.7751904
2102316985943863424,1.5929097,1.5549604,1.6340132
2102454253097554304,1.0770596,1.0551332,1.099096
2102469921138142208,0.8789651,0.84756374,0.9051145
2102548708017562112,0.92110395,0.9022295,0.9403027
2102587087846067712,1.064798,1.0542908,1.0785036
2102610280669509888,1.5527471,1.5200685,1.5884277
2102700131386216576,0.8190332,0.79727185,0.8415899
2102815683186036096,,,
2102911581215700096,0.82417,0.8037883,0.8462146
2103295173333142784,,,
2103452266056715392,1.2521625,1.2268683,1.2774322
2103788854053938816,0.7912645,0.77378774,0.808953
2103845032226500352,0.77950495,0.75806177,0.8033249
2104094071610116608,0.81346595,0.7961255,0.8314368
2104098950692667264,1.0449833,1.0221773,1.0681771
2104344141784539264,,,
2104376405579347968,0.7230894,0.706145,0.739861
2104466153215402624,1.6239846,1.5888898,1.6595626
2104466256290759936,,,
2104506319750394624,1.0890865,1.0621455,1.1152424
2104847370214740352,0.8559739,0.8379012,0.87390965
2105135854577044480,1.0909319,1.0688051,1.1130692
2105221139747765504,2.1941688,2.0942824,2.3153517
2105274977158196480,1.5323566,1.5002458,1.5644639
2105362903731391744,1.0856304,1.0633366,1.1079003
2105414310196331264,,,
2105415302330571008,1.0918821,1.0686327,1.1143678
2105435544515167232,0.7517613,0.73535365,0.76847357
2105535462635217792,1.2555915,1.2146237,1.2945383
2105538623730974848,0.7153976,0.69734603,0.73515385
2105618029085927680,0.8845704,0.86495394,0.90423137
2105620159389754624,1.4421504,1.4123207,1.4726746
2106008493152187392,0.728544,0.7115831,0.7451726
2106306495162679552,,,
2106371744306291328,1.0184155,0.9931926,1.0432051
2106496607595412480,0.9201172,0.9005982,0.9401697
2106674071344722688,0.7971255,0.78064716,0.8135988
2106705269988803072,1.4723216,1.4422163,1.5027254
2106821925598401152,0.8237297,0.8063524,0.84129924
2106996095111385728,0.80604726,0.7885031,0.8244759
2107001283431633408,,,
2107236613280607104,1.2437408,1.2181097,1.269599
2107243072911617024,0.8977779,0.8791107,0.9170119
2107244481660894592,0.78957015,0.7700545,0.8100997
2107266570672734592,1.4049164,1.3763942,1.4334354
2107279803471399168,1.3885334,1.3228426,1.4447112
2107311723669410560,0.7430045,0.7252318,0.7604791
2107315365800640896,1.9873246,1.9469192,2.0277839
2107342716152550272,2.2174478,2.1705668,2.2646682
2107622335702262400,0.8306931,0.8117913,0.8497227
2107658516506930048,0.9650288,0.94488573,0.9852092
2116862833283266432,1.6593415,1.6254296,1.6932098
2119196585370036736,1.8217926,1.7840683,1.859673
2119534646538533888,1.1275643,1.1034819,1.1527036
2119583201145735808,0.7333195,0.7169857,0.74965847
2119602202081351168,0.76511157,0.76359683,0.767054
2119710538336363904,0.68932337,0.6685202,0.7106757
2119814820141727232,0.7425848,0.72542053,0.7596182
2125713940547834496,0.8086425,0.7919178,0.82536614
2125751461382627840,0.9622493,0.9427011,0.9817874
2125790322246812672,0.7411304,0.7228447,0.75961316
2125831210335846016,0.84708196,0.8283459,0.8655093
2125848733801094912,0.8269135,0.7970837,0.8578164
2125850623586710400,0.9340137,0.90942943,0.96075004
2126119862195142272,1.3439275,1.3107398,1.3796395
2126237131982289280,1.854094,1.8313417,1.8705447
2126266823097360000,0.83355194,0.81253445,0.8555049
2126418658780855296,0.837035,0.818344,0.8571253
2126432677554353280,1.1278509,1.1040912,1.1524383
2126436800722944000,1.1960329,1.1697764,1.222634
2126454633427425664,0.9305244,0.9108108,0.9511049
2126508676995012352,1.6364778,1.6027534,1.6705565
2126556132093765888,0.18829066,0.18452483,0.19205648
2126569051355142656,1.1728027,1.1486392,1.1967502
2126576679217244160,0.8527546,0.8292668,0.8774105
2126601108991279872,1.1072953,1.0847082,1.1297768
2126801563705846528,1.3649918,1.336898,1.3937007
2126878048483137152,0.8190213,0.79996467,0.8369517
2126912305142208384,1.0487318,1.0260712,1.0713377
2126918008858627712,1.3793316,1.3508931,1.4104174
2127001056345369984,1.1006284,1.0772909,1.1240869
2127355923723254272,1.6470605,1.608025,1.6837568
2127390970655877888,1.5699117,1.5306193,1.608338
2127398083121764736,0.8820644,0.8613518,0.9045336
2127771917075703424,1.2316326,1.2042611,1.2578148
2127798442794047104,0.84361225,0.82491344,0.8626038
2127851116271982848,1.8821802,1.8423458,1.9220592
2127956360152391168,3.0841582,3.053213,3.1205177
2127985806448631808,1.6806562,1.6170634,1.7684242
2128013019361703936,1.1985563,1.1585375,1.2488307
2128067720065692672,1.5472559,1.5238634,1.5613614
2128098197152438144,1.118954,1.0860492,1.145904
2128198974266072192,1.0990291,1.0687983,1.137882
2128273225659492608,1.0057011,0.98320705,1.0289874
2128298617506651904,1.4135875,1.3830638,1.4444761
2128369501647063808,0.85861546,0.83105844,0.8856507
2128504397979254528,0.9415709,0.91375,0.96813583
2128724678262662144,1.1503923,1.1267773,1.1739982
2128911251641171200,0.8101978,0.79218626,0.82830477
2128925579652377472,1.3059841,1.2932421,1.315593
2129025841368107136,0.80058956,0.78167635,0.8189656
2129084935820532608,0.7232479,0.7062396,0.7402991
2129161734133025408,0.7466309,0.72461367,0.7669889
