designation,source_id,ra,dec,parallax,parallax_error,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
"Gaia DR3 4287832775526476800",4287832775526476800,291.5885714856597,1.4262926697222973,3.090260489021987,0.020725902,13.682623739286571,-32.74309585007317,0.99703187,14.20456,1.6260805,-35.294266,3.9559846,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,4786.036,4.4248,-0.3255,320.8245,1.1798,0.8937,0.4772,"Gaia DR2 4287832775526476800",291.588569592998,1.4262972325727927,3.0766,13.5768,-32.7832,0.0,2015.5,1.1566086489827948E-8
"Gaia DR3 3326541506073371776",3326541506073371776,100.19517153002703,9.257394645732935,1.7618714231866328,0.016248815,0.9593665291697371,-4.594861793790316,1.069827,13.579513,0.8391056,12.243572,4.005325,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,5765.2734,4.5028,-0.0108,533.8376,0.1098,0.0919,0.0491,"Gaia DR2 3326541506073371776",100.19517139945212,9.257395281045069,1.7059,0.9811,-4.5556,0.0,2015.5,7.830342443635344E-9
"Gaia DR3 3630680754621236096",3630680754621236096,204.22150006901202,-7.318054667692361,2.938394775187552,0.027094414,-46.156190828677495,22.1253894270336,1.0036045,14.463005,1.3288975,-22.009232,3.8236067,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,4546.25,4.5994,-0.1021,334.6532,0.1064,0.0818,0.0431,"Gaia DR2 3630680754621236096",204.22150653028982,-7.318057725807324,2.9458,-46.2331,22.1618,0.0,2015.5,2.3573714862331796E-8
"Gaia DR3 3882879683758393344",3882879683758393344,159.38907528096408,11.84274865595813,1.735686389016287,0.013236681,-38.79894135751904,1.431704299718235,0.98403746,12.167191,1.1090088,30.51153,0.6786832,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5106.7734,3.6205,-0.0663,615.0729,0.2567,0.2058,0.1094,"Gaia DR2 3882879683758393344",159.38908075411922,11.84274840113742,1.7835,-38.743,1.2102,30.5796,2015.5,9.008124657784916E-8
"Gaia DR3 684992690384102528",684992690384102528,134.7188775848426,21.074751903570448,35.92981056975783,0.025269575,175.74002157886275,-318.3322241346426,1.301282,12.715983,2.5343885,14.088929,0.64880943,"NOT_AVAILABLE",0,true,true,true,false,false,false,true,,,,,,,,"Gaia DR2 684992690384102528",134.71885141913484,21.074796050555275,35.7781,175.5121,-318.4693,0.0,2015.5,9.333738742185393E-8
"Gaia DR3 5664814198431308288",5664814198431308288,144.00748512333524,-21.665200855258018,105.97890913558383,0.022696694,138.7217909625574,-990.3417190688432,1.1187094,9.891662,2.3962393,-35.028374,0.16913296,"NOT_AVAILABLE",0,true,true,true,false,false,true,false,3204.3516,4.2799,-0.8728,9.43,3.0E-4,2.0E-4,1.0E-4,"Gaia DR2 5664814198431308288",144.00746441016133,-21.665063362065673,105.883,138.6942,-990.3108,0.0,2015.5,5.167443744007471E-8
"Gaia DR3 457317534880081152",457317534880081152,38.36916388723121,56.025707971568316,1.4780516435938256,0.0138910515,-3.371221912518547,9.168117345027887E-4,0.95150846,12.21276,0.6462412,-8.473836,2.8528962,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,,"Gaia DR2 457317534880081152",38.36916482359912,56.025707965743294,1.499,-3.2521,0.052,-3.7013,2015.5,7.159500519434068E-8
"Gaia DR3 1499514786891168640",1499514786891168640,209.38861950302993,43.49330385067514,7.044821721615503,0.010478119,-134.79263362397154,-44.22856286810925,1.0714439,12.408207,1.3090048,-40.436626,0.5823577,"VARIABLE",0,true,true,false,true,false,true,true,4507.6455,4.544,-0.1991,141.1859,0.0273,0.0209,0.0111,"Gaia DR2 1499514786891168640",209.38864522670602,43.4933099858866,6.9763,-134.7908,-44.2944,-40.0058,2015.5,6.19035647030696E-8
"Gaia DR3 179498266829041664",179498266829041664,66.24814452059672,39.460600684443286,5.185604406647594,0.01663114,14.232862354070939,-9.407167314064173,0.9253904,11.716202,1.2276869,31.410603,0.46857882,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5372.22,4.3559,-0.0133,191.4497,0.7255,0.581,0.3102,"Gaia DR2 179498266829041664",66.24814197446086,39.460601960676996,5.1664,14.4034,-9.3771,31.2101,2015.5,4.344308703934647E-8
"Gaia DR3 1849786481032616960",1849786481032616960,324.53596511792904,30.488170498859596,10.819497738526024,0.01823804,-80.28005705631739,-127.03662632023328,1.2386874,10.278542,1.0001526,20.53053,0.164995,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5286.4,4.4742,0.0628,91.7139,0.1062,0.0864,0.0457,"Gaia DR2 1849786481031300608",324.53597806404906,30.48818819604112,10.796,-80.3954,-126.9723,20.0174,2015.5,6.292729424351873E-8
