Gaia DR3 ID,Teff,Teff pe,Teff me,Radius,Rad pe,Rad me,Metalicity,Metal pe,Metal me,Parallax,Parallax e,G-Mag,Logg,logg pe,Logg me
2051027792165858304,4576.7456,10.7109,9.5601,0.6897532,0.0183631,0.0201352,-0.2411,0.0161,0.0182,1.689767881,0.025852472,15.641934,4.663,0.0053,0.0061
2051104586182508928,5661.4326,82.7437,34.6933,0.94419426,0.00855614,0.00756536,-0.1026,0.0976,0.0377,1.588652964,0.01208291,13.939153,4.4539,0.0161,0.0219
2051105410816218368,4972.9956,8.394,8.2106,0.8151273,0.017766,0.0178508,0.1581,0.0105,0.0113,2.259948909,0.013430974,14.144119,4.5465,0.0147,0.01
2051368434612892800,5545.94,20.4946,16.0645,0.9753009,0.0349819,0.0289356,-0.1639,0.0202,0.0164,0.905256624,0.023512289,15.220387,4.4538,0.0155,0.0133
2051738798233021824,,,,,,,,,,1.026752802,0.01264065,13.002063,,,
2051866238502437632,6089.895,3.277,1.6714,1.3094412,0.026758,0.0267949,-0.0359,0.0048,0.0052,2.473315853,0.011001769,11.821788,4.2379,0.0039,0.0042
2051933102555095936,4777.2373,12.6841,10.8453,0.7599856,0.0170623,0.0171986,0.1311,0.015,0.0149,2.915672155,0.013076383,13.988301,4.5847,0.0172,0.0053
2051950454223150720,6121.6646,51.35,58.9463,1.3650557,0.0500157,0.0654853,-0.1039,0.0468,0.048,0.503509869,0.02195542,15.276224,4.3219,0.0435,0.031
2052136821446989568,5795.041,34.5664,37.6304,1.5329694,0.0404325,0.0376753,-0.2815,0.0352,0.0382,0.842747334,0.015126586,14.156439,4.1812,0.0124,0.0196
2052139123549626240,5332.886,33.3386,31.7195,1.356446,0.0706617,0.0685523,-0.618,0.0389,0.038,0.592337793,0.028295856,15.55836,4.3553,0.0319,0.0202
2052168466766597120,6133.7817,6.2323,6.6167,2.1522264,0.0475894,0.0476724,-7.00E-04,0.0059,0.0059,0.919296143,0.009765242,13.216793,3.9141,0.0098,0.0117
2052185062520374272,5707.1704,26.0361,21.1344,1.1155456,0.023773,0.0242978,-0.2861,0.0288,0.0215,1.380149469,0.011824514,13.791093,4.3562,0.0061,0.0062
