C.D.S.  -  SIMBAD4 rel 1.8  -  2024.01.16CET16:34:38,,
,,
 IdentList,,
----------,,
,,
 # ,typed ident,            identifier             
116,KOI-658    ,Gaia DR3 2076792648144511104       
117,KOI-665    ,Gaia DR3 2101898759208960640       
118,KOI-671    ,Gaia DR3 2077750803804146176       
119,KOI-672    ,Gaia DR3 2101964558106974848       
120,KOI-679    ,Gaia DR3 2102610280669509888       
121,KOI-692    ,Gaia DR3 2127001056345369984       
122,KOI-700    ,Gaia DR3 2079885608708649344       
123,KOI-701    ,Gaia DR3 2107001283431633408       
124,KOI-707    ,Gaia DR3 2127355923723254272       
125,KOI-708    ,Gaia DR3 2128067720065692672       
126,KOI-711    ,Gaia DR3 2080452613110460928       
127,KOI-718    ,Gaia DR3 2127771917075703424       
128,KOI-719    ,Gaia DR3 2129084935820532608       
129,KOI-720    ,Gaia DR3 2080344586094498432       
130,KOI-723    ,Gaia DR3 2130460394803778816       
131,KOI-730    ,Gaia DR3 2086337508581280256       
132,KOI-733    ,Gaia DR3 2129161734133025408       
133,KOI-749    ,Gaia DR3 2128504397979254528       
134,KOI-756    ,Gaia DR3 2086660283961964416       
135,KOI-757    ,Gaia DR3 2131114947819394816       
136,KOI-800    ,Gaia DR3 2052688467040906624       
137,KOI-829    ,Gaia DR3 2101188990094347648       
138,KOI-834    ,Gaia DR3 2100624562669914240       
139,KOI-841    ,Gaia DR3 2053586321364864640       
140,KOI-864    ,Gaia DR3 2102469921138142208       
141,KOI-869    ,Gaia DR3 2101768089124657664       
142,KOI-872    ,Gaia DR3 2102700131386216576       
143,KOI-880    ,Gaia DR3 2125850623586710400       
144,KOI-881    ,Gaia DR3 2077961463362645632       
145,KOI-884    ,Gaia DR3 2102911581215700096       
146,KOI-896    ,Gaia DR3 2126266823097360000       
147,KOI-907    ,Gaia DR3 2078832551450444032       
148,KOI-921    ,Gaia DR3 2126576679217244160       
149,KOI-934    ,Gaia DR3 2130250731680096384       
150,KOI-935    ,Gaia DR3 2128013019361703936       
151,KOI-941    ,Gaia DR3 2080246282881778048       
152,KOI-954    ,Gaia DR3 2130405041264941184       
153,KOI-974    ,Gaia DR3 2080386917291928832       
154,KOI-975    ,Gaia DR3 2099606483621385216       
155,KOI-987    ,Gaia DR3 2077994272606400512       
156,KOI-988    ,Gaia DR3 2052528625536778624       
157,KOI-991    ,Gaia DR3 2080562667352233728       
158,KOI-1001   ,Gaia DR3 2051738798233021824       
159,KOI-1050   ,Gaia DR3 2076782889978499840       
160,KOI-1060   ,Gaia DR3 2053552270863859712       
161,KOI-1102   ,Gaia DR3 2052823535171095296       
162,KOI-1127   ,Gaia DR3 2101854881822529024       
163,KOI-1198   ,Gaia DR3 2051950454223150720       
164,KOI-1199   ,Gaia DR3 2052392835854583936       
165,KOI-1203   ,Gaia DR3 2052304325169514880       
166,KOI-1215   ,Gaia DR3 2100389610777053056       
167,KOI-1270   ,Gaia DR3 2126418658780855296       
168,KOI-1279   ,Gaia DR3 2126432677554353280       
169,KOI-1282   ,Gaia DR3 2126508676995012352       
170,KOI-1306   ,Gaia DR3 2129503716608032256       
171,KOI-1353   ,Gaia DR3 2078515170549178880       
172,KOI-1364   ,Gaia DR3 2077140987172577408       
173,KOI-1445   ,Gaia DR3 2131859244171951616       
174,KOI-1486   ,Gaia DR3 2078195212660287616       
175,KOI-1529   ,Gaia DR3 2130625287187139072       
176,KOI-1537   ,Gaia DR3 2119196585370036736       
177,KOI-1557   ,Gaia DR3 2076565805151925760       
178,KOI-1563   ,Gaia DR3 2073547954981763328       
179,KOI-1567   ,Gaia DR3 2102067396802935680       
180,KOI-1598   ,Gaia DR3 2127798442794047104       
181,KOI-1621   ,Gaia DR3 2073804411752924288       
182,KOI-1692   ,Gaia DR3 2077540827141811200       
183,KOI-1781   ,Gaia DR3 2132768956905956352       
184,KOI-1805   ,Gaia DR3 2101230049979183232       
185,KOI-1832   ,Gaia DR3 2133021810218800384       
186,KOI-1835   ,Gaia DR3 2128098197152438144       
187,KOI-1858   ,Gaia DR3 2126878048483137152       
188,KOI-1860   ,Gaia DR3 2052975370856687744       
189,KOI-1883   ,Gaia DR3 2132709613336959744       
190,KOI-1909   ,Gaia DR3 2130661880308812800       
191,KOI-1929   ,Gaia DR3 2127851116271982848       
192,KOI-1930   ,Gaia DR3 2104344141784539264       
193,KOI-1931   ,Gaia DR3 2128911251641171200       
194,KOI-1944   ,Gaia DR3 2051104586182508928       
195,KOI-1952   ,Gaia DR3 2102815683186036096       
196,KOI-1955   ,Gaia DR3 2128298617506651904       
197,KOI-2007   ,Gaia DR3 2143749504651818368       
198,KOI-2037   ,Gaia DR3 2107244481660894592       
199,KOI-2038   ,Gaia DR3 2127398083121764736       
200,KOI-2051   ,Gaia DR3 2105535462635217792       
201,KOI-2086   ,Gaia DR3 2102316985943863424       
202,KOI-2110   ,Gaia DR3 2135002576119495936       
203,KOI-2148   ,Gaia DR3 2104466153215402624       
204,KOI-2149   ,Gaia DR3 2086505630781210752       
205,KOI-2173   ,Gaia DR3 2087250476887856256       
206,KOI-2218   ,Gaia DR3 2133124511477266176       
207,KOI-2290   ,Gaia DR3 2135427576021495168       
208,KOI-2339   ,Gaia DR3 2125790322246812672       
209,KOI-2390   ,Gaia DR3 2086389357427331712       
210,KOI-2414   ,Gaia DR3 2106306495162679552       
211,KOI-2433   ,Gaia DR3 2135203000771400320       
212,KOI-2462   ,Gaia DR3 2073539536845074176       
213,KOI-2533   ,Gaia DR3 2131169545443676032       
214,KOI-2545   ,Gaia DR3 2107342716152550272       
215,KOI-2595   ,Gaia DR3 2127390970655877888       
216,KOI-2597   ,Gaia DR3 2135378231142791808       
217,KOI-2632   ,Gaia DR3 2132178725317511936       
218,KOI-2639   ,Gaia DR3 2132004074768150400       
219,KOI-2678   ,Gaia DR3 2125713940547834496       
220,KOI-2706   ,Gaia DR3 2107315365800640896       
221,KOI-3097   ,Gaia DR3 2116862833283266432       
222,KOI-3165   ,Gaia DR3 2130320172711659136       
223,KOI-3168   ,Gaia DR3 2100416823690394624       
224,KOI-3197   ,Gaia DR3 2079695496278608896       
================================================================================,,
,,
<hr><p>,,
<B>'KOI' this identifier has an incorrect format for catalog:,,
"	KOI : Kepler Object of Interest",,
</B>,,
