Gaia DR3 1053809778428567680,,,,3601.738,4.21,6.0947,0.56619704,0.0313158,0.03135204,-0.1009,0.0342,0.0465
Gaia DR3 1126422935076082176,,,,,,,,,,,,
Gaia DR3 1716345832872291968,,,,5364.139,12.0964,19.2386,0.96462107,0.01979583,0.01981992,0.3159,0.0117,0.0173
Gaia DR3 1744911763437512064,,,,6437.147,1.2436,1.0532,1.478384,0.0296855,0.029684,-0.0366,0.0079,0.0071
Gaia DR3 1962153854973972096,,,,6056.1055,3.2221,1.5059,1.2932814,0.0269754,0.0269251,-0.0286,0.0038,0.0043
Gaia DR3 2009481748875806976,,,,5040.7104,87.9659,53.5254,1.068451,0.0076677,0.0064874,-0.2544,0.1065,0.0519
Gaia DR3 2051104586182508928,,,,5885.8667,3.397,2.4327,1.438147,0.0294495,0.029287,0.3149,0.0022,0.002
Gaia DR3 2051105410816218368,,,,,,,,,,,,
Gaia DR3 2051738798233021824,,,,5694.083,2.4917,1.8506,1.4080441,0.0290407,0.0290682,-0.0327,0.0052,0.0048
Gaia DR3 2051933102555095936,,,,5848.95,8.3225,7.0467,0.91881096,0.01870494,0.01871076,-0.021,0.009,0.006
Gaia DR3 2051950454223150720,,,,5974.0513,1.8237,1.3638,1.4971453,0.0300336,0.0300217,0.0281,0.0053,0.0052
Gaia DR3 2052168466766597120,,,,5992.018,9.8834,1.75,2.9059532,0.0589408,0.0587426,-0.2277,0.0018,0.0039
Gaia DR3 2052185062520374272,,,,6151.7153,17.7554,21.3066,1.6940048,0.0357334,0.0354957,0.0051,0.0138,0.0197
Gaia DR3 2052304325169514880,,,,5903.319,3.3807,2.171,1.3055764,0.0271818,0.0277959,-0.1756,0.0062,0.0059
Gaia DR3 2052392835854583936,,,,4181.3286,3.5684,11.4456,0.55484647,0.01978808,0.01978227,-0.2162,0.0051,0.0147
Gaia DR3 2052528625536778624,,,,6204.659,36.499,10.346,1.6483556,0.0345359,0.0340151,-0.4268,0.039,0.0139
Gaia DR3 2052688467040906624,,,,4591.5635,0.6885,0.7435,0.7364106,0.01700105,0.01699947,-0.112,0.0082,0.019
Gaia DR3 2052747119115620352,,,,3842.436,3.4632,10.562,0.46582368,0.02888778,0.02888963,-0.3196,0.0479,0.0103
Gaia DR3 2052823535171095296,,,,4891.5254,0.6792,0.7464,0.81041276,0.01728428,0.01728476,0.0957,0.0034,0.0034
Gaia DR3 2053070616052194304,,,,4507.6455,9.7805,4.5835,0.74489874,0.01745126,0.01748139,-0.1991,0.0124,0.008
Gaia DR3 2053546910744629504,,,,5840.252,14.699,12.0044,1.7191885,0.035562,0.0352777,0.1282,0.0132,0.0096
Gaia DR3 2053552270863859712,,,,5188.1562,13.8975,9.9452,0.9007878,0.01864365,0.0186264,0.2027,0.0117,0.0092
Gaia DR3 2053586321364864640,,,,,,,,,,,,
Gaia DR3 2073277200237694464,,,,5848.7705,4.105,2.292,1.1427443,0.0232829,0.0232387,0.1182,0.0055,0.0057
Gaia DR3 2073539536845074176,,,,5997.613,14.762,13.179,1.9232618,0.0483619,0.047328,-0.202,0.0122,0.0118
Gaia DR3 2073547954981763328,,,,,,,,,,,,
Gaia DR3 2073731161099713408,,,,6138.781,3.5696,3.703,1.8942262,0.0409611,0.0408441,-0.1752,0.0031,0.0034
Gaia DR3 2073804411752924288,,,,5996.3154,1.5446,1.5927,1.1971555,0.024055,0.0240562,-0.3061,0.0121,0.0118
Gaia DR3 2075112109039378688,,,,5372.22,37.2297,26.862,1.1371807,0.0241313,0.0238834,-0.0133,0.0435,0.0274
Gaia DR3 2075161655782111872,,,,5774.3516,5.5504,7.7486,1.1920465,0.0245784,0.0242717,-0.1446,0.0075,0.007
Gaia DR3 2076328963475704576,,,,6580.7725,30.9035,9.2852,1.7821016,0.0367785,0.036214,0.1084,0.0297,0.0142
Gaia DR3 2076565805151925760,,,,6739.136,9.452,18.085,1.9906454,0.0409716,0.041326,-0.352,0.0054,0.006
Gaia DR3 2076601917234347520,,,,5286.4,3.786,2.869,0.8768332,0.0180579,0.01806503,0.0628,0.0039,0.0035
Gaia DR3 2076692386427776768,,,,4690.008,4.7576,4.213,0.74632215,0.01690752,0.01686328,0.1049,0.0056,0.0059
Gaia DR3 2076764576237957504,,,,6715.8354,12.9571,10.871,1.5999188,0.0334907,0.0333792,-0.4524,0.0157,0.0091
Gaia DR3 2076782889978499840,,,,,,,,,,,,
Gaia DR3 2076792648144511104,,,,,,,,,,,,
Gaia DR3 2076871091425583232,,,,8848.703,3.066,3.04,1.6535217,0.0334242,0.0334454,-1.4907,0.0176,0.0071
Gaia DR3 2076955822541823744,,,,5735.328,54.784,50.993,0.7096118,0.031264,0.0280682,-0.7781,0.0643,0.0685
Gaia DR3 2076960598545789824,,,,4576.7456,10.7109,9.5601,0.6897532,0.0183631,0.0201352,-0.2411,0.0161,0.0182
Gaia DR3 2076970047474270208,,,,5661.4326,34.6933,82.7437,0.94419426,0.00855614,0.00756536,-0.1026,0.0377,0.0976
