Gaia DR3 ID,Teff,Teff pe,Teff me,Radius,Rad pe,Rad me,Metalicity,Metal pe,Metal me
1716345832872291968,,,,,,,,,
1725490333641502976,5848.7705,4.105,2.292,1.1427443,0.0232829,0.0232387,0.1182,0.0055,0.0057
1737061349198867456,5997.613,14.762,13.179,1.9232618,0.0483619,0.047328,-0.202,0.0122,0.0118
1744911763437512064,,,,,,,,,
1750321012752775040,6138.781,3.5696,3.703,1.8942262,0.0409611,0.0408441,-0.1752,0.0031,0.0034
1779546757669063552,5996.3154,1.5446,1.5927,1.1971555,0.024055,0.0240562,-0.3061,0.0121,0.0118
179498266829041664,5372.22,37.2297,26.862,1.1371807,0.0241313,0.0238834,-0.0133,0.0435,0.0274
1808938730710633984,5774.3516,5.5504,7.7486,1.1920465,0.0245784,0.0242717,-0.1446,0.0075,0.007
181908842994567936,6580.7725,30.9035,9.2852,1.7821016,0.0367785,0.036214,0.1084,0.0297,0.0142
1835842749465226368,6739.136,9.452,18.085,1.9906454,0.0409716,0.041326,-0.352,0.0054,0.006
1849786481032616960,5286.4,3.786,2.869,0.8768332,0.0180579,0.01806503,0.0628,0.0039,0.0035
1909762228985058944,4690.008,4.7576,4.213,0.74632215,0.01690752,0.01686328,0.1049,0.0056,0.0059
1925321658551399040,6715.8354,12.9571,10.871,1.5999188,0.0334907,0.0333792,-0.4524,0.0157,0.0091
1962153854973972096,,,,,,,,,
2009481748875806976,,,,,,,,,
2033123654092592384,8848.703,3.066,3.04,1.6535217,0.0334242,0.0334454,-1.4907,0.0176,0.0071
2048464796210957440,5735.328,54.784,50.993,0.7096118,0.031264,0.0280682,-0.7781,0.0643,0.0685
2051027792165858304,4576.7456,10.7109,9.5601,0.6897532,0.0183631,0.0201352,-0.2411,0.0161,0.0182
2051104586182508928,,,,0.94419426,0.00855614,0.00756536,,,
2051105410816218368,,,,0.8151273,0.017766,0.0178508,,,
2051368434612892800,5545.94,20.4946,16.0645,0.9753009,0.0349819,0.0289356,-0.1639,0.0202,0.0164
2051738798233021824,,,,,,,,,
2051866238502437632,6089.895,3.277,1.6714,1.3094412,0.026758,0.0267949,-0.0359,0.0048,0.0052
2051933102555095936,,,,0.7599856,0.0170623,0.0171986,,,
2051950454223150720,,,,1.3650557,0.0500157,0.0654853,,,
2052136821446989568,5795.041,34.5664,37.6304,1.5329694,0.0404325,0.0376753,-0.2815,0.0352,0.0382
