KOI,Host Gaia DR3 ID,P,P pe,P me,PSR,PSR pme
K01860.04,2052975370856687744,24.843512,0.00002,0.00002,0.0138319,0.0015157
K01860.03,2052975370856687744,3.076446,0.000006,0.000006,0.0140681,0.000563
K01860.02,2052975370856687744,12.209458,0.000015,0.000015,0.0215702,0.0006465
K01860.01,2052975370856687744,6.319431,0.000006,0.000006,0.0218313,0.0005154
Kepler-416 d,2052975370856687744,3.07644709,0.00001038,0.00001038,0.014720734,0.000275122
K00232.05,2053070616052194304,56.25879,0.00002,0.00002,0.0170975,0.00052
K00232.04,2053070616052194304,37.996389,0.00002,0.00002,0.0166047,0.0005821
K00232.03,2053070616052194304,21.587868,0.00002,0.00002,0.016142,0.0005919
K00232.02,2053070616052194304,5.766165,0.000007,0.000007,0.0172517,0.0004308
K00555.02,2053546910744629504,86.494779,0.00002,0.00002,0.0272076,0.0007648
K00555.01,2053546910744629504,3.701759,0.000004,0.000004,0.0153074,0.0004554
K01060.04,2053552270863859712,8.193476,0.000017,0.000017,0.0110422,0.0005953
K01060.03,2053552270863859712,20.496612,0.000021,0.000021,0.0135719,0.0009471
K01060.02,2053552270863859712,4.757961,0.000013,0.000013,0.0096482,0.0005553
K01060.01,2053552270863859712,12.109695,0.000018,0.000018,0.0159526,0.0005696
Kepler-45 b,2053562475706063744,2.455239,0.000004,0.000004,0.178997207,0.002011205
K00841.03,2053586321364864640,6.546272,0.000009,0.000009,0.0236775,0.0009438
KELT-21 b,2054523105274216704,3.6127647,0.0000033,0.0000033,0.099498744,0.000703526
HD 332231 b,2056007995732413312,18.71204,0.00043,0.00043,0.069763888,0.000415688
Kepler-1487 c,2073153024144692736,35.8007112,0.0003713,0.0003713,0.02043037,0.000428284
Kepler-58 e,2073274618947678464,4.45814897,0.00002897,0.00002897,0.013714955,0.00052862
K00144.01,2073277200237694464,4.176255,0.000002,0.000002,0.0327019,0.0002627
K02462.01,2073539536845074176,12.146927,0.000016,0.000016,0.0079382,0.0003434
K01563.03,2073547954981763328,3.205405,0.000006,0.000006,0.0190858,0.0009711
K01563.04,2073547954981763328,16.738655,0.000019,0.000019,0.0337772,0.0021504
K01563.02,2073547954981763328,8.29088,0.000012,0.000012,0.0280606,0.0011807
K01563.01,2073547954981763328,5.487102,0.000006,0.000006,0.0314396,0.0010513
Kepler-1669 d,2073652546016392448,4.72941177,0.00003075,0.00003075,0.020839866,0.000808546
Kepler-1983 b,2073697660354300544,7.32851947,0.00002311,0.00002311,0.016667333,0.000827967
K00261.01,2073731161099713408,16.238475,0.000005,0.000005,0.0255933,0.0003015
K01621.01,2073804411752924288,20.310505,0.00002,0.00002,0.0122736,0.0006823
K00148.03,2075112109039378688,42.89607,0.000019,0.000019,0.020856,0.0003435
K00148.02,2075112109039378688,9.673944,0.000004,0.000004,0.0279517,0.0004586
K00148.01,2075112109039378688,4.778006,0.000003,0.000003,0.0194458,0.000325
K00306.01,2075161655782111872,24.307892,0.000015,0.000015,0.025247,0.0013088
K00102.01,2076121602454770560,1.735136,0,0,0.0337911,0.0002593
Kepler-1990 b,2076121602454770560,1.73513619,0.00000028,0.00000028,0.030864219,3.726E-05
Kepler-1990 c,2076121602454770560,4.06844957,0.00001212,0.00001212,0.008933085,0.000167915
Kepler-1801 c,2076185408488670208,116.583183,0.002231,0.002231,0.028618176,0.001782084
K00500.04,2076328963475704576,4.645388,0.000011,0.000011,0.0197009,0.0011436
K00500.03,2076328963475704576,3.072147,0.000003,0.000003,0.0197765,0.0008029
Kepler-1834 c,2076454445237794432,0.76669152,0.00000127,0.00000127,0.015620499,0.000323293
K01557.04,2076565805151925760,1.49915,0.000002,0.000002,0.0156871,0.0006258
K01557.02,2076565805151925760,9.653473,0.000008,0.000008,0.0334888,0.000616
K01557.03,2076565805151925760,5.315955,0.000005,0.000005,0.0347268,0.0010818
K01557.01,2076565805151925760,3.295705,0.000002,0.000002,0.0398516,0.0005356
K00645.02,2076601917234347520,23.78325,0.00002,0.00002,0.0146158,0.0008518
K00645.01,2076601917234347520,8.503414,0.000019,0.000019,0.0186947,0.0018003
K00191.02,2076692386427776768,2.418405,0.000003,0.000003,0.0248711,0.0006545
K00191.04,2076692386427776768,38.651995,0.00002,0.00002,0.0213875,0.0010174
K00448.01,2076764576237957504,10.13962,0.000009,0.000009,0.0331048,0.0005627
K01050.02,2076782889978499840,2.853133,0.000004,0.000004,0.0180074,0.0006731
K01050.01,2076782889978499840,1.269091,0.000002,0.000002,0.0184043,0.0004137
K00658.03,2076792648144511104,11.329752,0.00002,0.00002,0.0115186,0.0013487
K00658.02,2076792648144511104,5.370646,0.000012,0.000012,0.0241604,0.0008296
K00658.01,2076792648144511104,3.162692,0.000007,0.000007,0.0233803,0.0007159
K00305.01,2076871091425583232,4.603576,0.000002,0.000002,0.0188765,0.0003688
K00509.02,2076955822541823744,11.463477,0.000013,0.000013,0.0328424,0.0008447
K00509.01,2076955822541823744,4.16696,0.000005,0.000005,0.0274167,0.0005424
K00157.02,2076960598545789824,22.687159,0.000014,0.000014,0.0282097,0.0005608
K00157.06,2076960598545789824,10.304021,0.000012,0.000012,0.0156464,0.0003009
K00094.02,2076970047474270208,10.423684,0.000005,0.000005,0.0266356,0.0006206
K00094.04,2076970047474270208,3.743176,0.000003,0.000003,0.0105429,0.0001833
K01364.01,2077140987172577408,20.834288,0.000018,0.000018,0.0256397,0.0009735
K01364.03,2077140987172577408,11.978813,0.000016,0.000016,0.0237118,0.0009293
K01364.02,2077140987172577408,7.055679,0.000009,0.000009,0.023056,0.0008446
K01364.04,2077140987172577408,3.715456,0.000006,0.000006,0.016603,0.0007948
K01364.05,2077140987172577408,2.580823,0.000005,0.000005,0.0152323,0.0008736
K01692.01,2077540827141811200,5.960402,0.000005,0.000005,0.0267866,0.0003383
K00564.03,2077556465126659456,6.217125,0.000018,0.000018,0.011278,0.0012118
K00307.02,2077598384004774912,5.211036,0.000013,0.000013,0.0139191,0.0004866
K00307.01,2077598384004774912,19.674162,0.000019,0.000019,0.0215047,0.0009159
Kepler-1985 b,2077726678964445696,3.42064689,0.00001928,0.00001928,0.01888915,0.000804695
K00671.03,2077750803804146176,16.25946,0.000018,0.000018,0.0120048,0.0006365
K00671.04,2077750803804146176,11.131752,0.000019,0.000019,0.0083138,0.0005729
K00671.02,2077750803804146176,7.466634,0.000012,0.000012,0.0107257,0.0004045
K00671.01,2077750803804146176,4.228655,0.000005,0.000005,0.0118965,0.0003691
K00881.01,2077961463362645632,21.022471,0.000017,0.000017,0.0391029,0.0008492
K00987.01,2077994272606400512,3.179264,0.000006,0.000006,0.016135,0.0009996
Kepler-1987 b,2078000289864478976,2.345863,0.00000955,0.00000955,0.017796067,0.000516968
Kepler-1987 c,2078000289864478976,3.64830183,0.00001621,0.00001621,0.019279523,0.000544619
Kepler-1987 d,2078000289864478976,5.64491415,0.00000878,0.00000878,0.037388501,0.000326304
Kepler-1987 e,2078000289864478976,8.74292005,0.00003311,0.00003311,0.027919527,0.000505023
K01486.02,2078195212660287616,30.183689,0.000018,0.000018,0.0285895,0.0010565
K00171.02,2078272831307891456,13.07148,0.000021,0.000021,0.0165123,0.0004902
K00171.01,2078272831307891456,5.968714,0.000012,0.000012,0.0221212,0.0002981
K00520.04,2078286197246582016,51.165791,0.000019,0.000019,0.0146672,0.0010299
K00520.02,2078286197246582016,5.433113,0.000007,0.000007,0.0154564,0.0005517
K01353.02,2078515170549178880,34.543847,0.000019,0.000019,0.0232759,0.0012832
Kepler-865 c,2078648211455026432,6.20920207,0.0000479,0.0000479,0.010094553,0.000455691
K00238.02,2078697552035948800,26.695166,0.00002,0.00002,0.0114187,0.0013588
K00238.01,2078697552035948800,17.232309,0.000018,0.000018,0.0223143,0.0006244
K00150.02,2078722600285671936,28.574262,0.000018,0.000018,0.0276505,0.0003249
K00150.01,2078722600285671936,8.408874,0.000005,0.000005,0.0262614,0.0003058
K00907.04,2078832551450444032,99.640965,0.000021,0.000021,0.0319982,0.0017384
K00907.02,2078832551450444032,30.132939,0.000018,0.000018,0.0295369,0.0007899
K00907.01,2078832551450444032,16.514133,0.000017,0.000017,0.02844,0.0006601
K00907.03,2078832551450444032,4.790919,0.000014,0.000014,0.0143647,0.0007907
Kepler-1988 b,2078996821055736960,11.49500229,0.00008821,0.00008821,0.007169379,0.000167379
K00317.01,2079005651508492032,22.208119,0.000015,0.000015,0.0207225,0.0002646
K00105.01,2079192121810035840,8.981015,0.000002,0.000002,0.0312899,0.0004404
K00137.03,2079295583282164992,3.504713,0.000003,0.000003,0.0163997,0.00028
K00159.01,2079368391569401600,8.990883,0.000017,0.000017,0.0195354,0.0003546
K00159.02,2079368391569401600,2.403633,0.000016,0.000016,0.0090059,0.000762
K03197.01,2079695496278608896,22.599212,0.00002,0.00002,0.0084665,0.0051937
Kepler-1610 c,2079807646464016256,44.9851885,0.0004873,0.0004873,0.024855583,0.001027938
Kepler-1992 b,2079880695265507328,15.6112238,0.0001275,0.0001275,0.010653638,0.000380152
K00700.04,2079885608708649344,68.161359,0.00002,0.00002,0.01682,0.0006107
K00700.03,2079885608708649344,14.667187,0.000016,0.000016,0.0140543,0.0003901
K00700.02,2079885608708649344,9.360628,0.000011,0.000011,0.0151507,0.0003461
K00941.01,2080246282881778048,6.581482,0.000009,0.000009,0.0428697,0.0009428
K00941.02,2080246282881778048,2.382652,0.000004,0.000004,0.0263214,0.000813
KIC 9663113 b,2080266967444876032,572.3847,0.00583,0.00567,0.041,
Kepler-1994 b,2080271674728481280,4.61225043,0.00003445,0.00003445,0.005394442,0.000222451
Kepler-32 d,2080287892525359872,22.7802,0.0005,0.0005,0.046701178,
Kepler-32 e,2080287892525359872,2.896,0.0003,0.0003,0.025903668,
Kepler-32 f,2080287892525359872,0.74296,0.00007,0.00007,0.01496663,
Kepler-1997 b,2080296757338392576,26.7575866,0.0002942,0.0002942,0.02133776,0.000698293
K00720.02,2080344586094498432,10.041575,0.000007,0.000007,0.0327336,0.000485
K00720.01,2080344586094498432,5.690592,0.000004,0.000004,0.0347523,0.0004735
K00720.04,2080344586094498432,2.795895,0.000002,0.000002,0.0180822,0.0003669
K00974.01,2080386917291928832,53.505835,0.000019,0.000019,0.0128473,0.0002617
K00711.01,2080452613110460928,44.699505,0.00002,0.00002,0.027173,0.0006981
K00711.02,2080452613110460928,3.619312,0.000004,0.000004,0.0130009,0.0003194
Kepler-1052 c,2080466185207274880,180.921729,0.002826,0.002826,0.027247018,0.000924872
K00991.01,2080562667352233728,12.062215,0.000014,0.000014,0.0180419,0.00106
Kepler-784 c,2080605823183999616,17.157236,0.0001862,0.0001862,0.01050714,0.000237933
K00116.02,2082074942519913344,43.844448,0.000019,0.000019,0.0233826,0.0003201
K00116.04,2082074942519913344,23.980232,0.00002,0.00002,0.0096207,0.0003604
K00116.01,2082074942519913344,13.570778,0.000009,0.000009,0.0230094,0.0003672
Kepler-1518 c,2082161219824397568,9.6310258,0.0001257,0.0001257,0.01723949,0.00072798
Kepler-1921 c,2085204015173031552,3.15722086,0.00001947,0.00001947,0.007049823,0.000226956
Kepler-949 c,2085527924426959104,20.99757968,0.00003334,0.00003334,0.033642235,0.000401281
K00730.04,2086337508581280256,7.384422,0.000019,0.000019,0.015567,0.000954
K02390.01,2086389357427331712,16.104672,0.00002,0.00002,0.0120173,0.0010919
K02149.01,2086505630781210752,13.151421,0.000019,0.000019,0.0092909,0.0004272
K00117.01,2086625752425381632,14.749136,0.000011,0.000011,0.0188432,0.000239
K00117.04,2086625752425381632,7.958297,0.000018,0.000018,0.0061411,0.0002928
K00117.02,2086625752425381632,4.901438,0.000006,0.000006,0.0106106,0.000171
K00117.03,2086625752425381632,3.18002,0.000002,0.000002,0.0101072,0.0001669
K00174.01,2086629463276947456,56.354185,0.000019,0.000019,0.0338763,0.0013008
K00756.02,2086660283961964416,4.134431,0.000007,0.000007,0.0244302,0.0008421
K00756.03,2086660283961964416,2.566577,0.000009,0.000009,0.0151305,0.0008579
K00291.01,2086718317558873984,31.517801,0.00002,0.00002,0.0198646,0.0008204
K00291.02,2086718317558873984,8.129994,0.000018,0.000018,0.0177128,0.0015777
K00294.01,2086940448965828992,34.435879,0.000019,0.000019,0.0196722,0.0009749
K00365.01,2087171453788422528,81.737807,0.00002,0.00002,0.0241374,0.0002797
K02173.02,2087250476887856256,53.57784,0.000019,0.000019,0.0156561,0.000668
K02173.01,2087250476887856256,37.815615,0.000019,0.000019,0.0141785,0.0007172
K00273.01,2099541715513813504,10.573747,0.000007,0.000007,0.0201213,0.000586
Kepler-1981 b,2099583977992504576,453.54212,0.003501,0.003501,0.029342802,0.000316943
K00118.01,2099605968225288960,24.993239,0.000021,0.000021,0.0158167,0.0006156
K00975.01,2099606483621385216,2.785818,0,0,0.0082442,7.09E-05
K00281.01,2099656472742686848,19.55659,0.000014,0.000014,0.0158805,0.0002629
Kepler-1978 b,2099854801450635520,10.84969477,0.00002777,0.00002777,0.033497761,0.000410475
K00299.01,2099862910348755712,1.541678,0.000001,0.000001,0.0160803,0.0002503
K00377.03,2099925719951103872,1.592957,0.000001,0.000001,0.0148356,0.000381
K01215.02,2100389610777053056,33.00631,0.00002,0.00002,0.0161209,0.0007801
K00280.01,2100392428275714688,11.872891,0.000006,0.000006,0.019791,0.0002934
K03168.01,2100416823690394624,56.348109,0.000022,0.000022,0.0068121,0.0006266
Kepler-1982 b,2100524610190045312,3.82315697,0.00004481,0.00004481,0.006870226,0.000480334
K00161.01,2100597143598879616,3.105507,0.000001,0.000001,0.0290793,0.0004636
K00834.05,2100624562669914240,50.447315,0.00002,0.00002,0.0203404,0.0008933
K00834.02,2100624562669914240,13.233546,0.000019,0.000019,0.0197413,0.0005424
K00834.03,2100624562669914240,6.155574,0.00001,0.00001,0.0144034,0.000473
K00834.04,2100624562669914240,2.090815,0.000006,0.000006,0.0094475,0.0004878
K00304.01,2100906140725803392,8.512033,0.000004,0.000004,0.0247432,0.0003362
Kepler-1181 c,2101035367703145088,8.93484887,0.00009707,0.00009707,0.011657616,0.000707692
K00123.02,2101175933393051008,21.222602,0.000013,0.000013,0.0179728,0.0001798
K00123.01,2101175933393051008,6.481639,0.000003,0.000003,0.0164629,0.0002406
K00829.02,2101188990094347648,9.751929,0.000019,0.000019,0.0192496,0.0009591
K01805.02,2101230049979183232,31.782112,0.000018,0.000018,0.023613,0.0005929
K01805.01,2101230049979183232,6.941362,0.000005,0.000005,0.0309433,0.000589
K01805.03,2101230049979183232,4.36275,0.000004,0.000004,0.0174442,0.0003883
K00108.01,2101243789577188736,15.965333,0.000013,0.000013,0.0220533,0.0002473
K00282.03,2101305259145506816,87.517436,0.00002,0.00002,0.0161515,0.0044995
K00282.02,2101305259145506816,8.457451,0.000012,0.000012,0.00844,0.0003192
Kepler-1984 b,2101508501301083520,1.99281234,0.00000783,0.00000783,0.017742604,0.000642521
K00176.01,2101719263935952768,30.229106,0.000019,0.000019,0.0195193,0.0005701
K00041.03,2101733244046205568,35.333093,0.000019,0.000019,0.0103546,0.0002224
K00041.01,2101733244046205568,12.815893,0.000008,0.000008,0.0137932,0.000168
K00041.02,2101733244046205568,6.887062,0.000007,0.000007,0.0082278,0.0001469
K00869.04,2101768089124657664,3.219823,0.000005,0.000005,0.0160162,0.000825
K00869.03,2101768089124657664,17.460864,0.000016,0.000016,0.0285918,0.0014273
K00869.01,2101768089124657664,7.49017,0.000007,0.000007,0.0308828,0.0006549
K01127.03,2101854881822529024,2.836704,0.000016,0.000016,0.0120963,0.001456
K01127.02,2101854881822529024,8.128107,0.000018,0.000018,0.0172411,0.0022512
K00665.01,2101898759208960640,5.868083,0.000009,0.000009,0.0202096,0.0003987
K00665.03,2101898759208960640,3.071542,0.000012,0.000012,0.0081308,0.0004396
K00665.02,2101898759208960640,1.611895,0.000005,0.000005,0.0095698,0.0003769
K00672.01,2101964558106974848,16.087861,0.000017,0.000017,0.0250806,0.0008616
K00408.03,2102063136195478656,30.826486,0.000019,0.000019,0.0273259,0.0007103
K00408.02,2102063136195478656,12.560935,0.000013,0.000013,0.0275049,0.0005639
K00408.01,2102063136195478656,7.381981,0.000007,0.000007,0.0355103,0.0005299
K00408.04,2102063136195478656,3.428057,0.00001,0.00001,0.0132748,0.0005687
K01567.04,2102067396802935680,44.841224,0.000021,0.000021,0.0294356,0.0015662
K01567.03,2102067396802935680,17.326689,0.00002,0.00002,0.0244408,0.0012651
K01567.01,2102067396802935680,7.240222,0.000013,0.000013,0.0267876,0.0011626
K01567.02,2102067396802935680,4.64622,0.000013,0.000013,0.0176042,0.0011532
KIC 5437945 b,2102070660978313472,440.7813,0.00563,0.00577,0.047,
K00283.01,2102110174677569664,16.091981,0.000009,0.000009,0.0212462,0.0003783
K00085.03,2102119176929154304,8.131227,0.000005,0.000005,0.0101687,0.0001028
K00085.01,2102119176929154304,5.859939,0.000001,0.000001,0.0168953,0.0001023
K00085.02,2102119176929154304,2.154911,0.000001,0.000001,0.0092337,8.55E-05
Kepler-65 b,2102119176929154304,2.15491,0.000005,0.000005,0.009219544,8.67722E-05
K00285.03,2102224661326132864,49.356885,0.000019,0.000019,0.0109187,0.0003911
K00285.02,2102224661326132864,26.7232,0.000019,0.000019,0.0130817,0.0002597
K00285.01,2102224661326132864,13.748833,0.000015,0.000015,0.0197765,0.0002645
K02086.03,2102316985943863424,11.898452,0.000022,0.000022,0.0152232,0.0014968
K02086.01,2102316985943863424,7.132954,0.000009,0.000009,0.0128329,0.0004031
K00111.03,2102454253097554304,51.755294,0.000018,0.000018,0.0231631,0.000309
K00111.02,2102454253097554304,23.66835,0.000013,0.000013,0.0199257,0.0002581
K00111.01,2102454253097554304,11.427551,0.000005,0.000005,0.0208727,0.0002431
K00864.02,2102469921138142208,20.050393,0.000018,0.000018,0.025065,0.0007008
K00864.03,2102469921138142208,9.767345,0.000014,0.000014,0.0273272,0.0016539
K00864.01,2102469921138142208,4.311781,0.000004,0.000004,0.0307689,0.0006088
K00070.05,2102548708017562112,19.577627,0.00002,0.00002,0.0091348,0.000356
K00070.03,2102548708017562112,77.611598,0.000019,0.000019,0.0262888,0.0003397
K00070.01,2102548708017562112,10.854089,0.000003,0.000003,0.0290471,0.0001932
K00070.02,2102548708017562112,3.696115,0.000001,0.000001,0.0182169,0.0002168
K00456.02,2102587087846067712,4.309241,0.000007,0.000007,0.0144952,0.0006178
K00679.01,2102610280669509888,31.80474,0.00002,0.00002,0.0165463,0.000601
K00679.02,2102610280669509888,16.258358,0.00002,0.00002,0.0054681,0.001167
K00872.02,2102700131386216576,6.766514,0.000013,0.000013,0.0176764,0.0009192
K01952.04,2102815683186036096,42.473056,0.00002,0.00002,0.0155778,0.0010166
K01952.02,2102815683186036096,27.666593,0.000019,0.000019,0.0164219,0.0009224
K01952.01,2102815683186036096,8.010394,0.000016,0.000016,0.0156541,0.0007419
K01952.03,2102815683186036096,5.19557,0.000018,0.000018,0.0089477,0.0007225
K00884.03,2102911581215700096,3.336125,0.000004,0.000004,0.0196232,0.000699
K00446.02,2103295173333142784,28.551561,0.000018,0.000018,0.0253938,0.0009264
K00446.01,2103295173333142784,16.709196,0.000016,0.000016,0.0297081,0.000843
K00257.01,2103452266056715392,6.883407,0.000002,0.000002,0.023303,0.0002494
K00505.05,2103788854053938816,87.090599,0.000021,0.000021,0.0310157,0.0013062
K00505.01,2103788854053938816,13.767073,0.000015,0.000015,0.0253636,0.0010315
K00505.04,2103788854053938816,8.348195,0.00001,0.00001,0.0167357,0.0009389
K00505.02,2103788854053938816,6.195433,0.000013,0.000013,0.0158351,0.0009981
K00505.03,2103788854053938816,3.250592,0.000008,0.000008,0.0140501,0.0009249
Kepler-1814 c,2103845032226500352,0.62628177,0.00000104,0.00000104,0.020811055,0.000396424
K00612.02,2104094071610116608,47.42766,0.00002,0.00002,0.0273178,0.0006394
K00612.01,2104094071610116608,20.739916,0.000018,0.000018,0.025077,0.0005936
K00508.02,2104098950692667264,16.665911,0.000013,0.000013,0.026278,0.0004352
K00508.01,2104098950692667264,7.930589,0.000006,0.000006,0.0267232,0.0003651
K01930.04,2104344141784539264,9.341436,0.000015,0.000015,0.0081421,0.0003276
K01930.03,2104344141784539264,44.430136,0.00002,0.00002,0.0138357,0.0003447
K01930.02,2104344141784539264,24.311147,0.00002,0.00002,0.011522,0.0003317
K01930.01,2104344141784539264,13.727074,0.000023,0.000023,0.012609,0.0003133
K00657.02,2104376405579347968,16.282491,0.000016,0.000016,0.0273519,0.0006059
K00657.01,2104376405579347968,4.069424,0.000003,0.000003,0.0218653,0.0004323
K02148.01,2104466153215402624,11.932081,0.000018,0.000018,0.0121237,0.0005654
K02148.02,2104466153215402624,7.542335,0.000019,0.000019,0.0104807,0.0006996
K02148.03,2104466153215402624,3.614611,0.000016,0.000016,0.0073164,0.0008917
K00284.01,2104466256290759936,18.010173,0.000016,0.000016,0.0178773,0.0006161
K00284.02,2104466256290759936,6.414909,0.000008,0.000008,0.0128556,0.0003969
K00284.03,2104466256290759936,6.178258,0.000008,0.000008,0.0116696,0.000406
K00510.04,2104506319750394624,35.118523,0.00002,0.00002,0.0247668,0.0021263
K00510.03,2104506319750394624,14.626986,0.00002,0.00002,0.020554,0.0012888
