KOI,Host KOI,Kepler name,Host Gaia DR3 ID,P,P pme,PSR,PSR pme
K00191.02,KOI-191,KOI-191.02,2076692386427776768       ,2.418405,0.000003,0.0248711,0.0006545
K00191.04,KOI-191,Kepler-487 c,2076692386427776768       ,38.651995,0.00002,0.0213875,0.0010174
K00448.01,KOI-448,Kepler-159 b,2076764576237957504       ,10.13962,0.000009,0.0331048,0.0005627
K01050.01,KOI-1050,Kepler-755 A b,2076782889978499840       ,1.269091,0.000002,0.0184043,0.0004137
K01050.02,KOI-1050,Kepler-755 A c,2076782889978499840       ,2.853133,0.000004,0.0180074,0.0006731
K00658.01,KOI-658,Kepler-203 b,2076792648144511104       ,3.162692,0.000007,0.0233803,0.0007159
K00658.02,KOI-658,Kepler-203 c,2076792648144511104       ,5.370646,0.000012,0.0241604,0.0008296
K00658.03,KOI-658,Kepler-203 d,2076792648144511104       ,11.329752,0.00002,0.0115186,0.0013487
K00305.01,KOI-305,Kepler-99 B b,2076871091425583232       ,4.603576,0.000002,0.0188765,0.0003688
K00509.01,KOI-509,Kepler-171 b,2076955822541823744       ,4.16696,0.000005,0.0274167,0.0005424
K00509.02,KOI-509,Kepler-171 c,2076955822541823744       ,11.463477,0.000013,0.0328424,0.0008447
K00157.02,KOI-157,Kepler-11 d,2076960598545789824       ,22.687159,0.000014,0.0282097,0.0005608
K00157.06,KOI-157,Kepler-11 b,2076960598545789824       ,10.304021,0.000012,0.0156464,0.0003009
K00094.02,KOI-94,Kepler-89 A c,2076970047474270208       ,10.423684,0.000005,0.0266356,0.0006206
K00094.04,KOI-94,Kepler-89 A b,2076970047474270208       ,3.743176,0.000003,0.0105429,0.0001833
K01364.01,KOI-1364,Kepler-292 f,2077140987172577408       ,20.834288,0.000018,0.0256397,0.0009735
K01364.02,KOI-1364,Kepler-292 d,2077140987172577408       ,7.055679,0.000009,0.023056,0.0008446
K01364.03,KOI-1364,Kepler-292 e,2077140987172577408       ,11.978813,0.000016,0.0237118,0.0009293
K01364.04,KOI-1364,Kepler-292 c,2077140987172577408       ,3.715456,0.000006,0.016603,0.0007948
K01364.05,KOI-1364,Kepler-292 b,2077140987172577408       ,2.580823,0.000005,0.0152323,0.0008736
K01692.01,KOI-1692,Kepler-314 c,2077540827141811200       ,5.960402,0.000005,0.0267866,0.0003383
K00564.03,KOI-564,Kepler-603 d,2077556465126659456       ,6.217125,0.000018,0.011278,0.0012118
K00307.01,KOI-307,Kepler-520 b,2077598384004774912       ,19.674162,0.000019,0.0215047,0.0009159
K00307.02,KOI-307,Kepler-520 c,2077598384004774912       ,5.211036,0.000013,0.0139191,0.0004866
K00671.01,KOI-671,Kepler-208 b,2077750803804146176       ,4.228655,0.000005,0.0118965,0.0003691
K00671.02,KOI-671,Kepler-208 c,2077750803804146176       ,7.466634,0.000012,0.0107257,0.0004045
K00671.03,KOI-671,Kepler-208 e,2077750803804146176       ,16.25946,0.000018,0.0120048,0.0006365
K00671.04,KOI-671,Kepler-208 d,2077750803804146176       ,11.131752,0.000019,0.0083138,0.0005729
K00881.01,KOI-881,Kepler-712 b,2077961463362645632       ,21.022471,0.000017,0.0391029,0.0008492
K00987.01,KOI-987,Kepler-743 A b,2077994272606400512       ,3.179264,0.000006,0.016135,0.0009996
K01486.02,KOI-1486,Kepler-302 b,2078195212660287616       ,30.183689,0.000018,0.0285895,0.0010565
K00171.01,KOI-171,Kepler-116 b,2078272831307891456       ,5.968714,0.000012,0.0221212,0.0002981
K00171.02,KOI-171,Kepler-116 c,2078272831307891456       ,13.07148,0.000021,0.0165123,0.0004902
K00520.02,KOI-520,Kepler-176 b,2078286197246582016       ,5.433113,0.000007,0.0154564,0.0005517
