source_id,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
1750321012752775040,6138.781,6135.078,6142.3506,-0.1752,-0.1786,-0.1721,Gaia DR3 1750321012752775040,313.6872919470238,9.179068007,1.6663,-6.2505,-5.1682,4.9086,2016,0
1779546757669063552,5996.3154,5994.7227,5997.86,-0.3061,-0.3179,-0.294,Gaia DR3 1779546757669063552,330.79502626424147,18.88423938290383,20.7694,29.7664,-17.976,-14.7758,2016,0
179498266829041664,5372.22,5345.358,5409.4497,-0.0133,-0.0407,0.0302,Gaia DR3 179498266829041664,66.24814452059672,39.460600684443286,5.1856,14.2329,-9.4072,31.4106,2016,0
1808938730710633984,5774.3516,5766.603,5779.902,-0.1446,-0.1516,-0.1371,Gaia DR3 1808938730710633984,306.1239095151492,16.762145396892375,2.7358,13.3253,-5.5051,-16.6685,2016,0
181908842994567936,6580.7725,6571.4873,6611.676,0.1084,0.0942,0.1381,Gaia DR3 181908842994567936,78.29559292626563,33.317946334241604,7.3792,10.4773,-49.6204,39.8993,2016,7.105427357601002E-15
1835842749465226368,6739.136,6721.051,6748.588,-0.352,-0.358,-0.3466,Gaia DR3 1835842749465226368,305.4413279922052,26.692676097505817,2.8862,-9.1164,1.7495,15.0349,2016,5.090966215276818E-14
1849786481032616960,5286.4,5283.531,5290.186,0.0628,0.0593,0.0667,Gaia DR3 1849786481032616960,324.53596511792904,30.488170498859596,10.8195,-80.2801,-127.0366,20.5305,2016,0
1909762228985058944,4690.008,4685.795,4694.7656,0.1049,0.099,0.1105,Gaia DR3 1909762228985058944,348.9930497635071,31.462747277403984,7.0717,25.0497,-25.3662,-12.0765,2016,4.8486282572511773E-14
1925321658551399040,6715.8354,6704.9644,6728.7925,-0.4524,-0.4615,-0.4367,Gaia DR3 1925321658551399040,354.77408786460535,42.46598700990808,3.6459,-20.2024,2.9964,-21.6673,2016,1.4210854715202004E-14
1962153854973972096,,,,,,,Gaia DR3 1962153854973972096,335.51292167392506,45.45734141046544,2.0534,8.966,-5.5617,-25.7784,2016,7.105427357601002E-15
