KOI	KIC	ID	νmax	err	Δν		err	Teff		err	[Fe/H]		err
268	3425851	-	2038 60	92.6  1.5	6343  85	−0.04  0.10
69	3544595	Kepler-93	3366  81	145.77  0.45	5669  75	−0.18  0.10
975	3632418	Kepler-21	1153  32	60.86  0.55	6305  50	−0.03  0.10
280	4141376	-	2928 97	128.8  1.3	6134  91	−0.24  0.10	
281	4143755	-	1458 57	77.2  1.3	5622 106	−0.4  0.11	
244	4349452	Kepler-25	2106  50	98.27  0.57	6270  79	−0.04  0.10
108	4914423	Kepler-103	1663  56	81.5  1.6	5845  88	0.07  0.11
123	5094751	Kepler-109	1745  117	91.1  2.3	5952  75	−0.08  0.10
85	5866724	Kepler-65	1880  60	89.56  0.48	6169  50	0.09  0.08
285	6196457	Kepler-92	1299  53	66.6  1.1	5871  94	0.17  0.11
3158	6278762	Kepler-444	4538  144	179.64  0.76	5046  74	−0.37  0.09
41	6521045	Kepler-100	1502  31	77.0  1.1	5825  75	0.02  0.10
75	7199397	-	644 8	38.9  0.8b	5824  50a	−0.22  0.08a
269	7670943	-	1895 73	88.6  1.3	6463  110	0.09  0.11
274	8077137	Kepler-128	1324  39	68.8  0.64	6105  100	−0.11  0.07
260	8292840	Kepler-126	1983  37	92.85  0.35	6205  100	−0.26  0.07
122	8349582	Kepler-95	1677  90	83.6  1.4	5699  74	0.3  0.10
245	8478994	Kepler-37	4660  50	178.7  1.4	5417  75	−0.32  0.07
370	8494142	Kepler-145	1133  81	61.8  0.76	6144  106	0.13  0.10
5	8554498	-	1153  76	61.98  0.96	5945  60	0.17  0.05
319	8684730	-	938  72	52.2  0.7b	5924  50a	0.17  0.08a
42	8866102	Kepler-410	2014  32	94.5  0.60	6325  75	0.01  0.10
974	9414417	-	1115  32	60.05  0.27	6253  75	−0.13  0.10	
288	9592705	-	1008 21	53.54  0.32	6174  92	0.22  0.10	
1925	9955598	Kepler-409	3546  119	153.18  0.14	5460  75	0.08  0.10
263	10514430 	False-positive	1303  30	70.0  1.0	5784  98	−0.11  0.11
275	10586004 	Kepler-129	1395  40	69.2  1.4	5770 83	0.29  0.10
2	10666592 	HAT-P7	1115  110	59.22  0.59	6350  80	0.26  0.08
1612	10963065 	Kepler-408	2193  48	103.2  0.63	6104  74	−0.2  0.10
276	11133306 		2381  95	107.9 ± 1.9	5982  82	−0.02  0.10
246	11295426 	Kepler-68	2154  13	101.57  0.10	5793  74	0.12  0.07
277	11401755 	Kepler-36	1250  44	67.9  1.2	5960  80	−0.24  0.06
262	11807274 	Kepler-50	1496  56	75.71  0.31	6225  75	−0.0 0.08
7	11853905 	Kepler-4	1436  42	74.4  1.1	5781  76	0.09  0.10
72	11904151 	Kepler-10	2730  280	118.2  0.20	5647 74	−0.15  0.10
