KOI,Host KOI,Kepler name,Host Gaia DR3 ID,PSR,PSR pe,PSR me
K02433.04,KOI-2433,,2135203000771400320,0.016094,0.000817,0.000935
K02433.03,KOI-2433,Kepler-385 d,2135203000771400320,0.019512,0.00092,0.000867
K02433.01,KOI-2433,Kepler-385 c,2135203000771400320,0.026244,0.000604,0.00595
K02433.02,KOI-2433,Kepler-385 b,2135203000771400320,0.02547,0.000565,0.005075
K00265.01,KOI-265,Kepler-507 b,2135314184585149696,0.0092,0.000239,0.000167
K02597.03,KOI-2597,,2135378231142791808,0.011931,0.00049,0.000588
K02597.02,KOI-2597,Kepler-394 c,2135378231142791808,0.014401,0.000578,0.000656
K02597.01,KOI-2597,Kepler-394 b,2135378231142791808,0.013653,0.000674,0.000511
K02290.01,KOI-2290,,2135427576021495168,0.023643,0.000884,0.000915
K00279.02,KOI-279,Kepler-450 c,2135590578620605568,0.014501,0.000136,0.000264
K02007.02,KOI-2007,Kepler-1050 c,2143749504651818368,0.012161,0.000453,0.00035
K02007.01,KOI-2007,Kepler-1050 b,2143749504651818368,0.013186,0.001964,0.000487
K00379.02,KOI-379,,,0.011319,0.002308,0.000756
