KOI,Host KOI,Kepler name,Host Gaia DR3 ID,PSR,PSR pe,PSR me
K00085.02,KOI-85,Kepler-65 b,2102119176929154304,0.009656,0.000594,0.000438
K00285.03,KOI-285,Kepler-92 d,2102224661326132864,0.01071,0.00033,0.000189
K00285.02,KOI-285,Kepler-92 c,2102224661326132864,0.012738,0.000238,0.000167
K00285.01,KOI-285,Kepler-92 b,2102224661326132864,0.019236,7.40E-05,0.00076
K02086.03,KOI-2086,Kepler-60 d,2102316985943863424,0.01115,0.000757,0.000566
K02086.01,KOI-2086,Kepler-60 b,2102316985943863424,0.012459,0.001739,0.001244
K00111.03,KOI-111,Kepler-104 A d,2102454253097554304,0.022948,0.001832,0.00041
K00111.02,KOI-111,Kepler-104 A c,2102454253097554304,0.020567,3.70E-05,0.00088
K00111.01,KOI-111,Kepler-104 A b,2102454253097554304,0.020712,0.000176,0.000127
K00864.02,KOI-864,Kepler-244 d,2102469921138142208,0.031691,0.000227,0.003959
K00864.03,KOI-864,Kepler-244 c,2102469921138142208,0.022847,0.000763,0.001142
K00864.01,KOI-864,Kepler-244 b,2102469921138142208,0.032741,0.00015,0.000978
K00070.05,KOI-70,Kepler-20 A f,2102548708017562112,0.009811,0.000402,0.000317
K00070.03,KOI-70,Kepler-20 A d,2102548708017562112,0.025923,0.000539,0.000257
K00070.01,KOI-70,Kepler-20 A c,2102548708017562112,0.029956,0.001821,0.000609
K00070.02,KOI-70,Kepler-20 A b,2102548708017562112,0.020874,0.001408,0.002266
K00456.02,KOI-456,Kepler-160 b,2102587087846067712,0.018836,0.001958,0.001759
K00679.01,KOI-679,Kepler-212 c,2102610280669509888,0.01652,0.000239,0.000213
K00679.02,KOI-679,Kepler-212 b,2102610280669509888,0.007021,0.000415,0.000246
K00872.02,KOI-872,Kepler-46 d,2102700131386216576,0.021329,0.003491,0.001057
K01952.04,KOI-1952,Kepler-341 e,2102815683186036096,0.022145,8.50E-05,0.004446
K01952.02,KOI-1952,Kepler-341 d,2102815683186036096,0.017867,0.004216,0.000954
K01952.01,KOI-1952,Kepler-341 c,2102815683186036096,0.015753,0.000538,0.00028
K01952.03,KOI-1952,Kepler-341 b,2102815683186036096,0.010437,0.000465,0.000403
K00884.03,KOI-884,Kepler-247 b,2102911581215700096,0.019064,0.00078,0.000358
K00446.02,KOI-446,Kepler-158 c,2103295173333142784,0.026045,0.004834,0.001074
