source_id,parallax,parallax_error,phot_g_mean_mag,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
1744911763437512064,5.488881766925007,0.023742877,8.253352,,,,Gaia DR3 1744911763437512064,317.5515255375414,10.738897370652337,5.4889,-5.6908,5.0663,9.2092,2016,1.7763568394002505E-15
1750321012752775040,1.6662909287584977,0.015179253,11.931145,4.027,4.0216,4.0323,Gaia DR3 1750321012752775040,313.6872919470238,9.179068007,1.6663,-6.2505,-5.1682,4.9086,2016,0
1779546757669063552,20.76938988528237,0.02657181,7.5212455,4.237,4.2337,4.2396,Gaia DR3 1779546757669063552,330.79502626424147,18.88423938290383,20.7694,29.7664,-17.976,-14.7758,2016,0
179498266829041664,5.185604406647594,0.01663114,11.716202,4.3559,4.3518,4.3607,Gaia DR3 179498266829041664,66.24814452059672,39.460600684443286,5.1856,14.2329,-9.4072,31.4106,2016,0
1808938730710633984,2.735836604587419,0.010759043,12.162349,4.2393,4.2347,4.2441,Gaia DR3 1808938730710633984,306.1239095151492,16.762145396892375,2.7358,13.3253,-5.5051,-16.6685,2016,0
181908842994567936,7.379170208091291,0.020074014,8.461335,4.1002,4.0931,4.1182,Gaia DR3 181908842994567936,78.29559292626563,33.317946334241604,7.3792,10.4773,-49.6204,39.8993,2016,7.105427357601002E-15
1835842749465226368,2.886155653716607,0.014929653,10.210516,3.9778,3.9574,3.9853,Gaia DR3 1835842749465226368,305.4413279922052,26.692676097505817,2.8862,-9.1164,1.7495,15.0349,2016,5.090966215276818E-14
1849786481032616960,10.819497738526024,0.01823804,10.278542,4.4742,4.4715,4.478,Gaia DR3 1849786481032616960,324.53596511792904,30.488170498859596,10.8195,-80.2801,-127.0366,20.5305,2016,0
1909762228985058944,7.071742099556669,0.01346635,12.163579,4.5584,4.5568,4.56,Gaia DR3 1909762228985058944,348.9930497635071,31.462747277403984,7.0717,25.0497,-25.3662,-12.0765,2016,4.8486282572511773E-14
1925321658551399040,3.6458922712977846,0.022111854,10.31066,4.1056,4.0984,4.1223,Gaia DR3 1925321658551399040,354.77408786460535,42.46598700990808,3.6459,-20.2024,2.9964,-21.6673,2016,1.4210854715202004E-14
1962153854973972096,2.0534180420700974,0.016772069,11.4148245,,,,Gaia DR3 1962153854973972096,335.51292167392506,45.45734141046544,2.0534,8.966,-5.5617,-25.7784,2016,7.105427357601002E-15
2009481748875806976,152.86400389732427,0.049440492,5.2318964,,,,Gaia DR3 2009481748875806976,348.33773395483047,57.16966644274312,152.864,2074.4135,294.452,-18.675,2016,3.081783844965638E-14
2033123654092592384,7.300113273881021,0.0239278,7.5898156,4.1247,4.1223,4.1272,Gaia DR3 2033123654092592384,294.6614131372555,31.219199136856187,7.3001,3.1508,-6.2647,-26.7778,2016,0
2048464796210957440,0.3611895101283019,0.04371345,16.419178,4.6175,4.6005,4.6342,Gaia DR3 2048464796210957440,293.9850279319104,36.296292682422944,0.3612,-2.4714,-8.7956,0,2016,0
2051027792165858304,1.6897678811101422,0.025852472,15.641934,4.663,4.6569,4.6683,Gaia DR3 2051027792165858304,290.6178561743625,37.28910073104493,1.6898,-14.1853,3.963,0,2016,0
2051104586182508928,1.5886529637496163,0.01208291,13.939153,4.4539,4.432,4.47,Gaia DR3 2051104586182508928,290.3286448558638,37.723118923669155,1.5887,-3.4334,0.6714,-35.8751,2016,0
2051105410816218368,2.2599489093197676,0.013430974,14.144119,4.5465,4.5365,4.5612,Gaia DR3 2051105410816218368,290.29641883337683,37.749424906111955,2.2599,-14.7967,-15.652,-26.0823,2016,7.105427357601002E-15
2051368434612892800,0.9052566240549458,0.023512289,15.220387,4.4538,4.4405,4.4693,Gaia DR3 2051368434612892800,289.8429067336248,38.309622226755025,0.9053,3.0872,1.3517,0,2016,0
2051738798233021824,1.0267528024706676,0.01264065,13.002063,,,,Gaia DR3 2051738798233021824,292.04462853128604,37.37618483079783,1.0268,2.8546,-9.0387,-18.1222,2016,0
2051866238502437632,2.4733158530207433,0.011001769,11.821788,4.2379,4.2337,4.2418,Gaia DR3 2051866238502437632,292.6274956397227,37.86016622602705,2.4733,7.214,6.95,-27.1011,2016,7.105427357601002E-15
2051933102555095936,2.915672155471049,0.013076383,13.988301,4.5847,4.5794,4.6019,Gaia DR3 2051933102555095936,292.6585280083309,38.34556080186814,2.9157,15.0967,36.3525,-26.7894,2016,7.105427357601002E-15
2051950454223150720,0.503509869,0.02195542,15.276224,4.3219,4.2909,4.3654,Gaia DR3 2051950454223150720,292.4797002723272,38.51490162207004,0.5035,-0.5815,-1.5586,0,2016,7.105427357601002E-15
2052136821446989568,0.8427473343352306,0.015126586,14.156439,4.1812,4.1616,4.1936,Gaia DR3 2052136821446989568,294.94983780833184,38.60518708426104,0.8427,-1.7455,2.8364,-22.8402,2016,0
2052139123549626240,0.5923377932693735,0.028295856,15.55836,4.3553,4.3351,4.3872,Gaia DR3 2052139123549626240,295.16720609289814,38.637038263047685,0.5923,-2.3441,-5.1866,0,2016,0
2052168466766597120,0.9192961425206223,0.009765242,13.216793,3.9141,3.9024,3.9239,Gaia DR3 2052168466766597120,294.14965216606987,38.45820522181965,0.9193,-3.9313,-12.901,-17.8943,2016,7.105427357601002E-15
2052185062520374272,1.3801494692961078,0.011824514,13.791093,4.3562,4.35,4.3623,Gaia DR3 2052185062520374272,294.11076292893904,38.71022197782799,1.3801,-0.701,-1.3543,13.5641,2016,0
2052304325169514880,0.898050709,0.022271022,15.352608,4.5015,4.479,4.5236,Gaia DR3 2052304325169514880,293.5681984074227,39.036312444161155,0.8981,7.9459,1.0747,0,2016,0
2052392835854583936,2.0102405501005873,0.020075647,14.932739,4.5768,4.5689,4.5832,Gaia DR3 2052392835854583936,293.7439215036292,38.93922024895193,2.0102,-4.6961,-10.6591,-36.3349,2016,4.4213556486761307E-14
2052528625536778624,3.1463686490329588,0.011522094,13.518236,4.5499,4.5455,4.5531,Gaia DR3 2052528625536778624,291.3647326109745,37.609241060544655,3.1464,-4.1757,14.7646,-24.4007,2016,7.105427357601002E-15
2052688467040906624,0.547383737,0.024154382,15.489545,4.4793,4.4519,4.5009,Gaia DR3 2052688467040906624,291.6535383542165,38.49466000176565,0.5474,2.7187,2.2543,0,2016,4.4489421052311296E-14
2052747119115620352,10.41481216257857,0.01039673,9.86859,4.4007,4.3993,4.4107,Gaia DR3 2052747119115620352,291.41812236713093,38.672311565036644,10.4148,-28.6715,-5.722,27.2379,2016,0
2052823535171095296,0.831152352,0.018597968,14.912541,4.454,4.4215,4.477,Gaia DR3 2052823535171095296,290.4132616970433,38.34372806856851,0.8312,-2.1531,-1.8216,0,2016,4.458247118621589E-14
2052826318309391104,2.349521449843777,0.015493931,14.438938,4.6263,4.6061,4.6307,Gaia DR3 2052826318309391104,290.5485094,38.49524035400191,2.3495,-3.7256,-8.2007,-10.0447,2016,7.105427357601002E-15
2052975370856687744,1.4640833935848943,0.01365261,14.00832,4.3744,4.3297,4.3853,Gaia DR3 2052975370856687744,291.5569550589651,39.22729213462925,1.4641,-2.0365,-0.827,-9.0239,2016,0
2053070616052194304,0.9446427256567155,0.013653684,14.210621,4.1501,4.1376,4.1619,Gaia DR3 2053070616052194304,291.11186422759204,39.94902379795604,0.9446,-2.8094,-7.0857,19.5487,2016,0
2053546910744629504,1.4547441297044268,0.018369468,14.708314,4.5168,4.5055,4.5338,Gaia DR3 2053546910744629504,293.1234499269855,40.93480138893501,1.4547,3.6126,6.2154,-37.913,2016,4.2942681430071E-14
2053552270863859712,0.6591833843831983,0.01524523,14.314449,4.1882,4.1759,4.2014,Gaia DR3 2053552270863859712,293.08461132049683,41.13540392256028,0.6592,-1.0709,-6.6624,2.3653,2016,0
2053562475706063744,2.598403908293244,0.03307959,15.964754,4.6515,4.6471,4.6576,Gaia DR3 2053562475706063744,292.87293008863423,41.064169714397394,2.5984,4.6455,-21.5893,0,2016,4.28584791495916E-14
2053586321364864640,0.9298090958685934,0.028136946,15.803403,4.5081,4.492,4.5239,Gaia DR3 2053586321364864640,292.2367612281806,41.08587091292437,0.9298,2.1706,-0.3244,0,2016,0
2054523105274216704,2.053386258,0.01282386,10.543578,4.2119,4.1709,4.2287,Gaia DR3 2054523105274216704,304.8000325,32.58104453964715,2.0534,2.3691,-0.4169,-13.7765,2016,4.789800387000391E-14
2056007995732413312,12.407414305957294,0.014200931,8.428037,4.1923,4.1907,4.194,Gaia DR3 2056007995732413312,306.7411279,33.74438610057065,12.4074,-36.8447,-14.7765,-23.4129,2016,7.105427357601002E-15
