KOI,rs_f18,e_rs_f18,E_rs_f18,ms_f18,e_ms_f18,E_ms_f18,teff_f18,e_teff_f18,E_teff_f18,FeH_f18,FeH_err_f18,Ksmag_f18,rs_v18,e_rs_v18,E_rs_v18,ms_v18,e_ms_v18,E_ms_v18,teff_v18,e_teff_v18,E_teff_v18,FeH_v18,FeH_err_v18,Ksmag_v18,age,e_age,E_age,RCF,rhos,rhos_err,u0,u0_err,u1,u1_err 
K00954.01,0.897,0.031,0.033,0.867,0.029,0.035,5511,60,60,-0.09,0.04,13.555,0,0,0,0,0,0,0,0,0,0,0,0,7.943,2.561,4.39,1,1.2394408,0.1174464,0.6530664,0.1473828,0.3313587,0.1719074
K00974.01,1.917,0.039,0.04,1.337,0.094,0.028,6318,60,60,-0.05,0.04,8.407,1.85,0.04,0.04,1.21,0.08,0.08,6253,75,75,-0.13,0.1,9.582,2.884,0.797,0.332,1,0.1922335,0.0096281,0.3695139,0.1176156,0.2297798,0.1266375
K00975.01,1.94,0.041,0.042,1.245,0.032,0.102,6202,60,60,-0.04,0.04,6.945,1.85,0.03,0.03,1.27,0.08,0.08,6305,50,50,-0.03,0.1,8.224,3.981,0.367,1.283,1.0019,0.1707921,0.0095877,0.4632145,0.0519147,0.0673473,0.0517187
K00987.01,0.918,0.021,0.022,0.953,0.032,0.033,5509,60,60,0.12,0.04,10.777,0,0,0,0,0,0,0,0,0,0,0,0,3.631,1.839,3.678,1.0024,1.2734844,0.0691902,0.4753993,0.1532302,0.2179001,0.1392442
K00988.01,0.749,0.019,0.02,0.834,0.01,0.01,5121,60,60,0.11,0.04,11.585,0,0,0,0,0,0,0,0,0,0,0,0,0.871,0.923,1.023,1,1.9106252,0.0456101,0.5106479,0.0979613,0.1720719,0.1097645
K00991.01,0.862,0.022,0.022,0.845,0.029,0.036,5495,60,60,-0.14,0.04,11.931,0,0,0,0,0,0,0,0,0,0,0,0,7.762,2.502,3.932,1,1.3296411,0.0869463,0.3793432,0.1503995,0.2076741,0.1354825
K01001.01,1.957,0.054,0.056,1.426,0.029,0.023,6284,60,60,0.13,0.04,11.591,0,0,0,0,0,0,0,0,0,0,0,0,2.455,0.226,0.17,1,0.1943261,0.0104206,0.4552364,0.1215226,0.3193984,0.1609903
K01050.01,0.821,0.022,0.023,0.829,0.025,0.029,5067,60,60,0.08,0.04,11.879,0,0,0,0,0,0,0,0,0,0,0,0,8.511,2.744,4.9,1.0374,1.5230732,0.0771561,0.6081832,0.1108581,0.1583024,0.1106671
K01060.01,1.518,0.055,0.058,1.13,0.039,0.044,6360,60,60,-0.21,0.04,13.11,0,0,0,0,0,0,0,0,0,0,0,0,4.365,0.704,0.804,1,0.3401032,0.0278644,0.3163245,0.1508498,0.2517246,0.1562323
K01102.03,1.084,0.04,0.041,1.046,0.034,0.035,6022,60,60,-0.04,0.04,13.372,0,0,0,0,0,0,0,0,0,0,0,0,3.02,1.252,2.017,1.005,0.8869121,0.0826481,0.4553942,0.1766832,0.3040459,0.1663546
K01127.02,1.633,0.123,0.14,1.171,0.057,0.067,5619,60,60,0.4,0.04,13.961,0,0,0,0,0,0,0,0,0,0,0,0,6.457,1.338,1.487,1,0.3400984,0.0589225,0.5259375,0.1978392,0.2475763,0.1543492
K01198.01,1.4,0.092,0.102,1.189,0.037,0.036,6179,60,60,0.08,0.04,13.957,0,0,0,0,0,0,0,0,0,0,0,0,3.388,0.546,0.78,1.0103,0.5221957,0.0759377,0.4534518,0.1699939,0.3169637,0.1691976
K01199.01,0.708,0.022,0.023,0.769,0.021,0.012,4772,60,60,0.11,0.04,12.706,0,0,0,0,0,0,0,0,0,0,0,0,3.236,2.682,4.322,1.002,2.0712566,0.0850001,0.6447135,0.1640325,0.1829338,0.1303335
K01203.01,0.889,0.043,0.045,0.845,0.029,0.034,5693,60,60,-0.29,0.04,13.838,0,0,0,0,0,0,0,0,0,0,0,0,7.413,2.731,4.609,1,1.3005245,0.1489115,0.5091739,0.1657386,0.2986047,0.169983
K01215.02,1.731,0.046,0.048,1.263,0.076,0.031,6065,60,60,0.09,0.04,11.966,0,0,0,0,0,0,0,0,0,0,0,0,3.89,1.075,0.448,1,0.2505657,0.0098167,0.5120849,0.1833135,0.3644106,0.1724743
