KOI,rs_f18,e_rs_f18,E_rs_f18,ms_f18,e_ms_f18,E_ms_f18,teff_f18,e_teff_f18,E_teff_f18,FeH_f18,FeH_err_f18,Ksmag_f18,rs_v18,e_rs_v18,E_rs_v18,ms_v18,e_ms_v18,E_ms_v18,teff_v18,e_teff_v18,E_teff_v18,FeH_v18,FeH_err_v18,Ksmag_v18,age,e_age,E_age,RCF,rhos,rhos_err,u0,u0_err,u1,u1_err 
K00041.01,1.526,0.033,0.034,1.097,0.03,0.072,5854,60,60,0.1,0.04,9.768,1.51,0.01,0.01,1.11,0.02,0.02,5902.77,66.37,53.27,0.1,0.09,11.197,6.918,0.796,1.912,1.0083,0.312793,0.0149111,0.4638083,0.0837977,0.1709975,0.1063173
K00046.02,1.655,0.045,0.047,1.244,0.094,0.033,5661,60,60,0.39,0.04,12.011,0,0,0,0,0,0,0,0,0,0,0,0,5.248,1.692,0.725,1,0.2789766,0.0254194,0.5176641,0.1788152,0.2699539,0.1579211
K00049.01,1.289,0.031,0.032,0.948,0.025,0.027,5779,60,60,-0.06,0.04,11.917,0,0,0,0,0,0,0,0,0,0,0,0,10.471,1.206,1.206,1,0.4411151,0.0205916,0.3437061,0.1193838,0.2490598,0.1328949
K00069.01,0.941,0.022,0.022,0.874,0.026,0.034,5594,60,60,-0.09,0.04,8.37,0.91,0.02,0.02,0.89,0.07,0.07,5669,75,75,-0.18,0.1,9.931,9.12,2.1,2.94,1,1.0444974,0.0550651,0.444918,0.0439955,0.159423,0.0633724
K00070.01,0.88,0.02,0.021,0.942,0.026,0.02,5508,60,60,0.11,0.04,10.871,0,0,0,0,0,0,0,0,0,0,0,0,3.09,1.565,1.992,1.0054,1.3905407,0.0522615,0.4510074,0.0449635,0.2446901,0.0665025
K00072.02,1.083,0.025,0.026,0.871,0.011,0.018,5599,60,60,-0.11,0.04,9.496,1.07,0.01,0.01,0.92,0.02,0.01,5678.29,49.46,55.21,-0.1,0.06,10.961,12.882,0.89,1.483,1.0005,0.6899136,0.0192652,0.3791984,0.1013401,0.2436402,0.1290627
K00082.01,0.724,0.018,0.018,0.803,0.021,0.009,4909,60,60,0.11,0.04,9.351,0,0,0,0,0,0,0,0,0,0,0,0,1.072,1.579,0.888,1,2.0394188,0.054638,0.619607,0.0564855,0.0920255,0.0668249
K00085.01,1.443,0.032,0.033,1.249,0.03,0.01,6220,60,60,0.13,0.04,9.806,1.4,0.01,0.01,1.2,0.03,0.03,6193.44,52.09,42.69,0.15,0.08,11.018,2.951,0.408,0.34,1.0001,0.4282639,0.0190558,0.3302998,0.0569683,0.2536132,0.0726667
K00092.01,1.064,0.024,0.024,1.08,0.046,0.029,5923,60,60,0.09,0.04,10.3,1.05,0.03,0.03,1.08,0.11,0.11,5952,119,119,0.02,0.15,11.667,2.344,1.403,1.349,1,0.8937905,0.0487675,0.4128326,0.1245204,0.2565623,0.1317457
K00094.02,1.368,0.032,0.033,1.177,0.024,0.032,6181,60,60,0.07,0.04,10.926,0,0,0,0,0,0,0,0,0,0,0,0,3.467,0.559,0.639,1,0.4622847,0.0209949,0.3260709,0.1093416,0.3740115,0.1559331
K00102.01,1.105,0.032,0.033,1.084,0.037,0.033,5759,60,60,0.24,0.04,11.055,0,0,0,0,0,0,0,0,0,0,0,0,3.467,1.437,2.235,1.1844,0.8861754,0.0480469,0.467054,0.0392265,0.1484551,0.0592468
K00104.01,0.745,0.019,0.02,0.815,0.022,0.012,4728,60,60,0.32,0.04,10.594,0,0,0,0,0,0,0,0,0,0,0,0,3.02,2.434,4.311,1,2.083552,0.0551754,0.6216751,0.0509999,0.0747586,0.0581352
K00105.01,1.069,0.026,0.027,0.822,0.006,0.008,5567,60,60,-0.35,0.04,11.209,0,0,0,0,0,0,0,0,0,0,0,0,13.49,0.311,0.621,1.0004,0.7522829,0.0199231,0.3523625,0.0954135,0.2585351,0.1242763
K00107.01,1.598,0.04,0.042,1.262,0.047,0.021,5920,60,60,0.26,0.04,11.338,1.6,0.04,0.04,1.2,0.08,0.08,5862,97,97,0.27,0.11,12.702,4.074,0.938,0.469,1.0073,0.3118884,0.0206729,0.41489,0.0919395,0.2211489,0.1312823
K00108.01,1.487,0.036,0.037,1.134,0.047,0.043,5886,60,60,0.13,0.04,10.873,1.45,0.01,0.01,1.1,0.03,0.02,5889.04,70.97,75.58,0.1,0.09,12.287,5.888,1.085,1.085,1.001,0.3529637,0.0195066,0.3557835,0.1198369,0.2519405,0.1276019
K00110.01,1.23,0.029,0.03,1.048,0.028,0.03,6207,60,60,-0.16,0.04,11.456,0,0,0,0,0,0,0,0,0,0,0,0,4.898,0.789,1.015,1,0.5631649,0.0309569,0.3302787,0.1084317,0.3712929,0.1429725
K00111.01,1.051,0.025,0.026,0.818,0.008,0.013,5760,60,60,-0.42,0.04,11.209,0,0,0,0,0,0,0,0,0,0,0,0,13.183,0.607,0.911,1.0013,0.7315785,0.0247189,0.4360363,0.070724,0.2025551,0.0973849
K00112.01,0.936,0.071,0.082,0.979,0.033,0.027,5805,60,60,-0.03,0.04,11.367,0,0,0,0,0,0,0,0,0,0,0,0,3.162,2.112,3.495,1.0971,1.092702,0.1877359,0.2895835,0.1081645,0.2891621,0.1483732
K00115.01,1.026,0.024,0.025,0.991,0.033,0.032,5933,60,60,-0.09,0.04,11.503,0,0,0,0,0,0,0,0,0,0,0,0,4.266,1.375,1.964,1.0002,0.9253074,0.061108,0.2809889,0.1211615,0.3479065,0.1461083
K00116.01,1.046,0.027,0.027,0.959,0.033,0.034,5860,60,60,-0.09,0.04,11.431,0,0,0,0,0,0,0,0,0,0,0,0,6.026,1.665,2.081,1.0001,0.8991473,0.0579004,0.4537572,0.1226016,0.254561,0.1453848
K00117.01,1.439,0.034,0.035,1.215,0.025,0.024,5866,60,60,0.32,0.04,11.06,1.41,0.05,0.05,1.14,0.07,0.07,5851,75,75,0.27,0.1,12.487,4.266,0.688,0.589,1,0.4042188,0.0151193,0.4030889,0.0908995,0.3093613,0.1245977
K00118.01,1.407,0.035,0.035,1.02,0.026,0.029,5764,60,60,0.07,0.04,10.897,1.36,0.04,0.04,1.01,0.07,0.07,5747,85,85,0.03,0.1,12.377,8.913,1.026,1.026,1.0059,0.3808658,0.0197568,0.3946706,0.1210353,0.2164197,0.1307516
K00122.01,1.407,0.036,0.037,1.075,0.029,0.049,5654,60,60,0.27,0.04,10.801,1.45,0.04,0.04,1.12,0.08,0.08,5699,74,74,0.3,0.1,12.346,8.318,1.149,1.915,1,0.3938632,0.0242802,0.381023,0.0730654,0.2178576,0.1040494
K00123.01,1.342,0.032,0.033,1.025,0.028,0.031,5917,60,60,-0.02,0.04,11.001,1.34,0.02,0.02,1.07,0.04,0.04,5969.16,63.76,63.9,-0.06,0.08,12.365,7.586,1.048,1.048,1,0.4401372,0.0192038,0.3433971,0.0889676,0.2536669,0.1084972
K00124.01,1.234,0.031,0.032,0.989,0.028,0.029,5956,60,60,-0.1,0.04,11.623,0,0,0,0,0,0,0,0,0,0,0,0,7.586,1.048,1.223,1,0.5327333,0.0287037,0.3207478,0.1249438,0.2279374,0.1246695
K00137.03,0.904,0.022,0.023,0.983,0.024,0.026,5441,60,60,0.28,0.04,11.756,0,0,0,0,0,0,0,0,0,0,0,0,2.042,1.316,3.432,1,1.3324062,0.0491089,0.5108146,0.1186895,0.2461091,0.1407624
K00139.02,1.105,0.027,0.028,1.125,0.032,0.034,5905,60,60,0.22,0.04,12.11,0,0,0,0,0,0,0,0,0,0,0,0,2.291,0.844,2.163,1,0.8237441,0.0431045,0.4531411,0.1263955,0.3247679,0.1598148
K00144.01,0.775,0.02,0.02,0.857,0.021,0.015,4932,60,60,0.28,0.04,11.461,0,0,0,0,0,0,0,0,0,0,0,0,2.138,1.92,2.806,1.0003,1.7940215,0.0568809,0.6099578,0.0478139,0.1139568,0.0748538
K00148.01,0.836,0.021,0.022,0.916,0.02,0.013,5235,60,60,0.26,0.04,11.221,0,0,0,0,0,0,0,0,0,0,0,0,2.692,1.549,1.487,1.0037,1.5433379,0.0434795,0.4171657,0.0681394,0.4820704,0.1119686
K00150.01,0.906,0.022,0.023,0.782,0.009,0.013,5501,60,60,-0.4,0.04,12.155,0,0,0,0,0,0,0,0,0,0,0,0,12.882,0.593,1.483,1.0015,1.1656781,0.0302013,0.3716727,0.0796958,0.2328551,0.1129229
K00153.01,0.745,0.02,0.021,0.792,0.029,0.018,4791,60,60,0.13,0.04,11.255,0,0,0,0,0,0,0,0,0,0,0,0,4.677,3.339,4.954,1,1.9350503,0.0843239,0.5446159,0.075623,0.1747944,0.1034216
K00157.02,1.086,0.026,0.027,0.986,0.033,0.034,5763,60,60,0.05,0.04,12.18,0,0,0,0,0,0,0,0,0,0,0,0,6.457,1.635,2.081,1.0034,0.8334166,0.0512365,0.3424261,0.0890869,0.5909977,0.1384827
K00159.01,1.13,0.027,0.028,1.042,0.034,0.03,6000,60,60,-0.02,0.04,11.97,0,0,0,0,0,0,0,0,0,0,0,0,4.169,1.152,1.536,1,0.7671614,0.0401462,0.4018111,0.1157287,0.2995449,0.155436
K00161.01,0.781,0.02,0.021,0.877,0.02,0.007,4995,60,60,0.34,0.04,11.241,0,0,0,0,0,0,0,0,0,0,0,0,0.933,1.246,0.43,1.0023,1.7982487,0.0357491,0.5280224,0.0747906,0.1350071,0.0906226
K00167.01,1.412,0.035,0.036,1.204,0.021,0.029,6231,60,60,0.06,0.04,12.065,0,0,0,0,0,0,0,0,0,0,0,0,3.236,0.373,0.596,1,0.4315999,0.0208056,0.4058475,0.0914917,0.1728663,0.113877
K00168.02,1.491,0.038,0.039,0.99,0.023,0.024,5823,60,60,-0.09,0.04,11.998,1.55,0.05,0.05,1.08,0.08,0.08,5828,100,100,-0.05,0.1,13.438,9.12,0.84,0.84,1,0.3003028,0.014987,0.2728231,0.1272992,0.1775348,0.1208614
K00171.01,1.38,0.036,0.038,1.198,0.029,0.019,6220,60,60,0.07,0.04,12.383,0,0,0,0,0,0,0,0,0,0,0,0,3.162,0.583,0.437,1,0.4742,0.025356,0.4026782,0.1080775,0.1904347,0.1164898
K00172.01,1.205,0.031,0.032,0.866,0.01,0.012,5630,60,60,-0.22,0.04,12.234,0,0,0,0,0,0,0,0,0,0,0,0,13.183,0.304,0.607,1,0.5310467,0.0208355,0.5453603,0.1166276,0.2990617,0.1661331
K00173.01,1.234,0.034,0.035,0.936,0.024,0.027,5676,60,60,0.01,0.04,12.383,0,0,0,0,0,0,0,0,0,0,0,0,11.22,1.292,1.55,1,0.512129,0.0283796,0.4474889,0.1070676,0.1904163,0.1266063
K00174.01,0.791,0.021,0.022,0.719,0,0.003,4734,60,60,-0.27,0.04,11.536,0,0,0,0,0,0,0,0,0,0,0,0,13.804,0,0.636,1.0087,1.8002737,0.0053672,0.5119181,0.1278015,0.146341,0.1054253
K00176.01,1.327,0.032,0.033,1.076,0.03,0.028,6319,60,60,-0.21,0.04,12.222,0,0,0,0,0,0,0,0,0,0,0,0,4.677,0.646,0.754,1,0.4613592,0.0205055,0.3409538,0.1186779,0.2517987,0.1426613
K00180.01,0.885,0.021,0.021,0.974,0.034,0.017,5652,60,60,0.06,0.04,11.482,0,0,0,0,0,0,0,0,0,0,0,0,0.741,1.041,0.751,1,1.390621,0.0482096,0.4550782,0.0941388,0.2336739,0.1308806
K00191.02,0.908,0.033,0.034,0.932,0.033,0.029,5456,60,60,0.11,0.04,13.25,0,0,0,0,0,0,0,0,0,0,0,0,4.677,2.369,3.662,1.034,1.2935124,0.0995238,0.5378215,0.116943,0.2770921,0.1481921
K00232.02,1.239,0.037,0.038,0.982,0.029,0.028,5917,60,60,-0.08,0.04,12.826,0,0,0,0,0,0,0,0,0,0,0,0,7.943,1.097,1.28,1,0.5464958,0.0344451,0.4562988,0.1100878,0.5203294,0.1605789
K00238.01,1.318,0.04,0.041,1.079,0.03,0.029,6154,60,60,-0.08,0.04,12.655,0,0,0,0,0,0,0,0,0,0,0,0,5.012,0.808,0.923,1.0069,0.4941312,0.0346402,0.4879271,0.145543,0.3336241,0.1607308
K00245.01,0.786,0.018,0.018,0.787,0.029,0.037,5348,60,60,-0.25,0.04,7.942,0.77,0.01,0.01,0.81,0.01,0.02,5429.68,46.73,62.91,-0.29,0.06,9.705,8.318,2.873,5.746,1,1.6778072,0.0914445,0.4577718,0.0699403,0.1800539,0.085634
K00246.01,1.252,0.029,0.03,1.042,0.03,0.033,5789,60,60,0.14,0.04,8.588,1.24,0.01,0.01,1.07,0.02,0.01,5834.7,43.16,25.74,0.17,0.05,9.997,7.413,1.195,1.366,1,0.5433485,0.0246836,0.4140782,0.0624581,0.2017149,0.0789052
K00257.01,1.193,0.026,0.026,1.156,0.018,0.04,6163,60,60,0.1,0.04,9.617,1.2,0.03,0.03,1.23,0.1,0.1,6184,81,81,0.12,0.1,10.868,2.138,0.64,1.378,1.0001,0.6927908,0.0290651,0.3524109,0.1079964,0.1880013,0.1045497
K00260.01,1.395,0.029,0.029,1.108,0.042,0.023,6270,60,60,-0.16,0.04,9.344,1.34,0.02,0.02,1.15,0.05,0.05,6286.3,76.51,64.06,-0.15,0.08,10.5,4.571,0.842,0.526,1,0.4009458,0.0141804,0.3448503,0.1140884,0.29412,0.1367193
K00261.01,0.943,0.021,0.022,1.013,0.029,0.014,5751,60,60,0.1,0.04,8.868,0.94,0.03,0.03,1.03,0.1,0.1,5690,77,77,0.04,0.07,10.297,1.778,1.146,0.86,1,1.1877993,0.036134,0.4179775,0.0946484,0.1304369,0.0933253
K00265.01,1.279,0.029,0.03,1.144,0.031,0.024,6030,60,60,0.14,0.04,10.665,0,0,0,0,0,0,0,0,0,0,0,0,3.89,0.806,0.896,1,0.560302,0.0245404,0.53442,0.1447372,0.3513875,0.1688797
K00269.01,1.432,0.03,0.03,1.173,0.03,0.027,6302,60,60,-0.07,0.04,9.754,1.45,0.02,0.02,1.33,0.08,0.08,6463,110,110,0.09,0.11,10.927,3.715,0.513,0.513,1.0002,0.398938,0.0146022,0.3149668,0.1168251,0.3548424,0.1495083
K00271.01,1.383,0.031,0.032,1.248,0.022,0.014,6125,60,60,0.24,0.04,10.234,1.36,0.03,0.03,1.24,0.09,0.09,6106,106,106,0.33,0.1,11.485,2.692,0.496,0.372,1,0.4815823,0.0148348,0.3232856,0.1181373,0.2566029,0.1282331
K00273.01,1.071,0.025,0.025,1.06,0.033,0.017,5678,60,60,0.28,0.04,9.968,1.1,0.03,0.03,1.15,0.11,0.11,5739,75,75,0.35,0.1,11.457,4.365,1.407,1.407,1,0.8610852,0.0392404,0.4604617,0.1320265,0.2138583,0.1185256
K00275.01,1.636,0.04,0.041,1.235,0.083,0.026,5808,60,60,0.26,0.04,10.252,1.65,0.01,0.01,1.16,0.03,0.03,5822.05,66.75,65.06,0.35,0.08,11.696,5.012,1.385,0.692,1,0.2824882,0.0148895,0.4301253,0.1284626,0.2399544,0.1423632
K00276.01,1.19,0.03,0.031,1.018,0.028,0.031,5952,60,60,-0.02,0.04,10.483,1.19,0.02,0.02,1.05,0.07,0.07,5982,82,82,-0.02,0.1,11.854,6.31,1.162,1.308,1,0.6149489,0.0326078,0.3562607,0.1104673,0.2215658,0.1243127
K00279.02,1.611,0.037,0.038,1.334,0.022,0.023,6298,60,60,0.17,0.04,10.429,1.57,0.08,0.08,1.35,0.08,0.08,6215,89,89,0.28,0.1,11.684,2.57,0.237,0.296,1.0242,0.3320077,0.0149472,0.385422,0.110388,0.3004659,0.1378305
K00280.01,1.052,0.023,0.023,0.922,0.029,0.029,6002,60,60,-0.27,0.04,9.785,1.04,0.02,0.02,1.03,0.09,0.09,6134,91,91,-0.24,0.1,11.072,7.244,1.334,1.668,1,0.7935802,0.038937,0.312079,0.1203819,0.2921257,0.1170187
K00281.01,1.455,0.036,0.037,0.861,0.01,0.015,5700,60,60,-0.36,0.04,10.446,1.38,0.04,0.04,0.81,0.11,0.11,5622,106,106,-0.4,0.11,11.947,13.183,0.607,0.607,1,0.2900848,0.0098554,0.4051068,0.0984956,0.2361146,0.1322023
K00282.02,1.138,0.026,0.027,0.927,0.028,0.028,5887,60,60,-0.16,0.04,10.49,1.13,0.03,0.03,0.93,0.06,0.06,5884,75,75,-0.22,0.1,11.529,9.12,1.47,1.47,1,0.6309433,0.029289,0.3920653,0.1607676,0.2907456,0.1584456
K00283.01,0.999,0.023,0.023,1.076,0.033,0.019,5787,60,60,0.19,0.04,10.079,0,0,0,0,0,0,0,0,0,0,0,0,1.023,0.99,1.225,1,1.0804406,0.0465131,0.4271378,0.1245701,0.2186472,0.1262076
K00284.01,1.038,0.083,0.097,0.929,0.033,0.035,5910,60,60,-0.2,0.04,10.424,0,0,0,0,0,0,0,0,0,0,0,0,6.457,2.23,4.46,1.2885,1.0938702,0.201495,0.4554411,0.1228946,0.4380252,0.1555528
K00285.01,1.763,0.042,0.044,1.29,0.089,0.03,5946,60,60,0.19,0.04,10.403,1.72,0.01,0.01,1.21,0.03,0.02,5951.55,69.2,76.23,0.3,0.07,11.565,3.981,1.192,0.458,1.0019,0.2468566,0.015094,0.341985,0.1104027,0.2807502,0.1322963
K00291.01,1.615,0.058,0.06,1.177,0.057,0.061,5712,60,60,0.29,0.04,11.32,0,0,0,0,0,0,0,0,0,0,0,0,6.026,1.249,1.249,1.1649,0.2933199,0.0300308,0.582382,0.157244,0.3146313,0.162502
K00292.01,0.98,0.025,0.025,0.901,0.031,0.035,5773,60,60,-0.15,0.04,11.345,0,0,0,0,0,0,0,0,0,0,0,0,7.762,1.966,2.502,1.0291,0.9691471,0.0514755,0.4086373,0.0981348,0.2268374,0.1301818
K00294.01,1.134,0.027,0.028,1.1,0.038,0.029,6051,60,60,0.04,0.04,11.315,0,0,0,0,0,0,0,0,0,0,0,0,2.63,1.03,1.332,1.0054,0.7746556,0.0388752,0.3336554,0.1710379,0.2734165,0.165017
K00295.01,0.969,0.022,0.023,0.956,0.033,0.032,5918,60,60,-0.17,0.04,10.951,0,0,0,0,0,0,0,0,0,0,0,0,4.169,1.536,2.112,1,1.0511779,0.0584943,0.315134,0.1268142,0.2485241,0.1419405
K00296.01,1.079,0.027,0.028,0.9,0.025,0.028,5748,60,60,-0.11,0.04,11.469,0,0,0,0,0,0,0,0,0,0,0,0,10.471,1.447,1.929,1,0.7194677,0.0391376,0.3266013,0.1332825,0.2227454,0.1353109
K00297.01,1.323,0.031,0.032,1.176,0.023,0.036,6155,60,60,0.11,0.04,10.875,0,0,0,0,0,0,0,0,0,0,0,0,3.388,0.546,0.936,1,0.5013048,0.0241544,0.2754986,0.1319821,0.2566861,0.1435483
K00299.01,0.91,0.022,0.022,1.001,0.03,0.013,5567,60,60,0.2,0.04,11.253,0,0,0,0,0,0,0,0,0,0,0,0,0.955,1.143,0.902,1.0001,1.3342721,0.0435518,0.3613744,0.0933543,0.326725,0.1265156
K00304.01,0.922,0.022,0.022,0.94,0.038,0.032,5802,60,60,-0.14,0.04,11.109,0,0,0,0,0,0,0,0,0,0,0,0,3.715,1.797,3.165,1,1.2289626,0.072899,0.2861317,0.1203945,0.2026685,0.1132436
K00305.01,0.737,0.019,0.02,0.82,0.017,0.006,4852,60,60,0.23,0.04,10.757,0,0,0,0,0,0,0,0,0,0,0,0,1.95,1.347,1.616,1,1.9500701,0.0481041,0.6046184,0.0770547,0.1437271,0.1047173
K00306.01,0.823,0.02,0.021,0.912,0.015,0.014,5347,60,60,0.18,0.04,10.761,0,0,0,0,0,0,0,0,0,0,0,0,1.905,1.185,1.843,1.0181,1.5823219,0.0405001,0.5082195,0.1087976,0.2540181,0.1349812
K00307.01,1.673,0.147,0.176,1.078,0.039,0.048,6009,60,60,-0.09,0.04,11.488,0,0,0,0,0,0,0,0,0,0,0,0,6.457,0.743,0.892,1.3382,0.3159156,0.0563746,0.3414618,0.1444927,0.2282536,0.1268763
K00313.01,0.851,0.02,0.021,0.85,0.026,0.032,5237,60,60,0.05,0.04,11.165,0,0,0,0,0,0,0,0,0,0,0,0,8.128,2.62,3.93,1,1.4057904,0.0776127,0.5174281,0.0901439,0.1286591,0.0971768
K00316.01,1.045,0.025,0.026,1.078,0.034,0.028,5630,60,60,0.35,0.04,11.167,0,0,0,0,0,0,0,0,0,0,0,0,2.818,1.493,2.142,1,0.9744859,0.0477005,0.4285946,0.0802187,0.1509494,0.096389
K00317.01,1.632,0.043,0.045,1.355,0.019,0.03,6563,60,60,0.06,0.04,11.67,0,0,0,0,0,0,0,0,0,0,0,0,1.95,0.224,0.269,1.0064,0.3308144,0.0200658,0.273186,0.0967371,0.2474599,0.1265813
K00321.01,1.066,0.026,0.026,1.055,0.032,0.028,5656,60,60,0.28,0.04,10.97,0,0,0,0,0,0,0,0,0,0,0,0,4.266,1.473,1.964,1,0.8863747,0.0502246,0.5045764,0.0814578,0.1602646,0.11055
K00323.01,0.803,0.019,0.019,0.914,0.015,0.004,5529,60,60,0.1,0.04,10.827,0,0,0,0,0,0,0,0,0,0,0,0,0.676,0.701,0.171,1,1.6398074,0.0293506,0.4057724,0.1202828,0.2103553,0.1306298
K00343.01,1.101,0.026,0.027,0.978,0.031,0.035,5759,60,60,0.05,0.04,11.762,0,0,0,0,0,0,0,0,0,0,0,0,7.586,1.572,1.921,1,0.749175,0.0379564,0.4361102,0.0981334,0.2793034,0.1314209
K00351.03,1.185,0.03,0.031,1.108,0.033,0.035,6015,60,60,0.1,0.04,12.482,0,0,0,0,0,0,0,0,0,0,0,0,3.548,0.98,1.307,1,0.6805503,0.0343153,0.4910686,0.1306717,0.3336266,0.1719178
K00365.01,0.862,0.02,0.02,0.881,0.035,0.029,5498,60,60,-0.08,0.04,9.645,0,0,0,0,0,0,0,0,0,0,0,0,5.37,2.349,3.091,1,1.3944715,0.0717391,0.4551585,0.1000796,0.1754955,0.1185382
K00370.02,1.871,0.047,0.048,1.31,0.097,0.028,6110,60,60,0.06,0.04,10.628,1.89,0.01,0.01,1.42,0.03,0.03,6227.7,72.48,85.43,0.2,0.07,11.931,3.467,1.038,0.399,1.0001,0.2012576,0.0150902,0.3609864,0.1560177,0.2554924,0.1439548
K00377.03,0.971,0.024,0.025,1.024,0.029,0.024,5788,60,60,0.08,0.04,12.337,0,0,0,0,0,0,0,0,0,0,0,0,1.778,1.106,2.006,1.0008,1.1550032,0.0508669,0.2666313,0.1141175,0.2704694,0.1351789
K00379.02,2.597,0.075,0.077,1.616,0.054,0.021,6176,60,60,0.17,0.04,11.517,0,0,0,0,0,0,0,0,0,0,0,0,1.95,0.269,0.135,1.1702,0.1003313,0.0102546,0.4200068,0.1888971,0.2997044,0.1742531
K00384.01,2.086,0.054,0.056,1.384,0.107,0.029,6178,60,60,0.04,0.04,11.733,0,0,0,0,0,0,0,0,0,0,0,0,2.884,0.863,0.332,1,0.1604936,0.0098069,0.3351038,0.154048,0.2583014,0.1466033
K00386.01,1.021,0.026,0.027,1.079,0.024,0.018,6001,60,60,0.08,0.04,12.475,0,0,0,0,0,0,0,0,0,0,0,0,0.912,0.651,0.903,1,1.0427971,0.0340521,0.3893743,0.1474737,0.3008275,0.1531705
K00408.01,0.863,0.027,0.028,0.956,0.021,0.018,5588,60,60,0.12,0.04,13.367,0,0,0,0,0,0,0,0,0,0,0,0,1.738,1.12,1.561,1,1.4098775,0.0653997,0.4918664,0.0963817,0.1931563,0.1265014
K00416.01,0.748,0.019,0.02,0.779,0.03,0.029,5065,60,60,-0.12,0.04,12.301,0,0,0,0,0,0,0,0,0,0,0,0,5.888,3.39,6.101,1,1.8663781,0.0939088,0.5049807,0.1001728,0.1625246,0.1112653
K00435.03,1.05,0.032,0.033,0.933,0.03,0.032,5666,60,60,0.02,0.04,12.986,0,0,0,0,0,0,0,0,0,0,0,0,8.913,1.847,2.257,1,0.8364986,0.0600685,0.4084714,0.1456808,0.2777422,0.1555186
K00440.01,0.797,0.021,0.022,0.864,0.027,0.025,5078,60,60,0.17,0.04,12.155,0,0,0,0,0,0,0,0,0,0,0,0,3.388,2.341,4.213,1.0023,1.6912748,0.0772062,0.4250341,0.1276948,0.1249405,0.0980215
K00446.01,0.639,0.018,0.018,0.652,0.015,0.019,4618,60,60,-0.3,0.04,12.057,0,0,0,0,0,0,0,0,0,0,0,0,6.918,3.823,7.168,1,2.5785557,0.0958745,0.6594104,0.1214738,0.1926924,0.1286006
K00448.01,0.66,0.019,0.019,0.694,0.017,0.014,4653,60,60,-0.04,0.04,12.357,0,0,0,0,0,0,0,0,0,0,0,0,4.169,3.072,3.552,1,2.3964174,0.071116,0.5257667,0.1055268,0.151109,0.1106902
K00456.02,1.045,0.03,0.031,1.003,0.034,0.036,5616,60,60,0.2,0.04,13.052,0,0,0,0,0,0,0,0,0,0,0,0,6.026,1.804,2.497,1,0.9102741,0.0648188,0.6871579,0.1541894,0.334548,0.1575557
K00464.02,0.884,0.025,0.026,0.98,0.018,0.014,5479,60,60,0.27,0.04,12.585,0,0,0,0,0,0,0,0,0,0,0,0,1.259,0.986,1.42,1,1.4085184,0.0552141,0.4058584,0.1207865,0.2118631,0.1336362
K00475.01,0.738,0.02,0.021,0.746,0.023,0.028,5100,60,60,-0.25,0.04,12.843,0,0,0,0,0,0,0,0,0,0,0,0,8.318,3.064,5.937,1,1.9013164,0.0993447,0.4188823,0.1530283,0.1723588,0.1261157
K00481.01,0.771,0.023,0.023,0.811,0.03,0.025,5175,60,60,-0.08,0.04,12.876,0,0,0,0,0,0,0,0,0,0,0,0,5.012,3.116,4.385,1,1.7902516,0.102199,0.4657529,0.0853352,0.1613326,0.1062232
K00490.01,0.736,0.02,0.02,0.782,0.027,0.018,4868,60,60,0.03,0.04,11.832,0,0,0,0,0,0,0,0,0,0,0,0,4.571,3.157,3.578,1.0052,1.9488198,0.0818445,0.6211512,0.1053214,0.2622453,0.1524837
K00500.03,0.677,0.019,0.02,0.725,0.021,0.015,4665,60,60,0.06,0.04,12.253,0,0,0,0,0,0,0,0,0,0,0,0,3.162,2.913,5.315,1.0016,2.2678935,0.0891148,0.7692644,0.1263426,0.2485429,0.1415548
K00505.01,0.727,0.019,0.02,0.825,0.013,0.007,5046,60,60,0.17,0.04,12.186,0,0,0,0,0,0,0,0,0,0,0,0,0.794,0.878,0.896,1.0003,1.9840637,0.034133,0.5082452,0.1471505,0.1769814,0.1276814
K00508.01,0.988,0.027,0.028,1.066,0.028,0.016,5573,60,60,0.39,0.04,12.677,0,0,0,0,0,0,0,0,0,0,0,0,1.585,1.131,1.569,1,1.1179632,0.0481289,0.4616238,0.0869637,0.1509146,0.109112
K00509.01,0.922,0.032,0.033,0.978,0.031,0.029,5529,60,60,0.17,0.04,13.206,0,0,0,0,0,0,0,0,0,0,0,0,2.399,1.602,2.872,1.0258,1.2944467,0.0770331,0.4156248,0.1178076,0.2180101,0.1350857
K00510.01,1.044,0.035,0.037,1.081,0.034,0.027,5613,60,60,0.39,0.04,12.793,0,0,0,0,0,0,0,0,0,0,0,0,2.692,1.425,2.417,1.0475,0.9937052,0.0684636,0.4178357,0.1409244,0.2098699,0.1378886
K00518.01,0.725,0.02,0.02,0,0,0,4693,60,60,-0.56,0.04,12.184,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,1,3.8960004,0.0001102,0.5215718,0.0933247,0.1432021,0.1076064
K00520.02,0.787,0.022,0.023,0.86,0.024,0.016,5106,60,60,0.13,0.04,12.567,0,0,0,0,0,0,0,0,0,0,0,0,2.455,1.922,2.996,1,1.7455764,0.0685754,0.5343749,0.162258,0.2078441,0.1396091
K00528.01,0.883,0.025,0.026,0.852,0.026,0.03,5386,60,60,-0.04,0.04,12.899,0,0,0,0,0,0,0,0,0,0,0,0,9.12,2.31,3.57,1,1.2671495,0.0868651,0.4434609,0.1223571,0.1949108,0.1272392
