designation,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
Gaia DR3 2053546910744629504,5238.389,15.007,18.8903,0.0042,0.018,0.0206,Gaia DR3 2053546910744629504,293.1234499269855,40.93480138893501,1.4547,3.6126,6.2154,-37.913,2016,4.2942681430071E-14
Gaia DR3 2053552270863859712,6642.582,15.433,15.768,-0.2624,0.0141,0.0144,Gaia DR3 2053552270863859712,293.08461132049683,41.13540392256028,0.6592,-1.0709,-6.6624,2.3653,2016,0
Gaia DR3 2053586321364864640,5052.205,22.2255,27.937,-0.0279,0.0243,0.0343,Gaia DR3 2053586321364864640,292.2367612281806,41.08587091292437,0.9298,2.1706,-0.3244,0,2016,0
Gaia DR3 2073277200237694464,4772.218,9.943,17.1433,0.1876,0.0123,0.0143,Gaia DR3 2073277200237694464,296.5245248969319,39.24985297,3.2392,34.3978,19.3011,-11.3271,2016,7.105427357601002E-15
Gaia DR3 2073539536845074176,5839.9473,19.5977,39.7934,-0.1728,0.0177,0.0355,Gaia DR3 2073539536845074176,298.9917167138223,40.14225490833302,2.1847,0.8511,-36.4721,-7.3822,2016,7.105427357601002E-15
Gaia DR3 2073547954981763328,4935.742,20.3343,20.394,0.106,0.0277,0.0259,Gaia DR3 2073547954981763328,299.22425369531294,40.34316664535255,1.1514,-11.1872,-2.8287,0,2016,7.105427357601002E-15
Gaia DR3 2073731161099713408,5739.3975,24.2945,11.1899,0.0159,0.0255,0.0105,Gaia DR3 2073731161099713408,297.0698323520349,40.52520571016794,8.1211,32.9212,13.543,-47.6695,2016,4.3207830068046636E-14
Gaia DR3 2073804411752924288,,,,,,,Gaia DR3 2073804411752924288,298.5891951,40.750691858164174,1.7353,1.4717,-1.4987,-46.4366,2016,0
Gaia DR3 2075112109039378688,5068.2783,6.4927,7.6431,0.1398,0.0087,0.0089,Gaia DR3 2075112109039378688,299.13931178730104,40.94893620015961,3.2283,13.215,-20.4097,-13.3448,2016,0
Gaia DR3 2075161655782111872,5248.539,14.39,10.706,0.1059,0.0117,0.0099,Gaia DR3 2075161655782111872,299.3196740288222,41.384747214814375,4.0579,17.3574,18.7323,-22.3826,2016,7.105427357601002E-15
Gaia DR3 2076328963475704576,4555.349,4.779,8.102,0.4872,0.0161,0.0138,Gaia DR3 2076328963475704576,296.1125756515733,39.97874410987316,2.6675,-1.3733,-7.2066,-3.5284,2016,0
Gaia DR3 2076565805151925760,4685.2856,33.8346,14.003,0.1583,0.0652,0.0232,Gaia DR3 2076565805151925760,294.4418028422783,40.55754031496123,2.2497,-1.123,-3.3769,-26.8137,2016,0
Gaia DR3 2076601917234347520,5575.019,19.27,19.6006,-0.6572,0.0207,0.0194,Gaia DR3 2076601917234347520,295.2173270943838,40.592156611365546,1.068,3.0824,-11.876,12.2672,2016,0
Gaia DR3 2076692386427776768,5521.203,21.7533,17.392,-0.2153,0.0211,0.0184,Gaia DR3 2076692386427776768,295.28723274149723,41.22200472310721,1.0986,5.3739,10.1036,0,2016,0
Gaia DR3 2076764576237957504,4545.8384,8.417,7.4406,0.2011,0.0152,0.0159,Gaia DR3 2076764576237957504,297.07020512138837,40.86873212640164,2.6777,7.59,-13.3446,1.4141,2016,0
Gaia DR3 2076782889978499840,4985.614,63.6633,28.945,0.0566,0.0963,0.0356,Gaia DR3 2076782889978499840,296.8609319849194,41.09731523,2.4655,-15.4493,-18.6839,-43.7515,2016,0
Gaia DR3 2076792648144511104,5813.4683,7.9603,10.5283,-0.2673,0.0069,0.0087,Gaia DR3 2076792648144511104,297.0899587167322,41.388069154379686,1.3958,-1.5958,3.9332,-29.0081,2016,0
Gaia DR3 2076871091425583232,4697.2563,16.2513,8.7784,0.3182,0.0181,0.0118,Gaia DR3 2076871091425583232,297.3539996494398,41.300044739930854,4.8014,1.5041,-3.3316,-25.3569,2016,0
Gaia DR3 2076955822541823744,5427.938,13.592,12.8432,-0.1136,0.0135,0.0127,Gaia DR3 2076955822541823744,296.7719087826088,41.755597134260654,1.1589,2.9493,9.9742,0,2016,0
Gaia DR3 2076960598545789824,5522.061,40.148,60.213,-0.387,0.0408,0.0637,Gaia DR3 2076960598545789824,297.1150948896979,41.90910820038663,1.5476,0.1058,-7.1026,-58.7884,2016,7.105427357601002E-15
