KOI,Kepler name,P,P_err,k,k_err,Rp,e_Rp,E_Rp,Source,ntr,Flag 
K00623.02,Kepler-197 A d,15.6775773,1.73e-05,0.0098754,0.0002011,1.2064335262225427,0.043210295,0.043210295,-2,52,1
K00623.03,Kepler-197 A b,5.599323,6.4e-06,0.008615,0.0001702,1.0524560856681457,0.037335545755102575,0.037335546,-2,147,1
K00645.01,Kepler-633 b,8.5034136,1.93e-05,0.0186947,0.0018003,3.464515896616548,0.34712571618690335,0.34769424133502486,-1,18,0
K00645.02,KOI-645.02,23.7832495,2.03e-05,0.0146158,0.0008518,2.708611073821358,0.17473686348951295,0.17542640364301076,-1,7,0
K00657.01,Kepler-202 b,4.0694244,3.4e-06,0.0218653,0.0004323,1.628946509215911,0.053667413861644815,0.055593646,-1,100,1
K00657.02,Kepler-202 c,16.2824906,1.56e-05,0.0273519,0.0006059,2.0376936070130602,0.070152982,0.072462239,-1,25,1
K00658.01,Kepler-203 b,3.1626923,6.6e-06,0.0233803,0.0007159,2.6241951798482304,0.10581920246747381,0.10749608341104655,-1,50,1
K00658.02,Kepler-203 c,5.3706464,1.17e-05,0.0241604,0.0008296,2.7117532804628333,0.11718824027027269,0.11880680252346171,-1,28,1
K00658.03,Kepler-203 d,11.329752,1.96e-05,0.0115186,0.0013487,1.2928428890390555,0.15513196186890263,0.155411539,-1,13,0
K00665.01,Kepler-207 d,5.8680826,8.9e-06,0.0202096,0.0003987,3.690148561057368,0.11265394753741764,0.11434508874482076,-1,37,1
K00665.02,Kepler-207 b,1.6118954,4.8e-06,0.0095698,0.0003769,1.7473865736880891,0.079958875,0.080495342,-1,136,1
K00665.03,Kepler-207 c,3.0715423,1.17e-05,0.0081308,0.0004396,1.4846340313635722,0.087403315,0.087758061,-1,72,1
K00671.01,Kepler-208 b,4.2286546,5.5e-06,0.0118965,0.0003691,1.601271772,0.063116155,0.063924667,-1,95,1
K00671.02,Kepler-208 c,7.4666342,1.17e-05,0.0107257,0.0004045,1.4436818097333062,0.064777985,0.065419254,-1,54,1
K00671.03,Kepler-208 e,16.2594596,1.8e-05,0.0120048,0.0006365,1.6158489785735564,0.094249891,0.094803136,-1,25,1
K00671.04,Kepler-208 d,11.1317523,1.88e-05,0.0083138,0.0005729,1.1190394873771186,0.081770752,0.082076913,-1,35,1
K00672.01,Kepler-209 b,16.0878613,1.72e-05,0.0250806,0.0008616,2.4566593391699723,0.10365649524485296,0.10526847420363492,-1,28,1
K00679.01,Kepler-212 c,31.8047395,2.02e-05,0.0165463,0.000601,2.6133653905834024,0.11402066308543943,0.11402066308543943,-1,4,1
K00679.02,Kepler-212 b,16.2583585,2.03e-05,0.0054681,0.001167,0.8636458478481054,0.18549737332016408,0.18549737332016408,-1,10,0
K00692.01,Kepler-213 b,2.4623399,2.7e-06,0.0132238,0.0004022,1.5722204809269222,0.061671304,0.062592163,-1,153,1
K00692.02,Kepler-213 c,4.8229807,4.8e-06,0.0220433,0.0029966,2.6207994469983222,0.3621418094399731,0.36258054780373733,-1,79,0
K00700.02,Kepler-215 b,9.3606276,1.13e-05,0.0151507,0.0003461,1.4807146992113638,0.048461621,0.049658464490668845,-1,73,1
K00700.03,Kepler-215 c,14.6671873,1.63e-05,0.0140543,0.0003901,1.3735608649848703,0.04989916,0.050901659,-1,43,1
K00700.04,Kepler-215 e,68.1613588,2.01e-05,0.01682,0.0006107,1.6438594415264736,0.071040311,0.072051811,-1,9,1
K00701.01,Kepler-62 d,18.1640627,1.29e-05,0.0300887,0.0004294,2.3203501000501716,0.070604387,0.070604387,-1,42,1
K00701.02,Kepler-62 b,5.7148845,4.3e-06,0.0192012,0.0003343,1.480738826904564,0.047414614,0.047414614,-1,137,1
K00707.02,Kepler-33 f,41.0280588,1.95e-05,0.0207447,0.0004245,3.6407753491023973,0.126168913,0.1298487082029997,-1,22,1
K00707.03,Kepler-33 e,31.7847737,1.96e-05,0.0187988,0.0004522,3.2992623481036674,0.12170750788768361,0.12484533792983658,-1,29,1
K00707.04,Kepler-33 c,13.1755617,1.53e-05,0.0145995,0.0003567,2.5622689028629213,0.095154079,0.09757515,-1,69,1
K00707.05,Kepler-33 b,5.6681405,1.41e-05,0.0080193,0.0003191,1.407418268620749,0.068452561,0.069473281,-1,160,1
K00708.01,Kepler-216 c,17.4066528,1.74e-05,0.0230414,0.0005558,3.8830056849375203,0.1411223561578581,0.14492054331128112,-1,8,1
K00708.02,Kepler-216 b,7.6936444,2.1e-05,0.0159157,0.0006184,2.682161396,0.12718887764443662,0.12921061221537702,-1,21,1
K00711.01,Kepler-218 c,44.6995045,1.96e-05,0.027173,0.0006981,3.0735977133785926,0.11033513698415313,0.1124252722769176,-1,14,1
K00711.02,Kepler-218 b,3.6193117,4.1e-06,0.0130009,0.0003194,1.4705603544644954,0.051620333373361194,0.052642576553838666,-1,184,1
K00718.01,Kepler-219 b,4.5854797,7.2e-06,0.0185884,0.0003823,2.3539915979178754,0.077741603,0.079338053,-1,70,1
K00718.02,Kepler-219 c,22.7144429,1.73e-05,0.0212859,0.0004597,2.6955967030040293,0.090778069,0.092571544,-1,14,1
K00718.03,Kepler-219 d,47.9035191,1.91e-05,0.0189387,0.0007378,2.398352772454179,0.11211789003718589,0.11327281963616695,-1,6,1
K00719.01,Kepler-220 c,9.0341818,7.9e-06,0.0269052,0.0008845,2.0102842748467413,0.084605155,0.086467902,-1,40,1
K00719.02,Kepler-220 d,28.1224638,1.97e-05,0.0114591,0.0009077,0.856193172,0.071455287,0.071858631,-1,14,1
K00719.03,Kepler-220 e,45.9027566,2.01e-05,0.0181889,0.0009212,1.3590257514071589,0.077542457,0.078475926,-1,6,1
K00720.01,Kepler-221 c,5.6905918,3.6e-06,0.0347523,0.0004735,2.9074321991455134,0.08219782,0.085538734,-1,68,1
K00720.02,Kepler-221 d,10.0415747,7.4e-06,0.0327336,0.000485,2.7385445750050956,0.079047462,0.082132096,-1,37,1
K00720.04,Kepler-221 b,2.7958948,2.4e-06,0.0180822,0.0003669,1.512785355541619,0.048441157999979736,0.049982605,-1,134,1
K00723.01,Kepler-222 b,3.9369918,4.7e-06,0.0356346,0.000677,3.1134011644878576,0.11709671522742474,0.12046726245002234,-1,83,1
K00723.02,Kepler-222 d,28.0819564,2.52e-05,0.0412394,0.0007446,3.6030935097568246,0.13383041581276753,0.1377787820645434,-1,12,1
K00730.04,Kepler-223 b,7.3844217,1.87e-05,0.015567,0.000954,2.6726391920164314,0.23108022983461846,0.24335588934701932,-1,75,1
K00733.01,Kepler-224 c,5.9249983,7.6e-06,0.035932,0.0010523,2.716097181480378,0.126205629,0.13238361683020006,-1,49,1
K00733.02,Kepler-224 d,11.349343,1.23e-05,0.033055,0.0012493,2.4986249675451933,0.1305478073091073,0.1356270847339578,-1,26,1
K00733.03,Kepler-224 b,3.1329551,7.7e-06,0.0187202,0.0010902,1.4150585120992145,0.096938272,0.099149659,-1,95,1
K00733.04,Kepler-224 e,18.6435196,1.85e-05,0.0332128,0.0029611,2.5105530576942976,0.24145844982766615,0.24426849616510976,-1,16,1
K00749.01,Kepler-226 c,5.3495596,5.7e-06,0.0261098,0.0006974,2.452095474743262,0.119271055,0.12407075604379414,-1,85,1
K00749.02,Kepler-226 b,3.9410501,5.6e-06,0.0160737,0.0005676,1.5095576003025977,0.081283994,0.083962686,-1,114,1
K00749.03,Kepler-226 d,8.109042,1.62e-05,0.0125061,0.0009402,1.1745073197300138,0.1003800813015592,0.10170604351707938,-1,53,1
K00756.02,Kepler-228 c,4.1344307,6.7e-06,0.0244302,0.0008421,2.9418923369906405,0.19612946785570726,0.20764845087601685,-1,85,1
K00756.03,Kepler-228 b,2.5665772,9.2e-06,0.0151305,0.0008579,1.8220195497718756,0.14657163657310726,0.1525362372375962,-1,136,1
K00757.03,Kepler-229 b,6.2529525,1.17e-05,0.0278801,0.0012192,2.146988446781957,0.1309129808431576,0.13522191516345264,-1,45,1
K00800.01,Kepler-234 b,2.7114943,8.3e-06,0.0259437,0.0010392,3.3137480719007226,0.2361035128212855,0.2527311016789079,-1,57,1
K00800.02,Kepler-234 c,7.2120303,1.74e-05,0.028294,0.001197,3.613948201157085,0.26214996289651615,0.27998240257275425,-1,22,1
K00829.02,Kepler-53 d,9.7519295,1.88e-05,0.0192496,0.0009591,2.2193580663583194,0.1598864627283807,0.16762651873988124,-1,47,0
K00834.02,Kepler-238 d,13.2335461,1.92e-05,0.0197413,0.0005424,3.3742357624480643,0.18064253224887034,0.18808688215822533,-1,42,1
K00834.03,Kepler-238 c,6.1555736,1.02e-05,0.0144034,0.000473,2.461867626794813,0.1390381918579712,0.1441971927138699,-1,89,1
K00834.04,Kepler-238 b,2.0908146,5.9e-06,0.0094475,0.0004878,1.6147919521879555,0.11160916876269404,0.11439085651715525,-1,264,1
K00834.05,Kepler-238 f,50.447315,2e-05,0.0203404,0.0008933,3.4766355357802485,0.22097669776462556,0.22747480036744508,-1,11,1
K00841.03,KOI-841.03,6.5462724,9.4e-06,0.0236775,0.0009438,1.9214958909393078,0.12449088029786401,0.13068586587684367,-1,137,1
K00864.01,Kepler-244 b,4.3117806,3.8e-06,0.0307689,0.0006088,2.8762290708220313,0.13659746332111367,0.14581086034387247,-1,107,1
K00864.02,Kepler-244 d,20.0503931,1.8e-05,0.025065,0.0007008,2.3430373416064345,0.12051744971453522,0.12747989391001255,-1,24,1
K00864.03,Kepler-244 c,9.7673453,1.38e-05,0.0273272,0.0016539,2.554504290506577,0.1899099832680263,0.1952388519742627,-1,47,1
K00869.01,Kepler-245 b,7.4901703,6.8e-06,0.0308828,0.0006549,2.627495318166852,0.1273660374891178,0.1304035087671327,-1,117,1
K00869.03,Kepler-245 c,17.460864,1.63e-05,0.0285918,0.0014273,2.4325780252426275,0.16121336882429146,0.16328153562501294,-1,51,1
K00869.04,Kepler-245 e,3.2198229,5.5e-06,0.0160162,0.000825,1.3626513954312416,0.09195001,0.093088079,-1,266,1
K00872.02,Kepler-46 d,6.766514,1.27e-05,0.0176764,0.0009192,1.5366778146407236,0.095370808,0.096436781,-1,118,1
K00880.03,Kepler-82 e,5.9022522,6.2e-06,0.0235099,0.0005947,2.141252763997115,0.098324154,0.10264342851143643,-1,151,1
K00880.04,Kepler-82 d,2.3829545,3.2e-06,0.0145251,0.0004267,1.3229282354384535,0.06388075,0.066423565,-1,378,1
K00881.01,Kepler-712 b,21.0224706,1.74e-05,0.0391029,0.0008492,3.1434541806509775,0.16803896994473586,0.17586786023690573,-1,21,1
K00884.03,Kepler-247 b,3.3361252,4.1e-06,0.0196232,0.000699,1.6866568208588764,0.081894577,0.083363886,-1,273,1
K00896.01,Kepler-248 c,16.2394712,1.34e-05,0.0459894,0.0007084,3.8776438395979995,0.1572590115154715,0.16191066371735455,-1,35,1
K00896.02,Kepler-248 b,6.3081972,7.2e-06,0.0327486,0.0004931,2.7612320892522857,0.11162279608203184,0.11494556081534653,-1,92,1
K00896.03,KOI-896.03,28.8671361,1.95e-05,0.0164424,0.002306,1.3863579665793886,0.20126905367818768,0.20173995405216494,-1,19,0
K00907.01,Kepler-251 c,16.5141326,1.74e-05,0.02844,0.0006601,2.5096247741490414,0.11509619181716806,0.11778218394715882,-1,27,1
K00907.02,Kepler-251 d,30.1329392,1.84e-05,0.0295369,0.0007899,2.606418283810226,0.12444867908186825,0.12713050043288873,-1,12,1
K00907.03,Kepler-251 b,4.7909189,1.36e-05,0.0143647,0.0007907,1.2675811179050187,0.085920243,0.086843908,-1,95,1
K00907.04,Kepler-251 e,99.6409649,2.05e-05,0.0319982,0.0017384,2.823610247826155,0.1897528309482122,0.19182793242641305,-1,4,1
K00921.01,Kepler-253 c,10.2819331,1.46e-05,0.0293121,0.0008381,2.5546087311315286,0.12312160341644784,0.12832538144466343,-1,40,1
K00921.02,Kepler-253 d,18.1198979,1.78e-05,0.0345614,0.0010641,3.0120958307364267,0.14919049236096724,0.15516730374063045,-1,23,1
K00921.03,Kepler-253 b,3.7840306,7.6e-06,0.0200979,0.0008487,1.7515725866590361,0.10044550483831464,0.10346225220732208,-1,110,1
K00934.01,Kepler-254 b,5.8266544,6.3e-06,0.0368332,0.0010528,3.623903863294712,0.2404108818265549,0.2586837130200342,-1,65,1
K00934.02,Kepler-254 c,12.4121793,1.95e-05,0.0236751,0.0012922,2.329319373659868,0.18870491379253349,0.1984373784063964,-1,29,1
K00934.03,Kepler-254 d,18.7465398,1.9e-05,0.0257398,0.001286,2.532458777962089,0.19747022451117552,0.2084422730340541,-1,21,1
K00935.04,KOI-935.04,9.6173001,1.89e-05,0.0103124,0.0007979,1.3621802291403398,0.1227849298901695,0.12515279105428284,-1,77,1
K00941.01,Kepler-257 c,6.5814818,9.2e-06,0.0428697,0.0009428,3.745533102693592,0.14685509708513522,0.15074912471752877,-1,39,1
K00941.02,Kepler-257 b,2.3826522,4.2e-06,0.0263214,0.000813,2.2997052699048304,0.10304236697805327,0.10514086924593276,-1,109,1
K00954.01,Kepler-259 b,8.1152859,1.58e-05,0.0275043,0.0011692,2.691062092859943,0.14743103351393808,0.1512876822702986,-1,19,1
K00954.02,Kepler-259 c,36.9249537,1.95e-05,0.0291059,0.0016714,2.847765046504445,0.19086346543744226,0.1942137796355241,-1,4,1
K00974.01,KOI-974.01,53.5058347,1.91e-05,0.0128473,0.0002617,2.5924731861369374,0.077011422,0.077011422,-2,18,1
K00975.01,Kepler-21 A b,2.7858181,5e-07,0.0082442,7.09e-05,1.6636077184427964,0.030536398503469855,0.030536399,-2,395,1
K00987.01,Kepler-743 A b,3.1792642,5.9e-06,0.016135,0.0009996,1.6156315675514654,0.10669760667453614,0.10731993330524926,-1,92,1
K00988.01,Kepler-261 b,10.3812255,9.2e-06,0.0267855,0.0003535,2.188327181,0.062574871,0.065180698,-1,62,1
K00988.02,Kepler-261 c,24.5708172,1.54e-05,0.0280271,0.0005665,2.2897636677113873,0.0742689,0.076683484,-1,25,1
K00991.01,Kepler-744 b,12.0622152,1.36e-05,0.0180419,0.00106,1.6963685664163308,0.1086627955062224,0.1086627955062224,-1,44,1
K01001.01,Kepler-264 b,40.8068456,2.04e-05,0.0158769,0.0003331,3.389122091031812,0.11747868010413913,0.12025408541903009,-1,19,1
K01050.01,Kepler-755 A b,1.2690914,1.5e-06,0.0184043,0.0004137,1.648136358744767,0.057645618,0.059197678738560994,-1,223,1
K01050.02,Kepler-755 A c,2.8531326,4.1e-06,0.0180074,0.0006731,1.6125932888759975,0.07416619,0.075327513,-1,101,1
K01060.01,Kepler-758 b,12.109695,1.76e-05,0.0159526,0.0005696,2.6413984977908784,0.13436521892807712,0.13813192774800678,-1,23,1
K01060.02,Kepler-758 c,4.7579609,1.34e-05,0.0096482,0.0005553,1.597528991285806,0.10864726179022242,0.11036158221255327,-1,57,1
K01060.03,Kepler-758 d,20.4966119,2.08e-05,0.0135719,0.0009471,2.247207118097866,0.17669595321619325,0.17878585070147002,-1,12,1
K01060.04,Kepler-758 e,8.193476,1.65e-05,0.0110422,0.0005953,1.8283446267258274,0.11876057482110372,0.12081330941060539,-1,34,1
K01102.03,Kepler-24 e,18.9985131,1.9e-05,0.019811,0.0012431,2.3424285863815246,0.17051439773704144,0.17161990742060124,-1,26,1
K01102.04,Kepler-24 d,4.2443758,1.2e-05,0.0126096,0.0008463,1.490943793995077,0.11419239390787385,0.11486137148641708,-1,108,1
K01127.02,Kepler-269 c,8.1281074,1.85e-05,0.0172411,0.0022512,3.071014272261331,0.46292217240717276,0.47969706207999635,-1,22,0
K01127.03,KOI-1127.03,2.8367038,1.61e-05,0.0120963,0.001456,2.1546136813518135,0.3059371988004981,0.3184038339168071,-1,65,0
K01198.01,Kepler-275 c,16.0883291,1.81e-05,0.023246,0.0011342,3.549825038804659,0.29054288,0.31126811391295406,-1,31,1
K01198.02,Kepler-275 b,10.3006578,1.89e-05,0.0135627,0.0012862,2.0711181301641557,0.23895878229282086,0.24768338504333046,-1,44,0
K01198.03,Kepler-275 d,35.6756965,2.01e-05,0.0157244,0.0018742,2.4012246769414087,0.3268203190771654,0.3354378711492895,-1,14,0
K01199.01,Kepler-786 b,53.5293481,1.97e-05,0.029212,0.0015939,2.255927970273279,0.14165181938912144,0.14325540809818876,-1,9,1
K01203.01,Kepler-276 c,31.8841536,1.96e-05,0.0241549,0.0011449,2.342273927,0.15862140939399666,0.16242693007159428,-1,14,1
K01203.02,Kepler-276 b,14.1284668,1.67e-05,0.022747,0.0011384,2.2057514217556955,0.1535205180012683,0.15700965860851734,-1,31,1
K01215.02,Kepler-277 c,33.0063104,1.98e-05,0.0161209,0.0007801,3.043806436874618,0.1680401695754269,0.16976099428769245,-1,9,1
K01270.01,Kepler-57 b,5.7293262,5.3e-06,0.035598,0.0024357,3.156798223891127,0.23524121388667826,0.23524121388667826,-1,114,1
K01279.01,Kepler-804 b,14.374592,1.71e-05,0.0172818,0.000687,1.98117286,0.094807845,0.095870064,-1,11,1
K01279.02,Kepler-804 c,9.6518512,1.92e-05,0.0083673,0.0010027,0.9592211271554223,0.11775515787200831,0.11795658857540246,-1,15,0
K01282.01,Kepler-805 b,30.8638889,1.86e-05,0.0150928,0.0004408,2.617565877988743,0.091014079,0.091014079,-2,15,1
K01306.01,Kepler-286 b,1.7963267,2.6e-06,0.0138188,0.0005579,1.290252696094448,0.12310458977377488,0.1397029587535907,-1,301,0
K01306.02,Kepler-286 c,3.4680771,9.6e-06,0.0132488,0.0007293,1.2370321532995718,0.1267790597119331,0.14171331983741406,-1,158,0
K01306.03,Kepler-286 d,5.9142931,1.36e-05,0.0134094,0.0008101,1.2520272746554617,0.13204627750547115,0.1467779086320432,-1,92,0
K01306.04,Kepler-286 e,29.2215132,1.92e-05,0.0184054,0.0011181,1.718500663783885,0.18157435553032852,0.20176144584553032,-1,19,0
K01353.02,Kepler-289 b,34.5438475,1.95e-05,0.0232759,0.0012832,2.5236175927345132,0.15292129801843807,0.15399239362243425,-1,12,1
K01364.01,Kepler-292 f,20.8342876,1.8e-05,0.0256397,0.0009735,2.2737052480785813,0.14577293658230164,0.15261437455255364,-1,21,1
K01364.02,Kepler-292 d,7.0556789,9.2e-06,0.023056,0.0008446,2.0445850848371774,0.12948459948978225,0.1357091291848838,-1,64,1
K01364.03,Kepler-292 e,11.978813,1.61e-05,0.0237118,0.0009293,2.102740831655195,0.13635069355683427,0.14260945990719698,-1,38,1
K01364.04,Kepler-292 c,3.7154564,6.5e-06,0.016603,0.0007948,1.4723389210423166,0.10369728965340369,0.10774567424972906,-1,122,1
K01364.05,Kepler-292 b,2.5808229,4.9e-06,0.0152323,0.0008736,1.3507864932236873,0.10426496219767552,0.10766466659892152,-1,177,1
K01445.01,Kepler-853 b,7.1689405,1.02e-05,0.0102591,0.0003373,1.6046824160141733,0.064398543,0.065046683,-1,44,1
K01486.02,Kepler-302 b,30.1836888,1.84e-05,0.0285895,0.0010565,3.2681239675138367,0.2021905975034355,0.20976809565789417,-1,9,1
K01529.02,Kepler-59 b,11.8691509,1.93e-05,0.0099335,0.0014283,1.4497365518101004,0.21269206380115238,0.21290997991091012,-1,31,0
K01537.01,KOI-1537.01,10.1915482,1.83e-05,0.009894,0.0005542,1.9155828608833352,0.11565704051397102,0.1160641623675289,-1,46,0
K01557.01,Kepler-304 b,3.295705,2.3e-06,0.0398516,0.0005356,2.8254641316379487,0.094868948,0.098867704,-1,90,1
K01557.02,Kepler-304 d,9.6534733,8.4e-06,0.0334888,0.000616,2.374343896,0.085115924,0.08827113,-1,31,1
K01557.03,Kepler-304 c,5.3159554,5.1e-06,0.0347268,0.0010818,2.462117651651746,0.10780522163674415,0.11049992382321838,-1,56,1
K01557.04,Kepler-304 e,1.4991499,1.8e-06,0.0156871,0.0006258,1.1122097576864582,0.056033401,0.057094511547747556,-1,192,1
K01563.01,Kepler-305 b,5.4871021,6.5e-06,0.0314396,0.0010513,2.644003765089917,0.14092254430769857,0.14360911420182734,-1,83,1
K01563.02,Kepler-305 c,8.2908801,1.22e-05,0.0280606,0.0011807,2.359837022439285,0.13947182110484033,0.14163799149714035,-1,56,1
K01563.03,Kepler-305 e,3.2054046,6.5e-06,0.0190858,0.0009711,1.6050753527320047,0.10539221641014185,0.10672031138253248,-1,143,1
K01563.04,Kepler-305 d,16.7386546,1.89e-05,0.0337772,0.0021504,2.840590973619103,0.21588048740960925,0.2179144246681189,-1,26,1
K01567.01,Kepler-306 c,7.240222,1.25e-05,0.0267876,0.0011626,2.2469366305137894,0.1291893211209618,0.13112433475436627,-1,19,1
K01567.02,Kepler-306 b,4.6462199,1.26e-05,0.0176042,0.0011532,1.476635526545523,0.11161374695414669,0.11258406606721119,-1,29,1
K01567.03,Kepler-306 d,17.3266887,1.99e-05,0.0244408,0.0012651,2.050087682325457,0.13129251842723424,0.1328798106173302,-1,8,1
K01567.04,Kepler-306 e,44.8412238,2.06e-05,0.0294356,0.0015662,2.4690501530988853,0.16102297114634048,0.16290062945888564,-1,4,1
K01598.01,Kepler-310 c,56.4761668,1.93e-05,0.0300511,0.0006912,2.750128671003904,0.09592451,0.09592451,-1,7,1
K01598.02,Kepler-310 d,92.8750347,1.99e-05,0.0232015,0.0007445,2.1232870131308696,0.087988289,0.087988289,-1,5,1
K01598.03,Kepler-310 b,13.9307264,1.78e-05,0.0132558,0.0010116,1.213105531481162,0.097889182,0.097889182,-1,21,1
K01621.01,Kepler-911 b,20.310505,1.96e-05,0.0122736,0.0006823,2.583806305,0.15329367297337348,0.15329367297337348,-2,16,1
K01692.01,Kepler-314 c,5.9604016,5.4e-06,0.0267866,0.0003383,2.5594837577209515,0.06678045,0.069351557,-1,28,1
K01781.02,Kepler-411 A b,3.0051591,1.6e-06,0.0252326,0.0003785,2.0311829584296266,0.060522141,0.062915471,-1,130,1
K01805.01,Kepler-319 c,6.9413615,5.1e-06,0.0309433,0.000589,2.8351536038005047,0.089085389,0.089085389,-1,66,1
K01805.02,Kepler-319 d,31.7821116,1.82e-05,0.023613,0.0005929,2.163521086844044,0.076659032,0.076659032,-1,15,1
K01805.03,Kepler-319 b,4.3627498,4e-06,0.0174442,0.0003883,1.5983100217306092,0.053501323126077464,0.053501323126077464,-1,103,1
K01832.01,Kepler-325 b,4.5444384,4.6e-06,0.0308119,0.0008215,2.7222886835107634,0.11102963878576813,0.1135941975428795,-1,58,1
K01832.02,Kepler-325 c,12.7622758,1.7e-05,0.0290377,0.0020911,2.5655348130164155,0.20100619119580088,0.2022748596659664,-1,20,1
K01832.03,Kepler-325 d,38.7146828,1.97e-05,0.0283083,0.001744,2.5010909661341154,0.17234072353825897,0.17374571772823413,-1,6,1
K01835.01,Kepler-326 c,4.5803454,4.4e-06,0.025928,0.0007142,3.0798359,0.1303650409862264,0.1325251879481727,-1,100,0
K01835.02,Kepler-326 b,2.2482898,2.1e-06,0.0229256,0.0005086,2.7231983149966292,0.10634841106313923,0.10841569169894505,-1,202,0
K01835.03,Kepler-326 d,6.7669017,7.4e-06,0.0242354,0.0010967,2.8787818178485756,0.1597839251549989,0.16132904525919922,-1,65,0
K01858.02,KOI-1858.02,86.0490555,1.98e-05,0.0109801,0.0071386,0.9485542107273326,0.6172554725933017,0.6173077571133035,-1,4,0
K01860.01,Kepler-416 b,6.3194311,6e-06,0.0218313,0.0005154,2.3693725769351377,0.085221596,0.087032163,-1,70,1
K01860.02,Kepler-416 c,12.2094579,1.47e-05,0.0215702,0.0006465,2.3410351357457553,0.09465023,0.096245143,-1,38,1
K01860.03,KOI-1860.03,3.0764456,5.7e-06,0.0140681,0.000563,1.526824804275568,0.073825018,0.074696993,-1,150,1
K01860.04,KOI-1860.04,24.8435116,2.04e-05,0.0138319,0.0015157,1.5011897847086122,0.16946915288098965,0.1698381258516477,-1,17,0
K01883.01,Kepler-997 b,2.7073109,3.7e-06,0.0073531,0.0002562,1.1870332029287718,0.069732826,0.069732826,-2,200,1
K01909.01,Kepler-334 c,12.7580269,1.05e-05,0.0129659,0.0002814,1.4128590416221132,0.044702721,0.045742117,-1,37,1
K01909.02,Kepler-334 b,5.4703378,7e-06,0.009776,0.0002957,1.065264269421928,0.040493686,0.041148274296529466,-1,83,1
K01909.03,Kepler-334 d,25.0985182,1.9e-05,0.0139955,0.000594,1.5250517678697417,0.073636491,0.074376498,-1,19,1
K01929.01,Kepler-337 c,9.6931544,1.07e-05,0.0113433,0.0002694,2.2221656485097445,0.077618407,0.079450752,-1,39,1
K01929.02,Kepler-337 b,3.2927651,5e-06,0.0085607,0.0002336,1.677051075718474,0.062763079,0.06405565,-1,115,1
K01930.01,Kepler-338 b,13.7270741,2.25e-05,0.012609,0.0003133,2.3862217675326507,0.12741418638981633,0.12741418638981608,-2,31,1
K01930.02,Kepler-338 c,24.3111474,2.04e-05,0.011522,0.0003317,2.1805097315815054,0.12066894992777641,0.12066894992777617,-2,20,1
K01930.03,Kepler-338 d,44.4301357,1.99e-05,0.0138357,0.0003447,2.6183716796773333,0.13989109845496175,0.13989109845496148,-2,10,1
K01930.04,Kepler-338 e,9.3414357,1.48e-05,0.0081421,0.0003276,1.5408720956005708,0.09564089,0.09564089,-2,47,1
K01931.01,Kepler-339 b,4.9776145,7.1e-06,0.0148656,0.0007035,1.2420580434173185,0.068757057,0.069612123,-1,94,1
K01931.02,Kepler-339 d,10.5583879,1.65e-05,0.0129565,0.0007471,1.0825479657421488,0.069736603,0.070378057,-1,41,1
K01931.03,Kepler-339 c,6.9880467,1.44e-05,0.011859,0.0006971,0.9908490970351671,0.06482486,0.065403044,-1,65,1
K01944.01,KOI-1944.01,12.1841689,1.18e-05,0.0223455,0.0008047,2.1497568487010237,0.094173413,0.095582245,-1,36,1
K01952.01,Kepler-341 c,8.0103942,1.59e-05,0.0156541,0.0007419,2.0233785113827003,0.11390483822464095,0.11483529895572493,-1,45,1
K01952.02,Kepler-341 d,27.6665925,1.92e-05,0.0164219,0.0009224,2.122620883734968,0.13554681929870127,0.13640807902499547,-1,12,1
K01952.03,Kepler-341 b,5.1955703,1.77e-05,0.0089477,0.0007225,1.1565394309669024,0.099777977,0.1001258222236264,-1,68,1
K01952.04,Kepler-341 e,42.4730564,1.97e-05,0.0155778,0.0010166,2.013516316787131,0.1449415152054775,0.14566676644472257,-1,8,1
K01955.01,Kepler-342 b,15.1702666,1.69e-05,0.0156119,0.0006106,2.3210382410576815,0.10676453551483923,0.10767058468547637,-1,11,1
K02007.01,Kepler-1050 b,15.3787535,1.92e-05,0.0113445,0.0006635,1.2349420536993778,0.077632509,0.07809464,-1,23,1
K02007.02,Kepler-1050 c,21.1284598,2.04e-05,0.0114218,0.0013891,1.243356793948041,0.1539059535036573,0.15414276834026458,-1,15,0
K02037.01,KOI-2037.01,73.7579281,1.95e-05,0.057898,0.0053496,4.648063531396498,0.45336524768955694,0.45542787758098036,-1,4,1
K02037.02,KOI-2037.02,5.477164,8.6e-06,0.0262567,0.0015,2.1078933594393314,0.13725934730437364,0.138656561,-1,65,1
K02037.03,KOI-2037.03,8.5626839,1.4e-05,0.0273151,0.0018754,2.1928619324751883,0.1654191729564679,0.16667550054274774,-1,41,1
K02038.03,Kepler-85 d,17.9133732,2.04e-05,0.0129526,0.0011155,1.2051376771232811,0.10963392497965856,0.1100972159456527,-1,27,1
K02038.04,Kepler-85 e,25.2152823,2.1e-05,0.0176514,0.001484,1.6423241043476897,0.14622393307749876,0.14686896995631007,-1,18,1
K02051.01,Kepler-355 c,25.7624589,1.97e-05,0.0230446,0.0009506,2.9484778228720154,0.17309855204406616,0.1785428555196936,-1,10,1
K02051.02,Kepler-355 b,11.0317323,2.07e-05,0.0124512,0.0012562,1.5930884922343644,0.17395891364306398,0.17555794975189679,-1,26,0
K02086.01,Kepler-60 b,7.1329538,9.4e-06,0.0128329,0.0004031,2.005864903888305,0.085226506,0.086175304,-1,63,1
