KOI,Kepler name,P,P_err,k,k_err,Rp,e_Rp,E_Rp,Source,ntr,Flag 
K00137.03,Kepler-18 b,3.5047133,2.7e-06,0.0163997,0.00028,1.617093060027281,0.048073065,0.049548098264541034,-1,359,1
K00139.02,Kepler-111 b,3.3418024,5.5e-06,0.0112406,0.0002833,1.3548226570765587,0.047558805,0.048420249,-1,261,1
K00144.01,Kepler-472 b,4.1762546,1.9e-06,0.0327019,0.0002627,2.764428539572913,0.074716566,0.074716566,-1,190,1
K00148.01,Kepler-48 b,4.778006,2.9e-06,0.0194458,0.000325,1.7732206140010347,0.053500848,0.055279258,-1,245,1
K00148.02,Kepler-48 c,9.673944,4.2e-06,0.0279517,0.0004586,2.548855312528809,0.076473334,0.079043544,-1,121,1
K00148.03,Kepler-48 d,42.8960696,1.87e-05,0.020856,0.0003435,1.9018137143036324,0.057125961,0.059041571032725094,-1,29,1
K00150.01,Kepler-112 b,8.4088735,5.5e-06,0.0262614,0.0003058,2.595235370702874,0.069890241,0.072483698,-1,96,1
K00150.02,Kepler-112 c,28.5742617,1.81e-05,0.0276505,0.0003249,2.732510666515106,0.073712527,0.076438685,-1,29,1
K00153.01,Kepler-113 c,8.9250827,4e-06,0.0300394,0.0004554,2.441058603988649,0.075258933,0.078128639,-1,118,1
K00153.02,Kepler-113 b,4.7540042,1.7e-06,0.0252955,0.0003641,2.0555602947194305,0.062614391,0.065059121,-1,226,1
K00157.02,Kepler-11 d,22.6871587,1.41e-05,0.0282097,0.0005608,3.341634700449978,0.10398749957927413,0.10637294825342232,-1,54,1
K00157.06,Kepler-11 b,10.3040214,1.21e-05,0.0156464,0.0003009,1.8534246439033573,0.056916016394342725,0.058256365,-1,124,1
K00159.01,Kepler-115 c,8.9908829,1.66e-05,0.0195354,0.0003546,2.407861101487904,0.072251756,0.073959753,-1,43,1
K00159.02,Kepler-115 b,2.4036331,1.58e-05,0.0090059,0.000762,1.110033902243615,0.09759445,0.097865981,-1,160,1
K00161.01,Kepler-475 b,3.1055071,7e-07,0.0290793,0.0004636,2.4772261797102586,0.07472632,0.077437152,-1,339,1
K00167.01,Kepler-480 b,4.9195832,8.6e-06,0.0186857,0.0002487,2.877893696223013,0.080969042,0.082770339,-1,78,1
K00168.02,Kepler-23 d,15.2743693,1.4e-05,0.0135473,0.0002112,2.2874646105078313,0.079389301,0.079389301,-2,82,1
K00171.01,Kepler-116 b,5.9687145,1.17e-05,0.0221212,0.0002981,3.329802292093256,0.097769563,0.10208112687056778,-1,63,1
K00171.02,Kepler-116 c,13.0714804,2.05e-05,0.0165123,0.0004902,2.485520423292203,0.098228224,0.10064239268874837,-1,31,1
K00172.01,Kepler-69 b,13.7223738,1.94e-05,0.0223964,0.0004814,2.943716224800489,0.098684721,0.10057160973224324,-1,30,1
K00173.01,Kepler-481 b,10.060826,1.62e-05,0.0201036,0.0006242,2.7059494140386633,0.1123278852186974,0.11379516617510989,-1,38,1
K00174.01,Kepler-482 b,56.3541855,1.92e-05,0.0338763,0.0013008,2.922827150845863,0.13644559970405684,0.13858035487285306,-1,13,1
K00176.01,Kepler-483 b,30.2291064,1.92e-05,0.0195193,0.0005701,2.8253082724118466,0.10701018730333939,0.10837817114214639,-1,13,1
K00180.01,Kepler-484 b,10.0455712,1.54e-05,0.0242785,0.0007172,2.343666439574482,0.088803006,0.088803006,-1,37,1
K00191.02,KOI-191.02,2.4184054,3e-06,0.0248711,0.0006545,2.4632671857073425,0.11052834849650119,0.1127368873467629,-1,290,1
K00191.04,Kepler-487 c,38.6519952,2e-05,0.0213875,0.0010174,2.1182467576551014,0.12680760051258277,0.12823728297826018,-1,19,1
K00232.02,Kepler-122 b,5.7661651,7.3e-06,0.0172517,0.0004308,2.331491749566485,0.090759431,0.092210893,-1,171,1
K00232.03,Kepler-122 d,21.5878685,2.02e-05,0.016142,0.0005919,2.181520651385209,0.10316429323361118,0.10428508561212341,-1,45,1
K00232.04,Kepler-122 e,37.9963888,2.01e-05,0.0166047,0.0005821,2.244052531288315,0.10334180643388322,0.10452538946858315,-1,26,1
K00232.05,Kepler-122 f,56.2587899,2e-05,0.0170975,0.00052,2.3106522944528938,0.098488713,0.099804182,-1,18,1
K00238.01,Kepler-123 b,17.232309,1.78e-05,0.0223143,0.0006244,3.207963047957856,0.13242548037503835,0.13422505743569974,-1,11,1
K00238.02,Kepler-123 c,26.6951665,2.02e-05,0.0114187,0.0013588,1.6415826468101788,0.20159768008754028,0.20190908745301758,-1,7,0
K00245.01,Kepler-37 d,39.7922323,9.3e-06,0.0230382,0.0003205,1.941157817983067,0.031239852,0.029891548,-2,26,1
K00246.01,Kepler-68 A b,5.3987517,9e-07,0.0174596,0.0001505,2.3574174746772862,0.022522553,0.023994590185339153,-2,206,1
K00257.01,Kepler-506 b,6.8834066,1.7e-06,0.023303,0.0002494,3.0501679998745708,0.082947925,0.082947925,-2,108,1
K00260.01,Kepler-126 b,10.495672,8e-06,0.0100865,0.0001164,1.4797674036546935,0.026149533243679406,0.023747942720376433,-2,106,1
K00260.03,Kepler-126 c,21.8696934,1.54e-05,0.0106422,0.0001516,1.5612928828804815,0.030516268,0.028246088137568855,-2,51,1
K00261.01,Kepler-96 b,16.2384747,4.6e-06,0.0255933,0.0003015,2.624126821686709,0.089271965,0.089271965,-2,50,1
K00265.01,Kepler-507 b,3.5680965,8.2e-06,0.0094359,0.0004369,1.3163899359950455,0.067867193,0.0683261,-1,115,1
K00269.01,KOI-269.01,18.0116641,1.51e-05,0.0097364,0.0003862,1.5399162048258883,0.0646693,0.0646693,-2,57,1
K00271.01,Kepler-127 d,48.6303934,1.95e-05,0.0183983,0.0002366,2.727268096186952,0.07850824,0.07850824,-2,11,1
K00271.03,Kepler-127 b,14.4359423,1.57e-05,0.0102418,0.0002854,1.518191049582164,0.057607404,0.057607404,-2,40,1
K00273.01,Kepler-454 A b,10.5737471,7.3e-06,0.0201213,0.000586,2.4142342156755148,0.0963268,0.0963268,-2,81,1
K00275.01,Kepler-129 b,15.7919302,1.88e-05,0.0132485,0.0002817,2.3823167980115554,0.054349398,0.053480218349005605,-2,13,1
K00275.02,Kepler-129 c,82.2000087,1.97e-05,0.0148086,0.0005372,2.6628506272433796,0.099075282,0.098482564,-2,2,0
K00276.01,Kepler-509 b,41.746,1.69e-05,0.0201059,0.0004306,2.609763536115771,0.071047746,0.071047746,-2,25,1
K00279.02,Kepler-450 c,15.4131045,1.25e-05,0.0151226,0.0001974,2.589743768112761,0.14422669524883183,0.14422669524883183,-2,65,1
K00280.01,Kepler-1655 b,11.8728914,5.9e-06,0.019791,0.0002934,2.245079670748342,0.054514341597748754,0.054514341597748754,-2,75,1
K00281.01,Kepler-510 b,19.55659,1.42e-05,0.0158805,0.0002629,2.390418480895564,0.07979216,0.07979216,-2,53,1
K00282.02,Kepler-130 A b,8.4574508,1.2e-05,0.00844,0.0003192,1.0375213489910788,0.049624967,0.049624967,-2,68,1
K00282.03,Kepler-130 A d,87.5174361,1.97e-05,0.0161515,0.0044995,1.985488870643295,0.5561663431576908,0.5561663431576908,-2,6,0
K00283.01,Kepler-131 b,16.0919811,8.7e-06,0.0212462,0.0003783,2.3151409289067275,0.067382006,0.067382006,-1,66,1
K00284.01,Kepler-132 A d,18.0101733,1.61e-05,0.0178773,0.0006161,2.0240906600994024,0.17624139165656028,0.20160168575962523,-1,31,0
K00284.02,Kepler-132 A c,6.4149091,8.3e-06,0.0128556,0.0003969,1.4555273945156082,0.12476019276243032,0.14324852274515198,-1,85,0
K00284.03,Kepler-132 A b,6.1782582,8.2e-06,0.0116696,0.000406,1.3212469649833023,0.11521597047130229,0.1317485019300412,-1,89,0
K00285.01,Kepler-92 b,13.7488332,1.53e-05,0.0197765,0.0002645,3.707664292,0.056610771,0.055207812149571746,-2,20,1
K00285.02,Kepler-92 c,26.7231997,1.89e-05,0.0130817,0.0002597,2.4525346735858955,0.051931322,0.051266173,-2,11,1
