ID	Teff	Teff-pe	Teff-err-new	FeH	FeH-pe	FeH-err-new	Logg	Logg-pe	Logg-err-new	Parallax	Parallax-e	G-Mag	G-Mag-Err	G-Mag-err-new	RA	DEC
3864142669886768896	3325.988	3.46625	102.0588795	-0.174	0.0093	0.130332229	4.9506	0.00335	0.04	9.291308962403718	0.066253915	16.328287	0.002871615	0.5	163.25190397353518	5.306472576263578
3877070590167177344	5625.6333	1.64455	102.0132567	0.2073	0.0049	0.130092313	4.1413	0.00175	0.04	7.646883090131064	0.017387824	9.223219	0.002761106	0.5	154.67109851528122	10.128840557054852
3882879683758393344	5106.7734	14.04085	102.9618641	-0.0663	0.0113	0.130490191	3.6205	0.02285	0.04	1.7554113895020649	0.013236681	12.167191	0.002765583	0.5	159.38907528096408	11.84274865595813
3892632287473304064	4199.8223	5.56	102.1514249	0.2678	0.01835	0.131288699	4.5545	0.009	0.04	2.825815676517202	0.045213312	15.517032	0.002776418	0.5	178.0568690641569	2.594118564265824
3896271842760486272	4915.8745	3.4792	102.0593202	-0.4	0.01115	0.130477287	4.5055	0.0061	0.04	2.033651608	0.024271317	14.410999	0.002763604	0.5	178.11056721721133	4.254661939207739
3962403923821595264	4757.89	4.4195	102.0957001	0.264	0.0057	0.130124902	4.5646	0.00325	0.04	7.932970646176284	0.030634202	11.755176	0.00278995	0.5	188.9223505109807	27.214375117276067
3997075206232885888	5053.029	13.95635	102.950375	-0.5258	0.1461	0.195563826	4.5185	0.0129	0.04	46.41187594412021	0.022130016	7.526765	0.002764997	0.5	168.63764182700731	25.71060296527337
404433018447476096	5310.2046	6.0686	102.1803695	0.068	0.0065	0.130162399	4.6051	0.00145	0.04	5.7193475734572585	0.01778201	11.95474	0.002794656	0.5	15.65439221	51.303888812542255
4056326681029056896	5365.067	53.903	115.3669511	-3.7743	0.7214	0.733019754	4.2945	0.02625	0.04	0.4771926376174668	0.051212717	16.082968	0.002796968	0.5	269.1479263	-29.5392999
4056443366649948160	5676.5703	18.2854	103.6260385	-0.1735	0.0252	0.132419938	4.3606	0.0228	0.04	0.845409407	0.03938344	15.668955	0.002785361	0.5	267.86774836312435	-29.87647655
4224062406762625152	5807.3564	11.697	102.6684947	0.1668	0.01245	0.130594803	4.1695	0.00135	0.04	6.722695701556069	0.014855893	9.578344	0.00276086	0.5	304.53884318870575	-1.076012293
4255957040079935488	5279.8193	29.4827	106.1754661	-0.3004	0.0326	0.134025222	4.095	0.00785	0.04	0.8910383209730038	0.032983057	15.418708	0.002782435	0.5	278.6992353859489	-6.612289083
4256135160951556480	5019.701	54.8773	115.8253774	-0.696	0.0688	0.147083106	4.3161	0.01625	0.04	1.3428761058092051	0.04421247	15.636199	0.00281126	0.5	278.52466597182297	-6.002603758
4263752921128319616	4772.0527	29.0247	106.0492018	-0.0432	0.02425	0.132242438	4.4839	0.0069	0.04	2.954112754636686	0.025954561	14.648624	0.002767339	0.5	291.06368086553215	0.7460111582459029
