# ID	Teff	Teff-err	FeH	FeH-err	Logg	Logg-err	Parallax	Parallax-err	G-Mag	G-Mag-err	RA	DEC
2073697660354300544	4885.962	102.4675343	-0.0889	0.130456161	4.5479	0.160079675	2.3725345556806996	0.015503235	14.290711	0.01	297.0420136439736	39.912185552845486
2073731161099713408	5739.3975	103.5315684	0.0159	0.131240238	4.4596	0.160402065	8.138899686416519	0.011343858	10.299055	0.01	297.0698323520349	40.52520571016794
2075112109039378688	5068.2783	102.2445852	0.1398	0.130297506	4.4894	0.160017999	3.254800216497402	0.011634878	13.064858	0.01	299.13931178730104	40.94893620015961
2075161655782111872	5248.539	102.7689267	0.1059	0.130447844	4.5387	0.160209987	4.071865233398786	0.009213146	12.60726	0.01	299.3196740288222	41.384747214814375
2076121602454770560	5654.674	110.0708908	0.0103	0.137228286	4.3029	0.161404964	2.5328326772921312	0.010532432	12.575336	0.01	299.7047427308612	44.43570524730192
2076185408488670208	5454.9424	103.8560228	-0.0029	0.132251616	4.5669	0.160405611	1.188582326549933	0.017701562	15.058516	0.01	295.1640101754076	39.201402144681865
2076328963475704576	4555.349	102.2031313	0.4872	0.130856802	4.61	0.160321622	2.696290192950534	0.018264642	14.745099	0.01	296.1125756515733	39.97874410987316
2076454445237794432	4690.752	102.4892531	-0.0144	0.130609188	4.5745	0.160056435	2.041745266574053	0.022144625	14.89129	0.01	294.66467792374954	39.7838468
2076565805151925760	4685.2856	104.766927	0.1583	0.137308558	4.6369	0.16014232	2.277738838640018	0.018927721	14.820219	0.01	294.4418028422783	40.55754031496123
2076601917234347520	5575.019	103.8351139	-0.6572	0.131537077	4.1419	0.160157454	1.0958433858002214	0.011753288	13.699747	0.01	295.2173270943838	40.592156611365546
2076692386427776768	5521.203	103.86091	-0.2153	0.131491682	4.4844	0.16106598	1.1255477962321536	0.01898666	15.052241	0.01	295.28723274149723	41.22200472310721
2076764576237957504	4545.8384	102.3077019	0.2011	0.130926707	4.623	0.160153052	2.7063682255683146	0.017762544	14.8790245	0.01	297.07020512138837	40.86873212640164
2076782889978499840	4985.614	112.0181874	0.0566	0.145771748	4.5719	0.161245155	2.493673521038257	0.012447392	14.011885	0.01	296.8609319849194	41.09731523
2076792648144511104	5813.4683	102.4180506	-0.2673	0.13023379	4.322	0.160182778	1.423398468745506	0.01295282	13.930912	0.01	297.0899587167322	41.388069154379686
2076871091425583232	4697.2563	102.7648844	0.3182	0.130856802	4.5623	0.160027193	4.818364449	0.014390312	12.949096	0.01	297.3539996494398	41.300044739930854
2076955822541823744	5427.938	102.8528315	-0.1136	0.130658371	4.4765	0.160296795	1.1858744805082049	0.02054207	14.889953	0.01	296.7719087826088	41.755597134260654
2076960598545789824	5522.061	113.6753385	-0.387	0.140107325	4.3448	0.160302909	1.5753007307881919	0.011732873	13.696377	0.01	297.1150948896979	41.90910820038663
2076970047474270208	6022.8604	102.5454204	-0.1723	0.130384048	4.2173	0.160021124	2.124926778303889	0.008604879	12.180761	0.01	297.33307198708445	41.89111872
2077140987172577408	5000.155	106.3302932	-0.3437	0.133797319	4.4841	0.160701587	0.9460149056997694	0.028580222	15.928862	0.01	295.76619923392514	42.42428190294317
2077540827141811200	5307.0483	102.8208642	0.3496	0.130451993	4.501	0.160305989	3.7398442332667003	0.009409878	12.513983	0.01	294.6741519737311	42.07560443416187
2077556465126659456	5708.659	105.2724557	0.0381	0.132353778	4.1692	0.161702072	0.572029786	0.033844486	14.8080435	0.01	294.2809672887076	42.29092909934029
